File,WaveData20230303_015.csv,
Date/Time,23-03-03/19:59,

Trace,A
Center Wavelength,1556.95,nm
Span Wavelength,100,nm
Start Wavelength,1506.95,nm
Stop Wavelength,1606.95,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1506.95,nm
Stop,1606.95,nm
Trace,B
Center Wavelength,1471.1,nm
Span Wavelength,556.8,nm
Start Wavelength,1192.7,nm
Stop Wavelength,1749.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.099,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Max Hold,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Trace,C
Center Wavelength,1471.1,nm
Span Wavelength,556.8,nm
Start Wavelength,1192.7,nm
Stop Wavelength,1749.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.099,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Trace,D
Center Wavelength,1556.95,nm
Span Wavelength,100,nm
Start Wavelength,1506.95,nm
Stop Wavelength,1606.95,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1506.95,nm
Stop,1606.95,nm
Trace,E
Center Wavelength,1556.95,nm
Span Wavelength,100,nm
Start Wavelength,1506.95,nm
Stop Wavelength,1606.95,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1506.95,nm
Stop,1606.95,nm

Wavelength(A),Level(A),Wavelength(D),Level(D),Wavelength(E),Level(E)
1506.950000,5.0380E-008,1506.950000,5.0380E-008,1506.950000,5.0380E-008
1507.000000,3.3020E-008,1507.000000,3.3020E-008,1507.000000,3.3020E-008
1507.050000,-3.7480E-008,1507.050000,-3.7480E-008,1507.050000,-3.7480E-008
1507.100000,5.9420E-008,1507.100000,5.9420E-008,1507.100000,5.9420E-008
1507.150000,-4.5300E-008,1507.150000,-4.5300E-008,1507.150000,-4.5300E-008
1507.200000,-2.2510E-009,1507.200000,-2.2510E-009,1507.200000,-2.2510E-009
1507.250000,6.0030E-010,1507.250000,6.0030E-010,1507.250000,6.0030E-010
1507.300000,1.6760E-008,1507.300000,1.6760E-008,1507.300000,1.6760E-008
1507.350000,-1.4890E-008,1507.350000,-1.4890E-008,1507.350000,-1.4890E-008
1507.400000,1.4890E-009,1507.400000,1.4890E-009,1507.400000,1.4890E-009
1507.450000,4.7020E-008,1507.450000,4.7020E-008,1507.450000,4.7020E-008
1507.500000,-1.2900E-008,1507.500000,-1.2900E-008,1507.500000,-1.2900E-008
1507.550000,2.4680E-008,1507.550000,2.4680E-008,1507.550000,2.4680E-008
1507.600000,-2.4200E-008,1507.600000,-2.4200E-008,1507.600000,-2.4200E-008
1507.650000,-5.2550E-010,1507.650000,-5.2550E-010,1507.650000,-5.2550E-010
1507.700000,1.0560E-008,1507.700000,1.0560E-008,1507.700000,1.0560E-008
1507.750000,8.2060E-009,1507.750000,8.2060E-009,1507.750000,8.2060E-009
1507.800000,2.6930E-008,1507.800000,2.6930E-008,1507.800000,2.6930E-008
1507.850000,8.5830E-011,1507.850000,8.5830E-011,1507.850000,8.5830E-011
1507.900000,5.8790E-009,1507.900000,5.8790E-009,1507.900000,5.8790E-009
1507.950000,5.2280E-008,1507.950000,5.2280E-008,1507.950000,5.2280E-008
1508.000000,-2.4750E-008,1508.000000,-2.4750E-008,1508.000000,-2.4750E-008
1508.050000,4.8560E-008,1508.050000,4.8560E-008,1508.050000,4.8560E-008
1508.100000,7.5100E-008,1508.100000,7.5100E-008,1508.100000,7.5100E-008
1508.150000,3.9290E-008,1508.150000,3.9290E-008,1508.150000,3.9290E-008
1508.200000,-1.1730E-008,1508.200000,-1.1730E-008,1508.200000,-1.1730E-008
1508.250000,3.9370E-008,1508.250000,3.9370E-008,1508.250000,3.9370E-008
1508.300000,1.9210E-008,1508.300000,1.9210E-008,1508.300000,1.9210E-008
1508.350000,4.1090E-008,1508.350000,4.1090E-008,1508.350000,4.1090E-008
1508.400000,7.5040E-009,1508.400000,7.5040E-009,1508.400000,7.5040E-009
1508.450000,-5.8620E-009,1508.450000,-5.8620E-009,1508.450000,-5.8620E-009
1508.500000,-3.6200E-008,1508.500000,-3.6200E-008,1508.500000,-3.6200E-008
1508.550000,1.5460E-008,1508.550000,1.5460E-008,1508.550000,1.5460E-008
1508.600000,1.2760E-008,1508.600000,1.2760E-008,1508.600000,1.2760E-008
1508.650000,5.6930E-008,1508.650000,5.6930E-008,1508.650000,5.6930E-008
1508.700000,-3.8700E-008,1508.700000,-3.8700E-008,1508.700000,-3.8700E-008
1508.750000,7.6150E-008,1508.750000,7.6150E-008,1508.750000,7.6150E-008
1508.800000,5.3280E-009,1508.800000,5.3280E-009,1508.800000,5.3280E-009
1508.850000,1.6800E-008,1508.850000,1.6800E-008,1508.850000,1.6800E-008
1508.900000,1.4110E-008,1508.900000,1.4110E-008,1508.900000,1.4110E-008
1508.950000,1.1600E-008,1508.950000,1.1600E-008,1508.950000,1.1600E-008
1509.000000,-1.0740E-011,1509.000000,-1.0740E-011,1509.000000,-1.0740E-011
1509.050000,-2.8030E-008,1509.050000,-2.8030E-008,1509.050000,-2.8030E-008
1509.100000,5.3300E-009,1509.100000,5.3300E-009,1509.100000,5.3300E-009
1509.150000,-2.5360E-009,1509.150000,-2.5360E-009,1509.150000,-2.5360E-009
1509.200000,1.1410E-008,1509.200000,1.1410E-008,1509.200000,1.1410E-008
1509.250000,-3.7470E-008,1509.250000,-3.7470E-008,1509.250000,-3.7470E-008
1509.300000,-3.2710E-008,1509.300000,-3.2710E-008,1509.300000,-3.2710E-008
1509.350000,-2.8970E-008,1509.350000,-2.8970E-008,1509.350000,-2.8970E-008
1509.400000,4.7460E-008,1509.400000,4.7460E-008,1509.400000,4.7460E-008
1509.450000,1.2210E-008,1509.450000,1.2210E-008,1509.450000,1.2210E-008
1509.500000,6.2690E-009,1509.500000,6.2690E-009,1509.500000,6.2690E-009
1509.550000,2.1960E-008,1509.550000,2.1960E-008,1509.550000,2.1960E-008
1509.600000,3.0430E-009,1509.600000,3.0430E-009,1509.600000,3.0430E-009
1509.650000,1.9810E-008,1509.650000,1.9810E-008,1509.650000,1.9810E-008
1509.700000,3.1880E-008,1509.700000,3.1880E-008,1509.700000,3.1880E-008
1509.750000,9.7030E-009,1509.750000,9.7030E-009,1509.750000,9.7030E-009
1509.800000,-3.8300E-009,1509.800000,-3.8300E-009,1509.800000,-3.8300E-009
1509.850000,1.4800E-008,1509.850000,1.4800E-008,1509.850000,1.4800E-008
1509.900000,2.6240E-009,1509.900000,2.6240E-009,1509.900000,2.6240E-009
1509.950000,1.1020E-008,1509.950000,1.1020E-008,1509.950000,1.1020E-008
1510.000000,-1.2390E-008,1510.000000,-1.2390E-008,1510.000000,-1.2390E-008
1510.050000,2.3800E-008,1510.050000,2.3800E-008,1510.050000,2.3800E-008
1510.100000,3.5730E-008,1510.100000,3.5730E-008,1510.100000,3.5730E-008
1510.150000,-2.1880E-008,1510.150000,-2.1880E-008,1510.150000,-2.1880E-008
1510.200000,2.0440E-009,1510.200000,2.0440E-009,1510.200000,2.0440E-009
1510.250000,3.0880E-008,1510.250000,3.0880E-008,1510.250000,3.0880E-008
