,Ancho_espectral,Potencia,Theta2,Theta1,Theta3,Clases
0,232.8047578589635,7.032475,0.0,0.0,0,1
1,228.4853016142736,7.0215499999999995,0.0,4.0,0,1
2,226.4788445199661,7.020225,0.0,8.0,0,2
3,227.70501274426488,7.014374999999999,0.0,12.0,0,2
4,229.9901444350041,7.0122,0.0,16.0,0,1
5,228.95904842820727,7.0259,0.0,20.0,0,1
6,216.9760407816484,7.041575,0.0,24.0,0,2
7,203.9062022090061,7.08165,0.0,28.0,0,2
8,192.20186915887848,7.135225,0.0,32.0,0,2
9,196.5491928632116,7.17515,0.0,36.0,0,2
10,208.4764655904844,7.115525,0.0,40.0,0,2
11,242.64197111299927,6.962725000000001,0.0,44.0,0,1
12,297.95887850467307,6.71885,0.0,48.0,0,1
13,240.35683942226,6.7494499999999995,0.0,52.0,0,2
14,268.2521665250638,6.774875,0.0,56.0,0,1
15,273.49124893797807,6.6511499999999995,0.0,60.0,0,1
16,284.7775700934578,6.587525,0.0,64.0,0,1
17,289.1248937977912,6.5959,0.0,68.0,0,1
18,290.60186915887857,6.62345,0.0,72.0,0,1
19,283.3284621920136,6.652675,0.0,76.0,0,1
20,271.2618521665252,6.676375,0.0,80.0,0,1
21,260.81155480034,6.708175000000001,0.0,84.0,0,1
22,255.5724723874257,6.74605,0.0,88.0,0,1
23,258.414953271028,6.789525,0.0,92.0,0,1
24,284.5267629566695,6.7881,0.0,96.0,0,1
25,280.1794392523366,6.815375,0.0,100.0,0,1
26,236.00951571792712,6.9023,0.0,104.0,0,1
27,221.26762956669492,6.937675,0.0,108.0,0,2
28,218.0628717077316,6.94735,0.0,112.0,0,2
29,218.67595581988095,6.94645,0.0,116.0,0,2
30,224.38878504672903,6.926725,0.0,120.0,0,2
31,241.02565845369577,6.89195,0.0,124.0,0,1
32,246.32047578589663,6.869375,0.0,128.0,0,1
33,250.50059473237047,6.862125,0.0,132.0,0,1
34,247.32370433305027,6.870875,0.0,136.0,0,1
35,246.26474086661003,6.896425000000001,0.0,140.0,0,1
36,239.4093457943925,6.926175,0.0,144.0,0,1
37,230.3802888700086,6.95835,0.0,148.0,0,1
38,227.14766355140205,6.986375000000001,0.0,152.0,0,1
39,215.331860662702,7.0271,0.0,156.0,0,2
40,266.9702633814784,6.948475,0.0,160.0,0,1
41,250.2497875955821,6.912425,0.0,164.0,0,1
42,249.55310110450296,6.885975,0.0,168.0,0,1
