,Theta1,Theta2,Theta3,Power,Ancho_espectral
0,0.0,0.0,0,0.006999625,229.01478334749368
1,4.0,0.0,0,0.00700725,225.4756159728122
2,8.0,0.0,0,0.00702285,219.3169073916738
3,12.0,0.0,0,0.0070353,221.68564146134236
4,16.0,0.0,0,0.007044675,223.6920985556501
5,20.0,0.0,0,0.0070572,226.8689889549703
6,24.0,0.0,0,0.00707885,218.78742565845369
7,28.0,0.0,0,0.0071072,213.21393372982175
8,32.0,0.0,0,0.00715145,195.10008496176738
9,36.0,0.0,0,0.007187625,186.99065420560737
10,40.0,0.0,0,0.0071359,208.86661002548863
11,44.0,0.0,0,0.007004525,224.75106202209008
12,48.0,0.0,0,0.006702075,286.4496176720477
13,52.0,0.0,0,0.0067678,231.35564995751906
14,56.0,0.0,0,0.006797225,250.19405267629577
15,60.0,0.0,0,0.006677525,261.5639762107053
16,64.0,0.0,0,0.006653375,258.888700084962
17,68.0,0.0,0,0.00669875,262.4000000000001
18,72.0,0.0,0,0.006777075,261.2295666949874
19,76.0,0.0,0,0.0067944,256.0183517417163
20,80.0,0.0,0,0.00677905,255.71180968564158
21,84.0,0.0,0,0.006764625,262.45573491928644
22,88.0,0.0,0,0.006755875,266.71945624469004
23,92.0,0.0,0,0.006754125,288.90195412064577
24,96.0,0.0,0,0.006763325,289.2642310960068
25,100.0,0.0,0,0.00677935,285.0562446898896
26,104.0,0.0,0,0.00679405,289.8215802888699
27,108.0,0.0,0,0.006791475,286.7282922684792
28,112.0,0.0,0,0.006775175,286.533220050977
29,116.0,0.0,0,0.0067962,277.25335598980473
30,120.0,0.0,0,0.006891975,241.91741716227693
31,124.0,0.0,0,0.006924725,229.90654205607484
32,128.0,0.0,0,0.0069265,234.50467289719631
33,132.0,0.0,0,0.00693915,225.72642310960055
34,136.0,0.0,0,0.00693505,227.53780798640605
35,140.0,0.0,0,0.006907525,245.0664401019544
36,144.0,0.0,0,0.0069662,222.4101954120647
37,148.0,0.0,0,0.00701555,219.79065420560755
38,152.0,0.0,0,0.0070343,226.36737468139336
39,156.0,0.0,0,0.00703225,229.62786745964308
