File,MUESTRA_0_16_47.csv,
Date/Time,23-02-16/19:13,

Center Wavelength,1471.1,nm
Span Wavelength,557.6,nm
Start Wavelength,1192.3,nm
Stop Wavelength,1749.9,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.494,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1192.3,nm
Stop,1749.9,nm
1192.300000,8.5290E-007
1192.578800,7.9320E-007
1192.857600,8.7690E-007
1193.136400,8.4500E-007
1193.415200,8.3400E-007
1193.694000,8.9140E-007
1193.972800,8.4740E-007
1194.251600,8.1440E-007
1194.530400,8.5830E-007
1194.809200,9.0180E-007
1195.088000,8.6340E-007
1195.366800,8.5770E-007
1195.645600,8.5150E-007
1195.924400,8.3110E-007
1196.203200,8.2000E-007
1196.482000,8.3530E-007
1196.760800,8.7200E-007
1197.039600,8.0170E-007
1197.318400,8.1780E-007
1197.597200,8.1600E-007
1197.876000,8.9830E-007
1198.154800,8.8300E-007
1198.433600,8.7470E-007
1198.712400,8.6550E-007
1198.991200,8.4040E-007
1199.270000,8.4410E-007
1199.548800,8.2000E-007
1199.827600,8.8930E-007
1200.106400,8.4130E-007
1200.385200,8.3080E-007
1200.664000,8.3950E-007
1200.942800,8.2050E-007
1201.221600,8.3750E-007
1201.500400,8.3550E-007
1201.779200,8.3710E-007
1202.058000,8.5810E-007
1202.336800,8.5450E-007
1202.615600,8.8290E-007
1202.894400,8.7100E-007
1203.173200,8.2560E-007
1203.452000,8.6040E-007
1203.730800,8.8390E-007
1204.009600,8.6680E-007
1204.288400,7.9800E-007
1204.567200,8.7870E-007
1204.846000,8.3970E-007
1205.124800,8.6890E-007
1205.403600,8.2470E-007
1205.682400,8.2400E-007
1205.961200,8.1190E-007
1206.240000,7.7970E-007
1206.518800,8.4390E-007
1206.797600,7.7970E-007
1207.076400,8.4750E-007
1207.355200,8.3580E-007
1207.634000,8.3120E-007
1207.912800,8.0030E-007
1208.191600,8.3130E-007
1208.470400,8.4320E-007
1208.749200,8.2860E-007
1209.028000,8.0770E-007
1209.306800,8.7020E-007
1209.585600,8.1990E-007
1209.864400,8.1410E-007
1210.143200,7.9850E-007
1210.422000,8.0900E-007
1210.700800,7.9410E-007
1210.979600,8.6980E-007
1211.258400,7.8040E-007
1211.537200,8.7660E-007
1211.816000,8.4630E-007
1212.094800,8.1480E-007
1212.373600,8.1490E-007
1212.652400,7.7680E-007
1212.931200,7.7220E-007
1213.210000,7.9530E-007
1213.488800,8.3900E-007
1213.767600,7.8230E-007
1214.046400,8.3540E-007
1214.325200,8.3960E-007
1214.604000,8.5710E-007
1214.882800,8.5630E-007
1215.161600,8.4700E-007
1215.440400,7.8640E-007
1215.719200,8.3580E-007
1215.998000,7.6980E-007
1216.276800,8.7550E-007
1216.555600,7.9250E-007
1216.834400,8.2010E-007
1217.113200,8.0540E-007
1217.392000,7.8730E-007
1217.670800,7.8960E-007
1217.949600,7.9890E-007
1218.228400,8.2570E-007
1218.507200,8.3930E-007
1218.786000,8.0410E-007
1219.064800,7.6760E-007
1219.343600,7.6580E-007
1219.622400,8.3630E-007
1219.901200,8.1540E-007
1220.180000,8.2220E-007
1220.458800,8.1240E-007
1220.737600,8.0900E-007
1221.016400,7.7980E-007
1221.295200,8.5250E-007
1221.574000,7.9940E-007
1221.852800,8.2590E-007
1222.131600,8.1170E-007
1222.410400,8.3370E-007
1222.689200,7.5960E-007
1222.968000,7.5290E-007
1223.246800,8.6840E-007
1223.525600,7.8200E-007
1223.804400,8.0140E-007
1224.083200,7.5370E-007
1224.362000,8.2090E-007
1224.640800,7.9070E-007
1224.919600,8.5140E-007
1225.198400,7.5640E-007
1225.477200,7.9020E-007
1225.756000,8.3170E-007
1226.034800,7.5790E-007
1226.313600,8.2220E-007
1226.592400,7.6630E-007
1226.871200,7.7690E-007
1227.150000,7.8360E-007
1227.428800,7.8610E-007
1227.707600,7.8780E-007
1227.986400,7.7670E-007
1228.265200,7.7730E-007
1228.544000,7.2930E-007
1228.822800,8.1730E-007
1229.101600,7.7020E-007
1229.380400,7.9310E-007
1229.659200,7.7140E-007
1229.938000,8.1560E-007
1230.216800,7.3630E-007
1230.495600,8.2730E-007
1230.774400,7.8750E-007
1231.053200,7.9060E-007
1231.332000,7.9250E-007
1231.610800,7.4980E-007
1231.889600,7.9850E-007
1232.168400,7.9930E-007
1232.447200,7.8290E-007
1232.726000,7.8710E-007
1233.004800,7.4270E-007
1233.283600,7.8800E-007
1233.562400,7.8220E-007
1233.841200,8.2440E-007
1234.120000,8.2200E-007
1234.398800,7.5540E-007
1234.677600,7.6460E-007
1234.956400,7.8950E-007
1235.235200,8.1620E-007
