File,WaveData20230210_016.csv,
Date/Time,23-02-10/21:23,

Trace,A
Center Wavelength,1500.6,nm
Span Wavelength,499.8,nm
Start Wavelength,1250.7,nm
Stop Wavelength,1750.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.483,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250.7,nm
Stop,1750.5,nm
Trace,B
Center Wavelength,1500.6,nm
Span Wavelength,499.8,nm
Start Wavelength,1250.7,nm
Stop Wavelength,1750.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.483,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250.7,nm
Stop,1750.5,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.700000,8.2640E-007,1250.700000,8.2640E-007
1251.699600,7.8730E-007,1251.699600,7.8730E-007
1252.699200,8.6390E-007,1252.699200,8.6390E-007
1253.698800,8.7060E-007,1253.698800,8.7060E-007
1254.698400,8.6970E-007,1254.698400,8.6970E-007
1255.698000,8.4990E-007,1255.698000,8.4990E-007
1256.697600,8.6220E-007,1256.697600,8.6220E-007
1257.697200,8.2730E-007,1257.697200,8.2730E-007
1258.696800,7.7270E-007,1258.696800,7.7270E-007
1259.696400,7.7540E-007,1259.696400,7.7540E-007
1260.696000,8.5720E-007,1260.696000,8.5720E-007
1261.695600,8.4040E-007,1261.695600,8.4040E-007
1262.695200,8.1260E-007,1262.695200,8.1260E-007
1263.694800,8.4480E-007,1263.694800,8.4480E-007
1264.694400,8.7530E-007,1264.694400,8.7530E-007
1265.694000,7.9330E-007,1265.694000,7.9330E-007
1266.693600,8.2860E-007,1266.693600,8.2860E-007
1267.693200,8.2990E-007,1267.693200,8.2990E-007
1268.692800,8.2390E-007,1268.692800,8.2390E-007
1269.692400,8.1530E-007,1269.692400,8.1530E-007
1270.692000,8.4800E-007,1270.692000,8.4800E-007
1271.691600,8.2930E-007,1271.691600,8.2930E-007
1272.691200,8.4780E-007,1272.691200,8.4780E-007
1273.690800,7.9050E-007,1273.690800,7.9050E-007
1274.690400,8.1930E-007,1274.690400,8.1930E-007
1275.690000,8.4960E-007,1275.690000,8.4960E-007
1276.689600,8.3870E-007,1276.689600,8.3870E-007
1277.689200,8.2080E-007,1277.689200,8.2080E-007
1278.688800,8.2760E-007,1278.688800,8.2760E-007
1279.688400,8.3010E-007,1279.688400,8.3010E-007
1280.688000,8.1220E-007,1280.688000,8.1220E-007
1281.687600,7.9810E-007,1281.687600,7.9810E-007
1282.687200,7.9200E-007,1282.687200,7.9200E-007
1283.686800,8.5500E-007,1283.686800,8.5500E-007
1284.686400,8.5230E-007,1284.686400,8.5230E-007
1285.686000,7.8950E-007,1285.686000,7.8950E-007
1286.685600,7.9710E-007,1286.685600,7.9710E-007
1287.685200,7.8500E-007,1287.685200,7.8500E-007
1288.684800,8.4340E-007,1288.684800,8.4340E-007
1289.684400,7.0810E-007,1289.684400,7.0810E-007
1290.684000,8.5920E-007,1290.684000,8.5920E-007
1291.683600,8.4150E-007,1291.683600,8.4150E-007
1292.683200,8.1790E-007,1292.683200,8.1790E-007
1293.682800,7.9380E-007,1293.682800,7.9380E-007
1294.682400,8.0160E-007,1294.682400,8.0160E-007
1295.682000,7.9990E-007,1295.682000,7.9990E-007
1296.681600,7.8680E-007,1296.681600,7.8680E-007
1297.681200,7.9020E-007,1297.681200,7.9020E-007
1298.680800,7.7060E-007,1298.680800,7.7060E-007
1299.680400,8.3400E-007,1299.680400,8.3400E-007
1300.680000,8.1680E-007,1300.680000,8.1680E-007
1301.679600,8.0410E-007,1301.679600,8.0410E-007
1302.679200,7.8490E-007,1302.679200,7.8490E-007
1303.678800,7.9230E-007,1303.678800,7.9230E-007
1304.678400,8.3560E-007,1304.678400,8.3560E-007
1305.678000,8.4540E-007,1305.678000,8.4540E-007
1306.677600,8.1420E-007,1306.677600,8.1420E-007
1307.677200,7.7600E-007,1307.677200,7.7600E-007
1308.676800,8.0180E-007,1308.676800,8.0180E-007
1309.676400,8.2790E-007,1309.676400,8.2790E-007
1310.676000,8.0340E-007,1310.676000,8.0340E-007
1311.675600,8.1530E-007,1311.675600,8.1530E-007
1312.675200,7.9320E-007,1312.675200,7.9320E-007
1313.674800,7.4940E-007,1313.674800,7.4940E-007
1314.674400,8.3360E-007,1314.674400,8.3360E-007
1315.674000,8.0900E-007,1315.674000,8.0900E-007
1316.673600,7.7160E-007,1316.673600,7.7160E-007
1317.673200,8.1640E-007,1317.673200,8.1640E-007
1318.672800,7.6190E-007,1318.672800,7.6190E-007
1319.672400,7.9090E-007,1319.672400,7.9090E-007
1320.672000,8.0360E-007,1320.672000,8.0360E-007
1321.671600,7.9700E-007,1321.671600,7.9700E-007
1322.671200,7.8200E-007,1322.671200,7.8200E-007
1323.670800,7.3540E-007,1323.670800,7.3540E-007
1324.670400,7.8210E-007,1324.670400,7.8210E-007
1325.670000,7.1410E-007,1325.670000,7.1410E-007
1326.669600,8.1200E-007,1326.669600,8.1200E-007
1327.669200,8.2570E-007,1327.669200,8.2570E-007
1328.668800,7.3660E-007,1328.668800,7.3660E-007
1329.668400,7.8160E-007,1329.668400,7.8160E-007
1330.668000,7.4340E-007,1330.668000,7.4340E-007
1331.667600,7.0900E-007,1331.667600,7.0900E-007
1332.667200,7.6320E-007,1332.667200,7.6320E-007
1333.666800,7.7330E-007,1333.666800,7.7330E-007
1334.666400,7.8780E-007,1334.666400,7.8780E-007
1335.666000,8.0770E-007,1335.666000,8.0770E-007
1336.665600,7.3160E-007,1336.665600,7.3160E-007
1337.665200,7.8250E-007,1337.665200,7.8250E-007
1338.664800,7.6570E-007,1338.664800,7.6570E-007
1339.664400,7.9000E-007,1339.664400,7.9000E-007
1340.664000,8.2180E-007,1340.664000,8.2180E-007
1341.663600,7.8830E-007,1341.663600,7.8830E-007
1342.663200,7.9150E-007,1342.663200,7.9150E-007
1343.662800,7.8940E-007,1343.662800,7.8940E-007
1344.662400,8.1700E-007,1344.662400,8.1700E-007
1345.662000,7.9830E-007,1345.662000,7.9830E-007
1346.661600,7.8240E-007,1346.661600,7.8240E-007
1347.661200,8.2360E-007,1347.661200,8.2360E-007
