Theta1,Theta2,Theta3,Ancho_espectral,Potencia,Clases
0,0,0,15.84022509801506,0.01171675,1
4,0,0,15.96968847622,0.01167375,1
8,0,0,15.52037439892053,0.01169075,1
12,0,0,15.97730396905558,0.0116855,1
16,0,0,16.49515748187531,0.01170875,1
20,0,0,16.52561945321765,0.011686,1
24,0,0,16.6855448027649,0.0116499999999999,1
28,0,0,16.78454620962751,0.01166425,1
32,0,0,16.97493353051711,0.0116485,1
36,0,0,16.91400958783245,0.0116293333333333,1
40,0,0,16.67031381709374,0.0116665,1
44,0,0,16.32761663949246,0.01173075,1
48,0,0,16.12961382576728,0.011663,1
56,0,0,16.26669269680778,0.011687,1
60,0,0,15.98491946189118,0.01167675,1
64,0,0,15.75645467682364,0.011718,1
68,0,0,15.45945045623587,0.01174125,1
72,0,0,15.22337017833275,0.01173275,1
76,0,0,15.200523699826,0.01174875,1
80,0,0,14.81974905804678,0.0118105,1
84,0,0,14.522744837459,0.01178625,1
88,0,0,14.82736455088236,0.011755,1
96,0,0,14.49228286611667,0.01179925,1
100,0,0,14.22574061687122,0.011812,1
104,0,0,15.18529271415483,0.0117315,1
108,0,0,14.97967440759406,0.01178875,1
112,0,0,15.02536736460757,0.0117933999999999,1
120,0,0,15.42898848489352,0.0117466666666666,1
124,0,0,15.48991242757819,0.0117125,1
128,0,0,15.60414482011195,0.01171175,1
132,0,0,15.7336081983169,0.01172775,1
136,0,0,15.64983777712546,0.0116975,1
140,0,0,15.79453214100156,0.011682,1
144,0,0,15.90876453353532,0.0117295,1
152,0,0,15.83260960517948,0.0117215,1
156,0,0,15.93161101204208,0.0117435,1
160,0,0,15.79453214100157,0.01170075,1
164,0,0,15.75645467682365,0.01170475,1
168,0,0,15.98491946189117,0.01168775,1
172,0,0,15.89353354786416,0.01168975,1
176,0,0,15.97730396905559,0.01168925,1
180,0,0,16.03061241890468,0.011678,1
184,0,0,16.32761663949246,0.0116645,1
188,0,0,16.07630537591817,0.0116912,1
192,0,0,16.14484481143843,0.01171675,1
196,0,0,16.03061241890468,0.011718,1
200,0,0,15.65745326996105,0.011752,1
204,0,0,15.87830256219298,0.0116665,1
208,0,0,15.8249941123439,0.011756,1
0,4,0,16.48754198903972,0.0117025,1
4,4,0,16.86070113798334,0.01167,1
8,4,0,16.86831663081893,0.011667,1
12,4,0,16.96731803768152,0.01165925,1
16,4,0,17.08155043021528,0.01165975,1
20,4,0,16.77693071679191,0.01166,1
24,4,0,17.27955324394048,0.011635,1
28,4,0,17.0739349373797,0.01165875,1
32,4,0,17.21101380842021,0.01162425,1
36,4,0,17.34047718662515,0.011651,1
40,4,0,17.37855465080307,0.01162925,1
44,4,0,17.30239972244723,0.0116233333333333,1
48,4,0,17.28716873677605,0.0116727499999999,1
52,4,0,17.02824198036619,0.01163325,1
56,4,0,16.95208705201037,0.011654,1
60,4,0,16.82262367380542,0.0116375,1
64,4,0,16.5027729747109,0.0116875,1
68,4,0,16.33523213232803,0.01168175,1
72,4,0,16.07630537591817,0.01169475,1
76,4,0,15.92399551920649,0.01172175,1
80,4,0,15.71076171981014,0.011734,1
84,4,0,15.48229693474261,0.0116915,1
88,4,0,15.38329552788001,0.0117535,1
92,4,0,15.30714059952417,0.011766,1
96,4,0,15.30714059952417,0.01172575,1
100,4,0,15.17767722131924,0.011765,1
104,4,0,15.25383214967508,0.01179175,1
108,4,0,15.35283355653768,0.01181775,1
112,4,0,15.42898848489352,0.01178,1
116,4,0,15.58129834160521,0.0117356666666666,1
120,4,0,15.67268425563222,0.01172025,1
124,4,0,15.79453214100156,0.0117555,1
128,4,0,15.90876453353534,0.0117335,1
132,4,0,16.07630537591817,0.01170625,1
136,4,0,16.17530678278077,0.01172275,1
140,4,0,16.19815326128753,0.01169475,1
144,4,0,16.50277297471089,0.0116479999999999,1
148,4,0,16.6017743815735,0.011677,1
152,4,0,16.67031381709374,0.01166675,1
156,4,0,16.63985184575141,0.011665,1
160,4,0,16.74646874544958,0.0117065,1
164,4,0,16.70839128127166,0.011654,1
168,4,0,16.76931522395633,0.01165275,1
172,4,0,16.73123775977841,0.0116455,1
176,4,0,16.71600677410725,0.01167075,1
180,4,0,16.79977719529868,0.0116464,1
184,4,0,16.6855448027649,0.011668,1
188,4,0,16.79216170246309,0.011663,1
192,4,0,16.62462086008024,0.011666,1
196,4,0,16.65508283142257,0.01166,1
200,4,0,16.74646874544959,0.011668,1
204,4,0,16.69316029560051,0.01165775,1
208,4,0,16.44184903202622,0.01166725,1
212,4,0,16.05345889741143,0.01166525,1
0,8,0,17.23386028692697,0.011663,1
4,8,0,17.21101380842023,0.01165425,1
8,8,0,17.19578282274905,0.01168825,1
12,8,0,17.15770535857114,0.0116705,1
16,8,0,17.43947859348774,0.01166275,1
20,8,0,17.45470957915892,0.0116385,1
24,8,0,17.34809267946073,0.0116414999999999,1
28,8,0,17.35570817229632,0.0116506,1
32,8,0,17.34809267946073,0.01164325,1
36,8,0,17.25670676543372,0.0115953333333333,1
40,8,0,17.09678141588646,0.01163225,1
44,8,0,17.0739349373797,0.011643,1
