File,MUESTRA_0_0_51.csv,
Date/Time,22-09-30/16:26,

Center Wavelength,1528.9,nm
Span Wavelength,442.2,nm
Start Wavelength,1307.8,nm
Stop Wavelength,1750,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.07,nm
Actual Resolution,0.060,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1307.8,nm
Stop,1750,nm
Wavelength(A),Level(A)
1308.021100,5.2530E-009
1308.242200,4.2150E-009
1308.463300,2.0830E-008
1308.684400,1.5480E-008
1308.905500,1.9530E-009
1309.126600,7.6120E-010
1309.347700,1.1930E-008
1309.568800,5.9480E-009
1309.789900,2.3890E-008
1310.011000,1.9030E-008
1310.232100,1.4470E-008
1310.453200,4.6330E-009
1310.674300,8.5450E-009
1310.895400,9.4730E-009
1311.116500,1.1160E-008
1311.337600,2.8200E-009
1311.558700,1.2350E-008
1311.779800,3.8510E-008
1312.000900,4.7340E-010
1312.222000,-3.2210E-009
1312.443100,3.7360E-009
1312.664200,1.3500E-008
1312.885300,1.7520E-008
1313.106400,1.6150E-008
1313.327500,3.6840E-009
1313.548600,1.6810E-008
1313.769700,3.6940E-009
1313.990800,3.5320E-008
1314.211900,9.6630E-010
1314.433000,3.0130E-008
1314.654100,-3.7960E-009
1314.875200,5.3700E-009
1315.096300,-3.0860E-010
1315.317400,-1.4220E-008
1315.538500,5.3090E-009
1315.759600,6.1740E-011
1315.980700,1.3760E-008
1316.201800,3.3960E-009
1316.422900,1.1760E-008
1316.644000,-6.2710E-009
1316.865100,3.7390E-008
1317.086200,5.0260E-009
1317.307300,1.7350E-008
1317.528400,1.9340E-008
1317.749500,9.0480E-009
1317.970600,1.8650E-009
1318.191700,-1.9060E-009
1318.412800,2.2390E-008
1318.633900,1.1560E-008
1318.855000,2.5780E-009
1319.076100,6.9530E-009
1319.297200,1.8680E-008
1319.518300,-1.5580E-009
1319.739400,1.1060E-008
1319.960500,1.2900E-008
1320.181600,2.8700E-008
1320.402700,1.0170E-008
1320.623800,1.0840E-008
