File,WaveData20230131_116.csv,
Date/Time,23-01-31/16:49,

Trace,A
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm
Trace,B
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.000000,1.2200E-006,1250.000000,1.2200E-006
1250.100160,1.5400E-006,1250.100160,1.5400E-006
1250.200320,1.7320E-006,1250.200320,1.7320E-006
1250.300480,2.5130E-006,1250.300480,2.5130E-006
1250.400640,1.2620E-006,1250.400640,1.2620E-006
1250.500800,1.8800E-006,1250.500800,1.8800E-006
1250.600960,1.2880E-006,1250.600960,1.2880E-006
1250.701120,2.0260E-006,1250.701120,2.0260E-006
1250.801280,1.5350E-006,1250.801280,1.5350E-006
1250.901440,-3.8880E-007,1250.901440,-3.8880E-007
1251.001600,1.3640E-006,1251.001600,1.3640E-006
1251.101760,1.7370E-006,1251.101760,1.7370E-006
1251.201920,1.1870E-006,1251.201920,1.1870E-006
1251.302080,1.4550E-006,1251.302080,1.4550E-006
1251.402240,1.4940E-006,1251.402240,1.4940E-006
1251.502400,2.2960E-006,1251.502400,2.2960E-006
1251.602560,1.8330E-006,1251.602560,1.8330E-006
1251.702720,1.3220E-006,1251.702720,1.3220E-006
1251.802880,1.1830E-006,1251.802880,1.1830E-006
1251.903040,1.1900E-006,1251.903040,1.1900E-006
1252.003200,1.9610E-006,1252.003200,1.9610E-006
1252.103360,1.8510E-006,1252.103360,1.8510E-006
1252.203520,1.7140E-006,1252.203520,1.7140E-006
