File,WaveData20230131_121.csv,
Date/Time,23-01-31/16:51,

Trace,A
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm
Trace,B
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.000000,6.8080E-007,1250.000000,6.8080E-007
1250.100160,2.7400E-006,1250.100160,2.7400E-006
1250.200320,1.5100E-006,1250.200320,1.5100E-006
1250.300480,1.1460E-006,1250.300480,1.1460E-006
1250.400640,1.1880E-006,1250.400640,1.1880E-006
1250.500800,1.2810E-006,1250.500800,1.2810E-006
1250.600960,1.4220E-006,1250.600960,1.4220E-006
1250.701120,1.7070E-006,1250.701120,1.7070E-006
1250.801280,1.7710E-006,1250.801280,1.7710E-006
1250.901440,9.1070E-007,1250.901440,9.1070E-007
1251.001600,2.0420E-006,1251.001600,2.0420E-006
1251.101760,1.0110E-006,1251.101760,1.0110E-006
1251.201920,2.4970E-006,1251.201920,2.4970E-006
1251.302080,1.3780E-006,1251.302080,1.3780E-006
1251.402240,1.3180E-006,1251.402240,1.3180E-006
1251.502400,1.9450E-006,1251.502400,1.9450E-006
1251.602560,6.7830E-007,1251.602560,6.7830E-007
1251.702720,2.2170E-006,1251.702720,2.2170E-006
1251.802880,2.8240E-006,1251.802880,2.8240E-006
1251.903040,2.0720E-006,1251.903040,2.0720E-006
1252.003200,1.5790E-006,1252.003200,1.5790E-006
1252.103360,-2.5220E-007,1252.103360,-2.5220E-007
1252.203520,5.2410E-007,1252.203520,5.2410E-007
1252.303680,1.5790E-006,1252.303680,1.5790E-006
1252.403840,2.5640E-006,1252.403840,2.5640E-006
1252.504000,1.3100E-006,1252.504000,1.3100E-006
1252.604160,2.0660E-006,1252.604160,2.0660E-006
1252.704320,1.6900E-006,1252.704320,1.6900E-006
1252.804480,2.7300E-006,1252.804480,2.7300E-006
1252.904640,1.6170E-006,1252.904640,1.6170E-006
1253.004800,2.0880E-006,1253.004800,2.0880E-006
1253.104960,1.1930E-006,1253.104960,1.1930E-006
1253.205120,1.1330E-006,1253.205120,1.1330E-006
1253.305280,1.8580E-006,1253.305280,1.8580E-006
1253.405440,1.7180E-006,1253.405440,1.7180E-006
1253.505600,1.8340E-006,1253.505600,1.8340E-006
1253.605760,1.5130E-006,1253.605760,1.5130E-006
1253.705920,1.8170E-006,1253.705920,1.8170E-006
1253.806080,2.0910E-006,1253.806080,2.0910E-006
1253.906240,1.4450E-006,1253.906240,1.4450E-006
1254.006400,1.8190E-006,1254.006400,1.8190E-006
1254.106560,1.2610E-006,1254.106560,1.2610E-006
1254.206720,6.3990E-007,1254.206720,6.3990E-007
1254.306880,2.2690E-006,1254.306880,2.2690E-006
1254.407040,2.0870E-006,1254.407040,2.0870E-006
1254.507200,3.2280E-006,1254.507200,3.2280E-006
1254.607360,2.3030E-006,1254.607360,2.3030E-006
1254.707520,1.7840E-006,1254.707520,1.7840E-006
1254.807680,2.8070E-006,1254.807680,2.8070E-006
1254.907840,1.4750E-006,1254.907840,1.4750E-006
1255.008000,9.0090E-007,1255.008000,9.0090E-007
1255.108160,2.2000E-006,1255.108160,2.2000E-006
1255.208320,1.0880E-006,1255.208320,1.0880E-006
1255.308480,8.0450E-007,1255.308480,8.0450E-007
1255.408640,2.1360E-006,1255.408640,2.1360E-006
1255.508800,1.0900E-006,1255.508800,1.0900E-006
1255.608960,1.3960E-006,1255.608960,1.3960E-006
1255.709120,8.0600E-007,1255.709120,8.0600E-007
1255.809280,2.2370E-006,1255.809280,2.2370E-006
1255.909440,9.6750E-007,1255.909440,9.6750E-007
1256.009600,2.1170E-006,1256.009600,2.1170E-006
1256.109760,4.0430E-007,1256.109760,4.0430E-007
1256.209920,2.1600E-006,1256.209920,2.1600E-006
1256.310080,1.7000E-006,1256.310080,1.7000E-006
1256.410240,1.6230E-006,1256.410240,1.6230E-006
1256.510400,1.7460E-006,1256.510400,1.7460E-006
1256.610560,1.0910E-006,1256.610560,1.0910E-006
1256.710720,1.2600E-006,1256.710720,1.2600E-006
1256.810880,7.5570E-007,1256.810880,7.5570E-007
1256.911040,1.3310E-006,1256.911040,1.3310E-006
1257.011200,2.9400E-006,1257.011200,2.9400E-006
1257.111360,1.3800E-006,1257.111360,1.3800E-006
1257.211520,9.2360E-007,1257.211520,9.2360E-007
1257.311680,1.9450E-006,1257.311680,1.9450E-006
1257.411840,2.4530E-006,1257.411840,2.4530E-006
1257.512000,1.7170E-006,1257.512000,1.7170E-006
1257.612160,1.5770E-006,1257.612160,1.5770E-006
1257.712320,2.2170E-006,1257.712320,2.2170E-006
1257.812480,2.5350E-006,1257.812480,2.5350E-006
1257.912640,1.4760E-006,1257.912640,1.4760E-006
1258.012800,-3.5590E-008,1258.012800,-3.5590E-008
1258.112960,1.8780E-006,1258.112960,1.8780E-006
1258.213120,1.4710E-006,1258.213120,1.4710E-006
1258.313280,1.6630E-006,1258.313280,1.6630E-006
1258.413440,3.6490E-007,1258.413440,3.6490E-007
1258.513600,1.2650E-006,1258.513600,1.2650E-006
1258.613760,9.3290E-007,1258.613760,9.3290E-007
1258.713920,2.4070E-006,1258.713920,2.4070E-006
1258.814080,7.2010E-007,1258.814080,7.2010E-007
1258.914240,1.0580E-006,1258.914240,1.0580E-006
1259.014400,8.4640E-007,1259.014400,8.4640E-007
1259.114560,2.5100E-006,1259.114560,2.5100E-006
1259.214720,2.1050E-006,1259.214720,2.1050E-006
1259.314880,2.1670E-006,1259.314880,2.1670E-006
1259.415040,1.1890E-006,1259.415040,1.1890E-006
1259.515200,1.3050E-006,1259.515200,1.3050E-006
1259.615360,1.2630E-006,1259.615360,1.2630E-006
1259.715520,1.7220E-006,1259.715520,1.7220E-006
1259.815680,1.6830E-006,1259.815680,1.6830E-006
1259.915840,1.1970E-006,1259.915840,1.1970E-006
1260.016000,1.4050E-006,1260.016000,1.4050E-006
1260.116160,2.3730E-006,1260.116160,2.3730E-006
1260.216320,4.1460E-007,1260.216320,4.1460E-007
1260.316480,1.3210E-006,1260.316480,1.3210E-006
1260.416640,1.1540E-006,1260.416640,1.1540E-006
1260.516800,1.5600E-006,1260.516800,1.5600E-006
1260.616960,6.8460E-007,1260.616960,6.8460E-007
1260.717120,6.2480E-007,1260.717120,6.2480E-007
1260.817280,1.7730E-006,1260.817280,1.7730E-006
1260.917440,2.4700E-006,1260.917440,2.4700E-006
1261.017600,1.7420E-006,1261.017600,1.7420E-006
1261.117760,1.6270E-006,1261.117760,1.6270E-006
1261.217920,1.7450E-006,1261.217920,1.7450E-006
1261.318080,4.5350E-007,1261.318080,4.5350E-007
1261.418240,8.7090E-007,1261.418240,8.7090E-007
1261.518400,2.0360E-006,1261.518400,2.0360E-006
1261.618560,1.3680E-006,1261.618560,1.3680E-006
1261.718720,1.9420E-006,1261.718720,1.9420E-006
1261.818880,1.2140E-006,1261.818880,1.2140E-006
1261.919040,1.3430E-006,1261.919040,1.3430E-006
1262.019200,9.1760E-007,1262.019200,9.1760E-007
1262.119360,1.6890E-006,1262.119360,1.6890E-006
1262.219520,2.0730E-006,1262.219520,2.0730E-006
1262.319680,1.4220E-006,1262.319680,1.4220E-006
1262.419840,1.9570E-006,1262.419840,1.9570E-006
1262.520000,9.1400E-007,1262.520000,9.1400E-007
1262.620160,1.5090E-006,1262.620160,1.5090E-006
1262.720320,1.5430E-006,1262.720320,1.5430E-006
1262.820480,1.3240E-006,1262.820480,1.3240E-006
1262.920640,9.0260E-007,1262.920640,9.0260E-007
1263.020800,1.4350E-006,1263.020800,1.4350E-006
1263.120960,9.9320E-007,1263.120960,9.9320E-007
1263.221120,9.9470E-007,1263.221120,9.9470E-007
1263.321280,1.5620E-006,1263.321280,1.5620E-006
1263.421440,1.7680E-006,1263.421440,1.7680E-006
1263.521600,2.2200E-006,1263.521600,2.2200E-006
1263.621760,7.2890E-007,1263.621760,7.2890E-007
1263.721920,1.3430E-007,1263.721920,1.3430E-007
1263.822080,1.5510E-006,1263.822080,1.5510E-006
1263.922240,8.4990E-007,1263.922240,8.4990E-007
1264.022400,1.5530E-006,1264.022400,1.5530E-006
1264.122560,1.5870E-006,1264.122560,1.5870E-006
1264.222720,5.3720E-007,1264.222720,5.3720E-007
1264.322880,1.6440E-006,1264.322880,1.6440E-006
1264.423040,2.8910E-006,1264.423040,2.8910E-006
1264.523200,1.9520E-006,1264.523200,1.9520E-006
1264.623360,7.4480E-007,1264.623360,7.4480E-007
1264.723520,4.8320E-008,1264.723520,4.8320E-008
1264.823680,1.8870E-006,1264.823680,1.8870E-006
1264.923840,1.5140E-006,1264.923840,1.5140E-006
1265.024000,1.2580E-007,1265.024000,1.2580E-007
1265.124160,1.9760E-006,1265.124160,1.9760E-006
1265.224320,1.6130E-006,1265.224320,1.6130E-006
1265.324480,2.1370E-006,1265.324480,2.1370E-006
1265.424640,2.1710E-006,1265.424640,2.1710E-006
1265.524800,2.0760E-006,1265.524800,2.0760E-006
1265.624960,2.0510E-006,1265.624960,2.0510E-006
1265.725120,8.2970E-007,1265.725120,8.2970E-007
1265.825280,1.9870E-006,1265.825280,1.9870E-006
1265.925440,3.4850E-006,1265.925440,3.4850E-006
1266.025600,1.2180E-007,1266.025600,1.2180E-007
1266.125760,2.7670E-006,1266.125760,2.7670E-006
1266.225920,1.5760E-006,1266.225920,1.5760E-006
1266.326080,1.8070E-006,1266.326080,1.8070E-006
1266.426240,1.4800E-006,1266.426240,1.4800E-006
1266.526400,2.4150E-006,1266.526400,2.4150E-006
1266.626560,1.3430E-006,1266.626560,1.3430E-006
1266.726720,1.3680E-006,1266.726720,1.3680E-006
1266.826880,1.0790E-006,1266.826880,1.0790E-006
1266.927040,8.8630E-007,1266.927040,8.8630E-007
