File,WaveData20230131_125.csv,
Date/Time,23-01-31/16:53,

Trace,A
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm
Trace,B
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.000000,2.0340E-006,1250.000000,2.0340E-006
1250.100160,9.7970E-007,1250.100160,9.7970E-007
1250.200320,1.8920E-006,1250.200320,1.8920E-006
1250.300480,1.5240E-006,1250.300480,1.5240E-006
1250.400640,2.2140E-006,1250.400640,2.2140E-006
1250.500800,1.2190E-006,1250.500800,1.2190E-006
1250.600960,2.0960E-006,1250.600960,2.0960E-006
1250.701120,1.5090E-006,1250.701120,1.5090E-006
1250.801280,1.4170E-006,1250.801280,1.4170E-006
1250.901440,1.5870E-006,1250.901440,1.5870E-006
1251.001600,1.8050E-006,1251.001600,1.8050E-006
1251.101760,1.0990E-006,1251.101760,1.0990E-006
1251.201920,7.0080E-007,1251.201920,7.0080E-007
1251.302080,1.1840E-006,1251.302080,1.1840E-006
1251.402240,1.8490E-006,1251.402240,1.8490E-006
1251.502400,9.0570E-007,1251.502400,9.0570E-007
1251.602560,1.4860E-006,1251.602560,1.4860E-006
1251.702720,2.4650E-006,1251.702720,2.4650E-006
1251.802880,1.1930E-006,1251.802880,1.1930E-006
1251.903040,1.8540E-006,1251.903040,1.8540E-006
1252.003200,1.4540E-006,1252.003200,1.4540E-006
1252.103360,1.3060E-006,1252.103360,1.3060E-006
1252.203520,2.7140E-006,1252.203520,2.7140E-006
1252.303680,2.3060E-006,1252.303680,2.3060E-006
1252.403840,1.3340E-006,1252.403840,1.3340E-006
1252.504000,1.5100E-006,1252.504000,1.5100E-006
1252.604160,1.8320E-006,1252.604160,1.8320E-006
1252.704320,1.6430E-006,1252.704320,1.6430E-006
1252.804480,1.3680E-006,1252.804480,1.3680E-006
1252.904640,-7.2170E-009,1252.904640,-7.2170E-009
1253.004800,1.3550E-006,1253.004800,1.3550E-006
1253.104960,2.3710E-006,1253.104960,2.3710E-006
1253.205120,1.6270E-006,1253.205120,1.6270E-006
1253.305280,2.3870E-006,1253.305280,2.3870E-006
1253.405440,8.2630E-007,1253.405440,8.2630E-007
1253.505600,2.7290E-006,1253.505600,2.7290E-006
1253.605760,1.8520E-006,1253.605760,1.8520E-006
1253.705920,1.4670E-006,1253.705920,1.4670E-006
1253.806080,1.7270E-006,1253.806080,1.7270E-006
1253.906240,1.3100E-006,1253.906240,1.3100E-006
1254.006400,1.9290E-006,1254.006400,1.9290E-006
1254.106560,3.0390E-006,1254.106560,3.0390E-006
1254.206720,1.0980E-006,1254.206720,1.0980E-006
1254.306880,1.9080E-006,1254.306880,1.9080E-006
1254.407040,1.5820E-006,1254.407040,1.5820E-006
1254.507200,1.8910E-006,1254.507200,1.8910E-006
1254.607360,1.6260E-006,1254.607360,1.6260E-006
1254.707520,1.6860E-006,1254.707520,1.6860E-006
1254.807680,4.8340E-007,1254.807680,4.8340E-007
1254.907840,1.8860E-006,1254.907840,1.8860E-006
1255.008000,2.2160E-006,1255.008000,2.2160E-006
1255.108160,1.2840E-006,1255.108160,1.2840E-006
1255.208320,1.5880E-006,1255.208320,1.5880E-006
1255.308480,8.7570E-007,1255.308480,8.7570E-007
1255.408640,1.7950E-006,1255.408640,1.7950E-006
1255.508800,3.5180E-007,1255.508800,3.5180E-007
1255.608960,2.1590E-006,1255.608960,2.1590E-006
1255.709120,1.4830E-006,1255.709120,1.4830E-006
1255.809280,1.8090E-006,1255.809280,1.8090E-006
1255.909440,1.9730E-006,1255.909440,1.9730E-006
1256.009600,1.6300E-006,1256.009600,1.6300E-006
1256.109760,1.3420E-006,1256.109760,1.3420E-006
1256.209920,2.0790E-006,1256.209920,2.0790E-006
1256.310080,1.9590E-006,1256.310080,1.9590E-006
1256.410240,1.8170E-006,1256.410240,1.8170E-006
1256.510400,9.3070E-007,1256.510400,9.3070E-007
1256.610560,1.6220E-006,1256.610560,1.6220E-006
1256.710720,1.8860E-006,1256.710720,1.8860E-006
1256.810880,2.0780E-006,1256.810880,2.0780E-006
1256.911040,5.5380E-007,1256.911040,5.5380E-007
1257.011200,1.2520E-006,1257.011200,1.2520E-006
1257.111360,1.3840E-006,1257.111360,1.3840E-006
1257.211520,1.3380E-006,1257.211520,1.3380E-006
1257.311680,1.3310E-006,1257.311680,1.3310E-006
1257.411840,1.8400E-006,1257.411840,1.8400E-006
1257.512000,1.1830E-006,1257.512000,1.1830E-006
1257.612160,1.5870E-006,1257.612160,1.5870E-006
1257.712320,9.6570E-007,1257.712320,9.6570E-007
1257.812480,1.1860E-006,1257.812480,1.1860E-006
