File,WaveData20230131_109.csv,
Date/Time,23-01-31/16:30,

Trace,A
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm
Trace,B
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.000000,1.7520E-006,1250.000000,1.7520E-006
1250.100160,2.7640E-008,1250.100160,2.7640E-008
1250.200320,-3.3510E-007,1250.200320,-3.3510E-007
1250.300480,1.8550E-006,1250.300480,1.8550E-006
1250.400640,-5.9260E-008,1250.400640,-5.9260E-008
1250.500800,7.0270E-007,1250.500800,7.0270E-007
1250.600960,8.0840E-007,1250.600960,8.0840E-007
1250.701120,2.2640E-007,1250.701120,2.2640E-007
1250.801280,-1.4800E-007,1250.801280,-1.4800E-007
1250.901440,6.0550E-007,1250.901440,6.0550E-007
1251.001600,2.1180E-007,1251.001600,2.1180E-007
1251.101760,3.8080E-007,1251.101760,3.8080E-007
1251.201920,8.8290E-007,1251.201920,8.8290E-007
1251.302080,4.9330E-007,1251.302080,4.9330E-007
1251.402240,1.1940E-006,1251.402240,1.1940E-006
1251.502400,5.3580E-007,1251.502400,5.3580E-007
1251.602560,-3.0370E-007,1251.602560,-3.0370E-007
1251.702720,6.1320E-007,1251.702720,6.1320E-007
1251.802880,5.4540E-008,1251.802880,5.4540E-008
1251.903040,8.3000E-007,1251.903040,8.3000E-007
1252.003200,-7.4890E-008,1252.003200,-7.4890E-008
1252.103360,6.6890E-007,1252.103360,6.6890E-007
1252.203520,4.9920E-007,1252.203520,4.9920E-007
1252.303680,3.9860E-007,1252.303680,3.9860E-007
1252.403840,8.8610E-007,1252.403840,8.8610E-007
1252.504000,-5.5140E-008,1252.504000,-5.5140E-008
1252.604160,9.8460E-009,1252.604160,9.8460E-009
1252.704320,1.3520E-007,1252.704320,1.3520E-007
1252.804480,2.1130E-007,1252.804480,2.1130E-007
1252.904640,7.8660E-007,1252.904640,7.8660E-007
1253.004800,2.1640E-008,1253.004800,2.1640E-008
1253.104960,1.2900E-006,1253.104960,1.2900E-006
