File,WaveData20210923_055.csv,
Date/Time,21-09-23/17:23,

Trace,A
Center Wavelength,1558.8,nm
Span Wavelength,200,nm
Start Wavelength,1458.8,nm
Stop Wavelength,1658.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,1001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1458.8,nm
Stop,1658.8,nm

Wavelength(A),Level(A)
1458.800000,2.3370E-006
1459.000000,2.3690E-006
1459.200000,2.3570E-006
1459.400000,2.3740E-006
1459.600000,2.3590E-006
1459.800000,2.3820E-006
1460.000000,2.3800E-006
1460.200000,2.3880E-006
1460.400000,2.3730E-006
1460.600000,2.4190E-006
1460.800000,2.3910E-006
1461.000000,2.4360E-006
1461.200000,2.4250E-006
1461.400000,2.4490E-006
1461.600000,2.4680E-006
1461.800000,2.4270E-006
1462.000000,2.4690E-006
1462.200000,2.5030E-006
1462.400000,2.4730E-006
1462.600000,2.5200E-006
1462.800000,2.4730E-006
1463.000000,2.5010E-006
1463.200000,2.4650E-006
1463.400000,2.4630E-006
1463.600000,2.5210E-006
1463.800000,2.4980E-006
1464.000000,2.5270E-006
1464.200000,2.5160E-006
1464.400000,2.4920E-006
1464.600000,2.4890E-006
1464.800000,2.5260E-006
1465.000000,2.5140E-006
1465.200000,2.5620E-006
1465.400000,2.5310E-006
1465.600000,2.5790E-006
1465.800000,2.5330E-006
1466.000000,2.5590E-006
1466.200000,2.5820E-006
1466.400000,2.5710E-006
1466.600000,2.5930E-006
1466.800000,2.5510E-006
1467.000000,2.5620E-006
1467.200000,2.5620E-006
1467.400000,2.5880E-006
1467.600000,2.6060E-006
1467.800000,2.6210E-006
1468.000000,2.6460E-006
1468.200000,2.6430E-006
1468.400000,2.6070E-006
1468.600000,2.6380E-006
1468.800000,2.6130E-006
1469.000000,2.6290E-006
1469.200000,2.6350E-006
1469.400000,2.6910E-006
1469.600000,2.6450E-006
1469.800000,2.6520E-006
1470.000000,2.6260E-006
1470.200000,2.6940E-006
1470.400000,2.7370E-006
1470.600000,2.6410E-006
1470.800000,2.6750E-006
1471.000000,2.6650E-006
1471.200000,2.6990E-006
1471.400000,2.6940E-006
1471.600000,2.6580E-006
1471.800000,2.7160E-006
1472.000000,2.7080E-006
1472.200000,2.7090E-006
1472.400000,2.6820E-006
1472.600000,2.6850E-006
1472.800000,2.7320E-006
1473.000000,2.7660E-006
1473.200000,2.7790E-006
1473.400000,2.7580E-006
1473.600000,2.7680E-006
1473.800000,2.7290E-006
1474.000000,2.7480E-006
1474.200000,2.8070E-006
1474.400000,2.7800E-006
1474.600000,2.8160E-006
1474.800000,2.7640E-006
1475.000000,2.7670E-006
1475.200000,2.7980E-006
