File,WaveData20210924_012.csv,
Date/Time,21-09-24/13:31,

Trace,A
Center Wavelength,1557.8,nm
Span Wavelength,400,nm
Start Wavelength,1357.8,nm
Stop Wavelength,1757.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.07,nm
Actual Resolution,0.058,nm
VBW,1000,Hz
Point Average,20,
Sweep Average,4,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1357.8,nm
Stop,1757.8,nm

Wavelength(A),Level(A)
1357.800000,2.5700E-008
1358.000000,3.0130E-008
1358.200000,1.3080E-008
1358.400000,6.9930E-009
1358.600000,2.3210E-008
1358.800000,1.7130E-008
1359.000000,1.2230E-008
1359.200000,2.5360E-008
1359.400000,1.8890E-008
1359.600000,2.5810E-008
1359.800000,1.6030E-008
1360.000000,2.2500E-008
1360.200000,1.6150E-008
1360.400000,1.2890E-008
1360.600000,1.6500E-008
1360.800000,2.3170E-008
1361.000000,1.1830E-008
1361.200000,1.9680E-008
1361.400000,2.2580E-008
1361.600000,1.4780E-008
1361.800000,1.4340E-008
1362.000000,1.4730E-008
1362.200000,3.1360E-009
1362.400000,1.4900E-008
1362.600000,2.1150E-008
1362.800000,1.6230E-008
1363.000000,1.3360E-008
1363.200000,1.5930E-008
1363.400000,3.2580E-008
1363.600000,3.0020E-008
1363.800000,1.7050E-008
1364.000000,1.2810E-008
1364.200000,1.0830E-008
1364.400000,1.3880E-008
1364.600000,2.4610E-008
1364.800000,1.7170E-009
1365.000000,2.3060E-008
1365.200000,2.0400E-008
1365.400000,1.9530E-008
1365.600000,2.3260E-008
1365.800000,2.1900E-008
1366.000000,2.1370E-008
1366.200000,2.1440E-008
1366.400000,2.4910E-008
1366.600000,9.8230E-009
1366.800000,2.1250E-008
1367.000000,6.2980E-010
1367.200000,2.8120E-008
1367.400000,2.6580E-008
1367.600000,2.4650E-008
1367.800000,3.2690E-008
1368.000000,2.5580E-008
1368.200000,1.3860E-008
1368.400000,1.2150E-008
1368.600000,2.5080E-008
1368.800000,1.8450E-008
1369.000000,1.5980E-008
1369.200000,2.3910E-008
1369.400000,3.3210E-008
1369.600000,2.3060E-008
1369.800000,1.9880E-008
1370.000000,2.4900E-008
1370.200000,1.1980E-008
1370.400000,2.3290E-008
1370.600000,1.4100E-008
1370.800000,2.4400E-008
1371.000000,2.6140E-008
1371.200000,7.4230E-009
1371.400000,2.0380E-008
1371.600000,1.6300E-008
1371.800000,1.6830E-008
1372.000000,2.9100E-008
1372.200000,1.7290E-008
1372.400000,1.4900E-008
1372.600000,2.2220E-008
1372.800000,1.7310E-008
1373.000000,1.3240E-008
1373.200000,7.9650E-009
1373.400000,1.1160E-008
1373.600000,2.1190E-008
1373.800000,2.2440E-008
1374.000000,2.6010E-008
1374.200000,1.2720E-008
1374.400000,3.0010E-008
1374.600000,1.3270E-008
1374.800000,2.9780E-008
1375.000000,1.2350E-008
1375.200000,3.0890E-008
1375.400000,1.6760E-008
1375.600000,3.2540E-008
1375.800000,1.5260E-008
1376.000000,7.9650E-009
1376.200000,2.6730E-008
1376.400000,1.0470E-008
1376.600000,7.0820E-009
1376.800000,2.4420E-008
1377.000000,1.8410E-008
1377.200000,5.0430E-009
1377.400000,1.8560E-008
1377.600000,4.6820E-009
1377.800000,9.6560E-009
1378.000000,2.1240E-008
1378.200000,3.1330E-008
1378.400000,2.2540E-008
1378.600000,9.0550E-009
1378.800000,8.2890E-009
1379.000000,1.3590E-008
1379.200000,9.5210E-009
1379.400000,3.3490E-008
1379.600000,2.1930E-008
1379.800000,3.5360E-008
1380.000000,2.1710E-008
1380.200000,2.4110E-008
1380.400000,1.9650E-008
1380.600000,1.1610E-008
1380.800000,1.6080E-008
1381.000000,1.4830E-008
1381.200000,2.0030E-008
1381.400000,2.0730E-008
1381.600000,1.6260E-008
1381.800000,3.2600E-008
1382.000000,1.6760E-008
1382.200000,2.5690E-008
1382.400000,2.5150E-008
1382.600000,2.3200E-008
1382.800000,9.8250E-010
1383.000000,1.7910E-008
1383.200000,1.7550E-008
1383.400000,1.4010E-008
1383.600000,2.4920E-008
1383.800000,1.8440E-008
1384.000000,1.9810E-008
1384.200000,3.5680E-008
1384.400000,1.5750E-008
1384.600000,3.0480E-009
1384.800000,1.8800E-008
1385.000000,2.2730E-008
1385.200000,3.4990E-008
1385.400000,7.3400E-009
1385.600000,2.6430E-008
1385.800000,2.0610E-008
1386.000000,1.3510E-008
1386.200000,2.2740E-008
1386.400000,1.5480E-008
1386.600000,1.4830E-008
1386.800000,9.1590E-009
1387.000000,1.4590E-008
1387.200000,2.6070E-008
1387.400000,9.0580E-009
1387.600000,1.1470E-008
1387.800000,1.4470E-008
1388.000000,8.2760E-009
1388.200000,1.3080E-008
1388.400000,2.2120E-008
1388.600000,3.0760E-008
1388.800000,1.2550E-008
1389.000000,1.5670E-008
1389.200000,6.7610E-009
1389.400000,1.3550E-008
1389.600000,2.2330E-008
1389.800000,3.9760E-008
1390.000000,6.2090E-009
1390.200000,2.9940E-008
1390.400000,1.4760E-008
1390.600000,2.5160E-008
1390.800000,6.8890E-009
1391.000000,5.0000E-009
1391.200000,2.2240E-008
1391.400000,1.6210E-008
1391.600000,2.7450E-008
1391.800000,5.0430E-010
1392.000000,2.7010E-008
1392.200000,5.4540E-009
1392.400000,1.5400E-008
1392.600000,1.8420E-008
1392.800000,1.6740E-008
1393.000000,1.7850E-008
1393.200000,2.2260E-008
1393.400000,1.8600E-008
1393.600000,2.4250E-008
1393.800000,1.1660E-008
1394.000000,1.0010E-008
1394.200000,2.7590E-008
1394.400000,2.1710E-008
1394.600000,1.6240E-008
1394.800000,1.7460E-008
1395.000000,1.1430E-008
1395.200000,1.8710E-008
1395.400000,2.0880E-008
1395.600000,7.2040E-009
1395.800000,2.3850E-008
1396.000000,2.0880E-008
1396.200000,2.7450E-008
1396.400000,1.3730E-008
1396.600000,7.5060E-009
1396.800000,1.2910E-008
1397.000000,2.5380E-008
1397.200000,2.7790E-008
1397.400000,1.6180E-008
1397.600000,3.0170E-008
1397.800000,2.8630E-008
1398.000000,1.5920E-008
1398.200000,1.2750E-008
1398.400000,1.3870E-008
1398.600000,2.5560E-008
1398.800000,5.5980E-009
1399.000000,2.2720E-008
1399.200000,1.0190E-008
1399.400000,1.1140E-008
1399.600000,1.4120E-008
1399.800000,2.2130E-008
1400.000000,1.8270E-008
1400.200000,1.7800E-008
1400.400000,2.8510E-008
1400.600000,3.3490E-008
1400.800000,1.5900E-008
1401.000000,1.9390E-008
1401.200000,3.2990E-008
1401.400000,2.5130E-008
1401.600000,2.4180E-008
1401.800000,3.7440E-008
1402.000000,1.2210E-008
1402.200000,1.6340E-008
1402.400000,1.5520E-008
1402.600000,3.0060E-008
1402.800000,1.6850E-008
1403.000000,8.2180E-009
1403.200000,2.2820E-008
1403.400000,2.0820E-008
1403.600000,1.5760E-008
1403.800000,2.2240E-008
1404.000000,1.8000E-008
1404.200000,-4.6930E-009
1404.400000,9.6670E-009
1404.600000,2.0350E-008
1404.800000,1.4040E-008
1405.000000,2.0500E-008
1405.200000,3.1050E-008
1405.400000,-2.3960E-009
1405.600000,1.5010E-008
1405.800000,6.8310E-010
1406.000000,2.8740E-008
1406.200000,3.2820E-008
1406.400000,1.9940E-008
1406.600000,2.7380E-008
1406.800000,2.0560E-008
1407.000000,2.2940E-008
1407.200000,2.0640E-008
1407.400000,2.3090E-008
1407.600000,3.1640E-008
1407.800000,2.2120E-008
1408.000000,1.0640E-008
1408.200000,2.6770E-008
1408.400000,1.0490E-008
1408.600000,1.8050E-008
1408.800000,9.9560E-009
1409.000000,2.7690E-008
1409.200000,1.6780E-008
1409.400000,1.9150E-008
1409.600000,1.3180E-008
1409.800000,1.0060E-008
1410.000000,2.0670E-008
1410.200000,3.2710E-008
1410.400000,2.5070E-008
1410.600000,1.6570E-008
1410.800000,4.0650E-008
1411.000000,2.9560E-008
1411.200000,1.7670E-008
1411.400000,2.8410E-008
1411.600000,1.7290E-008
1411.800000,9.2030E-009
1412.000000,1.1490E-008
1412.200000,2.0010E-008
1412.400000,2.0900E-008
1412.600000,2.2160E-008
1412.800000,3.4510E-008
1413.000000,2.8840E-008
1413.200000,2.4030E-008
1413.400000,1.2380E-008
1413.600000,9.4260E-009
1413.800000,2.1570E-008
1414.000000,2.9230E-008
1414.200000,1.6590E-008
1414.400000,7.5320E-009
1414.600000,2.2540E-008
1414.800000,2.3350E-008
1415.000000,1.9060E-008
1415.200000,1.6200E-008
1415.400000,2.2670E-008
1415.600000,2.3500E-008
1415.800000,2.0320E-008
1416.000000,2.6780E-008
1416.200000,1.0610E-008
1416.400000,1.1690E-008
1416.600000,1.5270E-008
1416.800000,1.7130E-008
1417.000000,2.4720E-008
1417.200000,1.1100E-008
1417.400000,3.2610E-008
1417.600000,2.1170E-008
1417.800000,1.5420E-008
1418.000000,4.5300E-009
1418.200000,2.4830E-008
1418.400000,3.3700E-008
1418.600000,1.7180E-008
1418.800000,2.4990E-008
1419.000000,1.6000E-008
1419.200000,1.7200E-008
1419.400000,1.3540E-008
1419.600000,2.0520E-008
1419.800000,1.0270E-008
1420.000000,3.5010E-008
1420.200000,1.8130E-008
1420.400000,1.8200E-008
1420.600000,1.3410E-008
1420.800000,2.7340E-008
1421.000000,2.6920E-008
1421.200000,1.3530E-008
1421.400000,2.3420E-008
1421.600000,8.5400E-009
1421.800000,2.5010E-008
1422.000000,1.8860E-008
1422.200000,4.5010E-009
1422.400000,2.6000E-008
1422.600000,2.7170E-008
1422.800000,1.7170E-008
1423.000000,5.5590E-009
1423.200000,2.1740E-008
1423.400000,1.4530E-008
1423.600000,2.6890E-008
1423.800000,1.7400E-008
1424.000000,1.5470E-008
1424.200000,1.1920E-008
1424.400000,2.7040E-008
1424.600000,2.5470E-008
1424.800000,1.2900E-008
1425.000000,2.2660E-008
1425.200000,1.9900E-008
1425.400000,2.9160E-008
1425.600000,3.4000E-008
1425.800000,1.9730E-008
1426.000000,1.7290E-008
1426.200000,2.5730E-008
1426.400000,2.7690E-008
1426.600000,1.5630E-008
1426.800000,2.2210E-008
1427.000000,2.1810E-008
1427.200000,1.7670E-008
1427.400000,1.9920E-008
1427.600000,2.7480E-008
1427.800000,7.3050E-009
1428.000000,1.4060E-008
1428.200000,1.3300E-008
1428.400000,2.8290E-008
1428.600000,2.0570E-008
1428.800000,2.0010E-008
1429.000000,8.5570E-009
1429.200000,2.4130E-008
1429.400000,1.5820E-008
1429.600000,2.7310E-008
1429.800000,1.6230E-008
1430.000000,2.4860E-008
1430.200000,1.7020E-008
1430.400000,9.7340E-009
1430.600000,2.7360E-008
1430.800000,1.9620E-008
1431.000000,2.3550E-008
1431.200000,7.3150E-009
1431.400000,2.0250E-008
1431.600000,1.0710E-008
1431.800000,2.0160E-008
1432.000000,-2.3840E-010
1432.200000,1.5890E-008
1432.400000,2.4390E-008
1432.600000,2.9640E-008
1432.800000,1.6990E-008
1433.000000,2.1880E-008
1433.200000,2.2680E-008
1433.400000,1.3390E-008
1433.600000,2.5790E-008
1433.800000,2.6150E-008
1434.000000,1.6560E-008
1434.200000,2.1230E-008
1434.400000,1.9290E-008
1434.600000,2.7100E-008
1434.800000,1.2150E-008
1435.000000,1.7560E-008
1435.200000,6.9230E-009
1435.400000,2.2740E-008
1435.600000,2.4140E-008
1435.800000,1.2670E-008
1436.000000,4.7680E-009
1436.200000,1.6590E-008
1436.400000,2.7770E-008
1436.600000,3.2160E-008
1436.800000,2.9580E-008
1437.000000,6.1940E-009
1437.200000,2.3130E-008
1437.400000,2.6510E-008
1437.600000,2.6320E-008
1437.800000,1.5480E-008
1438.000000,1.7040E-008
1438.200000,1.3400E-008
1438.400000,2.7390E-008
1438.600000,9.9940E-009
1438.800000,2.0360E-008
1439.000000,2.1320E-008
1439.200000,2.9350E-008
1439.400000,2.3020E-008
1439.600000,3.0070E-008
1439.800000,2.7280E-008
1440.000000,1.8470E-008
1440.200000,3.1280E-008
1440.400000,1.9510E-008
1440.600000,3.6390E-008
1440.800000,1.3770E-008
1441.000000,2.9520E-008
1441.200000,3.5550E-008
1441.400000,1.2530E-008
1441.600000,1.6140E-008
1441.800000,2.6180E-008
1442.000000,1.8330E-008
1442.200000,3.4350E-008
1442.400000,2.6610E-008
1442.600000,2.4870E-008
1442.800000,2.3970E-008
1443.000000,2.9430E-008
1443.200000,2.5460E-008
1443.400000,1.6640E-008
1443.600000,2.0270E-008
1443.800000,2.9430E-008
1444.000000,2.8870E-008
1444.200000,2.0030E-008
1444.400000,3.5400E-008
1444.600000,3.6440E-010
1444.800000,1.7750E-008
1445.000000,2.3110E-008
1445.200000,1.2970E-008
1445.400000,2.4250E-008
1445.600000,3.1730E-008
1445.800000,2.7010E-008
1446.000000,1.7130E-008
1446.200000,2.4320E-008
1446.400000,2.7320E-008
1446.600000,2.6880E-008
1446.800000,1.2970E-008
1447.000000,3.0230E-008
1447.200000,3.8120E-008
1447.400000,2.6620E-008
1447.600000,2.3150E-008
1447.800000,2.5170E-008
1448.000000,2.0470E-008
1448.200000,1.8270E-008
1448.400000,2.7270E-008
1448.600000,3.3980E-008
1448.800000,3.3840E-008
1449.000000,2.4490E-008
1449.200000,2.3160E-008
1449.400000,2.6400E-008
1449.600000,7.9100E-009
1449.800000,2.0470E-008
1450.000000,2.3880E-008
1450.200000,2.6800E-008
1450.400000,3.4320E-008
1450.600000,3.3130E-008
1450.800000,3.5050E-008
1451.000000,1.8820E-008
1451.200000,2.4710E-008
1451.400000,2.7940E-008
1451.600000,1.6690E-008
1451.800000,2.2960E-008
1452.000000,3.0170E-008
1452.200000,2.1970E-008
1452.400000,1.9280E-008
1452.600000,5.8500E-009
1452.800000,3.6570E-008
1453.000000,2.9200E-008
1453.200000,2.5560E-008
1453.400000,3.2730E-008
1453.600000,2.8020E-008
1453.800000,4.5920E-008
1454.000000,2.2670E-008
1454.200000,1.8660E-008
1454.400000,2.6290E-008
1454.600000,2.9870E-008
1454.800000,2.7530E-008
1455.000000,3.1690E-008
1455.200000,2.0360E-008
1455.400000,1.1520E-008
1455.600000,3.3600E-008
1455.800000,1.6690E-008
1456.000000,1.4430E-008
1456.200000,1.6020E-008
1456.400000,2.1890E-008
1456.600000,2.4740E-008
1456.800000,3.1970E-008
1457.000000,1.7770E-008
1457.200000,1.9770E-008
1457.400000,1.3880E-008
1457.600000,3.0700E-008
1457.800000,1.5850E-008
1458.000000,4.1510E-008
1458.200000,3.7500E-008
1458.400000,3.0260E-008
1458.600000,2.5760E-008
1458.800000,2.2610E-008
1459.000000,1.9800E-008
1459.200000,2.0820E-008
1459.400000,2.1570E-008
1459.600000,3.5070E-008
1459.800000,2.1610E-008
1460.000000,1.6800E-008
1460.200000,3.6950E-008
1460.400000,3.5130E-008
1460.600000,2.9100E-008
1460.800000,3.7340E-008
1461.000000,7.5970E-009
1461.200000,1.5760E-008
1461.400000,2.8780E-008
1461.600000,1.9200E-008
1461.800000,2.5800E-008
1462.000000,2.3900E-008
1462.200000,2.7910E-008
1462.400000,3.6490E-008
1462.600000,2.9010E-008
1462.800000,3.6970E-008
1463.000000,4.4540E-008
1463.200000,2.3260E-008
1463.400000,4.1360E-008
1463.600000,2.7050E-008
1463.800000,4.3870E-008
1464.000000,3.2040E-008
1464.200000,2.3930E-008
1464.400000,2.3480E-008
1464.600000,1.6250E-008
1464.800000,3.6920E-008
1465.000000,2.1990E-008
1465.200000,9.3420E-009
1465.400000,2.8000E-008
1465.600000,2.1970E-008
1465.800000,2.6020E-008
1466.000000,3.1630E-008
1466.200000,3.9280E-008
