File,MUESTRA_0_3_8.csv,
Date/Time,23-02-17/10:28,

Center Wavelength,1471.1,nm
Span Wavelength,557.6,nm
Start Wavelength,1192.3,nm
Stop Wavelength,1749.9,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.494,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1192.3,nm
Stop,1749.9,nm
1192.300000,2.1550E-007
1192.578800,2.1450E-007
1192.857600,2.0720E-007
1193.136400,1.8570E-007
1193.415200,1.7680E-007
1193.694000,1.6800E-007
1193.972800,1.6060E-007
1194.251600,2.0740E-007
1194.530400,1.6450E-007
1194.809200,1.6090E-007
1195.088000,1.7510E-007
1195.366800,2.1150E-007
1195.645600,1.8510E-007
1195.924400,1.4240E-007
1196.203200,1.8040E-007
1196.482000,2.2260E-007
1196.760800,1.8720E-007
1197.039600,2.0190E-007
1197.318400,1.8090E-007
1197.597200,2.0170E-007
1197.876000,1.8360E-007
1198.154800,2.1560E-007
1198.433600,1.9120E-007
1198.712400,1.7880E-007
1198.991200,1.6510E-007
1199.270000,1.8440E-007
1199.548800,1.6030E-007
1199.827600,1.9020E-007
1200.106400,1.9020E-007
1200.385200,1.1410E-007
1200.664000,1.6970E-007
1200.942800,1.9760E-007
1201.221600,1.7940E-007
1201.500400,1.7070E-007
1201.779200,1.9320E-007
1202.058000,1.9650E-007
1202.336800,1.5550E-007
1202.615600,1.6560E-007
1202.894400,1.5350E-007
1203.173200,1.5680E-007
1203.452000,1.8940E-007
1203.730800,1.7380E-007
1204.009600,2.0230E-007
1204.288400,1.6160E-007
1204.567200,1.5650E-007
1204.846000,1.5840E-007
1205.124800,1.7600E-007
1205.403600,1.9700E-007
1205.682400,1.6870E-007
1205.961200,2.1590E-007
1206.240000,1.5320E-007
1206.518800,1.7480E-007
1206.797600,1.7800E-007
1207.076400,1.3630E-007
1207.355200,1.5330E-007
1207.634000,1.1710E-007
1207.912800,1.3970E-007
1208.191600,1.5860E-007
1208.470400,1.7980E-007
1208.749200,1.5200E-007
1209.028000,1.8680E-007
1209.306800,1.7030E-007
1209.585600,2.2180E-007
1209.864400,1.7230E-007
1210.143200,1.9510E-007
1210.422000,2.1090E-007
1210.700800,1.6030E-007
1210.979600,1.8300E-007
1211.258400,1.7910E-007
1211.537200,1.7640E-007
1211.816000,1.3900E-007
1212.094800,1.5120E-007
1212.373600,1.7950E-007
1212.652400,1.5220E-007
1212.931200,1.9960E-007
1213.210000,1.6810E-007
1213.488800,1.4950E-007
1213.767600,1.7790E-007
1214.046400,1.4260E-007
1214.325200,1.4250E-007
1214.604000,1.5430E-007
1214.882800,1.7200E-007
1215.161600,1.6380E-007
1215.440400,1.9140E-007
1215.719200,1.4350E-007
1215.998000,1.6120E-007
1216.276800,1.4320E-007
1216.555600,2.0240E-007
1216.834400,1.7920E-007
1217.113200,2.0380E-007
1217.392000,1.8410E-007
1217.670800,1.4330E-007
1217.949600,2.0000E-007
1218.228400,1.9720E-007
1218.507200,1.6330E-007
1218.786000,1.8810E-007
1219.064800,1.2530E-007
1219.343600,1.6970E-007
1219.622400,1.7820E-007
1219.901200,1.5990E-007
1220.180000,1.4970E-007
1220.458800,1.5000E-007
1220.737600,1.5160E-007
1221.016400,1.8610E-007
1221.295200,1.6100E-007
1221.574000,1.2930E-007
1221.852800,1.6590E-007
1222.131600,1.7070E-007
1222.410400,1.2850E-007
1222.689200,1.8030E-007
1222.968000,1.7490E-007
1223.246800,1.3460E-007
1223.525600,1.6060E-007
1223.804400,1.4410E-007
1224.083200,2.1240E-007
1224.362000,1.4690E-007
1224.640800,1.3080E-007
1224.919600,1.8180E-007
1225.198400,9.1090E-008
1225.477200,1.8880E-007
1225.756000,1.3760E-007
1226.034800,1.4440E-007
1226.313600,1.4660E-007
1226.592400,1.1240E-007
1226.871200,1.6400E-007
1227.150000,1.9030E-007
1227.428800,1.3880E-007
1227.707600,2.2450E-007
1227.986400,1.6820E-007
1228.265200,1.4350E-007
1228.544000,1.5580E-007
1228.822800,1.9980E-007
1229.101600,1.1920E-007
1229.380400,2.0010E-007
1229.659200,1.5470E-007
1229.938000,1.8640E-007
1230.216800,1.8980E-007
1230.495600,2.0710E-007
1230.774400,1.6620E-007
1231.053200,1.8530E-007
1231.332000,1.7000E-007
1231.610800,1.3910E-007
1231.889600,1.8870E-007
1232.168400,1.9630E-007
1232.447200,1.8520E-007
1232.726000,1.7690E-007
1233.004800,1.6760E-007
1233.283600,1.4570E-007
1233.562400,1.2050E-007
1233.841200,1.9220E-007
1234.120000,1.5570E-007
1234.398800,1.7110E-007
1234.677600,1.4320E-007
1234.956400,1.5160E-007
1235.235200,1.7710E-007
