File,MUESTRA_0_25_32.csv,
Date/Time,23-02-16/20:15,

Center Wavelength,1471.1,nm
Span Wavelength,557.6,nm
Start Wavelength,1192.3,nm
Stop Wavelength,1749.9,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.494,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1192.3,nm
Stop,1749.9,nm
1192.300000,8.8620E-007
1192.578800,8.9880E-007
1192.857600,8.4830E-007
1193.136400,9.1600E-007
1193.415200,9.1470E-007
1193.694000,8.6580E-007
1193.972800,8.4300E-007
1194.251600,8.8930E-007
1194.530400,8.6710E-007
1194.809200,9.2860E-007
1195.088000,8.6600E-007
1195.366800,8.7650E-007
1195.645600,8.8540E-007
1195.924400,8.2150E-007
1196.203200,8.5170E-007
1196.482000,8.4040E-007
1196.760800,8.6920E-007
1197.039600,8.8100E-007
1197.318400,8.2400E-007
1197.597200,8.5690E-007
1197.876000,8.1670E-007
1198.154800,8.1120E-007
1198.433600,8.2770E-007
1198.712400,8.5370E-007
1198.991200,8.4860E-007
1199.270000,8.8040E-007
1199.548800,8.5310E-007
1199.827600,8.7210E-007
1200.106400,8.2340E-007
1200.385200,8.9960E-007
1200.664000,8.5620E-007
1200.942800,8.4250E-007
1201.221600,8.2240E-007
1201.500400,8.7250E-007
1201.779200,7.5830E-007
1202.058000,8.4100E-007
1202.336800,8.7410E-007
1202.615600,8.2030E-007
1202.894400,8.2020E-007
1203.173200,8.1740E-007
1203.452000,8.2580E-007
1203.730800,8.9870E-007
1204.009600,8.2230E-007
1204.288400,8.4520E-007
1204.567200,8.6560E-007
1204.846000,8.2620E-007
1205.124800,8.5530E-007
1205.403600,8.5770E-007
1205.682400,8.4690E-007
1205.961200,8.3050E-007
1206.240000,8.5580E-007
1206.518800,8.0760E-007
1206.797600,8.6060E-007
1207.076400,8.7700E-007
1207.355200,8.7630E-007
1207.634000,7.9210E-007
1207.912800,8.2080E-007
1208.191600,8.2360E-007
1208.470400,8.3470E-007
1208.749200,8.3150E-007
1209.028000,8.5480E-007
1209.306800,8.5420E-007
1209.585600,8.0140E-007
1209.864400,8.6750E-007
1210.143200,7.7370E-007
1210.422000,8.2530E-007
1210.700800,8.7020E-007
1210.979600,8.4260E-007
1211.258400,8.0350E-007
1211.537200,8.2510E-007
1211.816000,8.3950E-007
1212.094800,8.5570E-007
1212.373600,8.9900E-007
1212.652400,8.7570E-007
1212.931200,8.1890E-007
1213.210000,8.4770E-007
1213.488800,7.7370E-007
1213.767600,8.3930E-007
1214.046400,8.2130E-007
1214.325200,8.6530E-007
1214.604000,8.3460E-007
1214.882800,7.9370E-007
1215.161600,8.6590E-007
1215.440400,8.0580E-007
1215.719200,8.1320E-007
1215.998000,7.9560E-007
1216.276800,8.0900E-007
1216.555600,8.2690E-007
1216.834400,8.1500E-007
1217.113200,8.4260E-007
1217.392000,8.2010E-007
1217.670800,8.0980E-007
1217.949600,8.0600E-007
1218.228400,8.1880E-007
1218.507200,8.1260E-007
1218.786000,8.4910E-007
1219.064800,7.8640E-007
1219.343600,8.6250E-007
1219.622400,8.1310E-007
1219.901200,8.5750E-007
1220.180000,8.4620E-007
1220.458800,8.0900E-007
1220.737600,7.4820E-007
1221.016400,7.8110E-007
1221.295200,7.9510E-007
1221.574000,7.9280E-007
1221.852800,8.0280E-007
1222.131600,8.5880E-007
1222.410400,8.2170E-007
1222.689200,8.3220E-007
1222.968000,8.5070E-007
1223.246800,7.9940E-007
1223.525600,8.4950E-007
1223.804400,8.2700E-007
1224.083200,8.0020E-007
1224.362000,7.8860E-007
1224.640800,8.1020E-007
1224.919600,8.5730E-007
1225.198400,8.3150E-007
1225.477200,7.9580E-007
1225.756000,7.8870E-007
1226.034800,7.9600E-007
1226.313600,8.0100E-007
1226.592400,8.1150E-007
1226.871200,8.2280E-007
1227.150000,8.4400E-007
1227.428800,7.8450E-007
1227.707600,8.0460E-007
1227.986400,8.6400E-007
1228.265200,7.8900E-007
1228.544000,7.9300E-007
1228.822800,7.9580E-007
1229.101600,8.2350E-007
1229.380400,7.9200E-007
1229.659200,8.0460E-007
1229.938000,8.1240E-007
1230.216800,8.0940E-007
1230.495600,7.8960E-007
1230.774400,7.9860E-007
1231.053200,8.4530E-007
1231.332000,8.1320E-007
1231.610800,7.8100E-007
1231.889600,8.3160E-007
1232.168400,7.6050E-007
1232.447200,8.1450E-007
1232.726000,8.1090E-007
1233.004800,8.0740E-007
1233.283600,8.6730E-007
1233.562400,7.8540E-007
1233.841200,8.0000E-007
1234.120000,7.2970E-007
1234.398800,8.1270E-007
1234.677600,7.7940E-007
1234.956400,8.0040E-007
1235.235200,7.9350E-007
