File,WaveData20220423_595.csv,
Date/Time,22-04-23/18:45,

Trace,A
Center Wavelength,1495.5,nm
Span Wavelength,509,nm
Start Wavelength,1241,nm
Stop Wavelength,1750,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.485,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1241,nm
Stop,1750,nm

Wavelength(A),Level(A)
1241.000000,1.2900E-006
1242.018000,1.2890E-006
1243.036000,1.2740E-006
1244.054000,1.2850E-006
1245.072000,1.2690E-006
1246.090000,1.2720E-006
1247.108000,1.2700E-006
1248.126000,1.2880E-006
1249.144000,1.2500E-006
1250.162000,1.2790E-006
1251.180000,1.2570E-006
1252.198000,1.2410E-006
1253.216000,1.2820E-006
1254.234000,1.3080E-006
1255.252000,1.2590E-006
1256.270000,1.2480E-006
1257.288000,1.2170E-006
1258.306000,1.2660E-006
1259.324000,1.2340E-006
1260.342000,1.2300E-006
1261.360000,1.2410E-006
1262.378000,1.2640E-006
1263.396000,1.2350E-006
1264.414000,1.2220E-006
1265.432000,1.2270E-006
1266.450000,1.2290E-006
1267.468000,1.2140E-006
1268.486000,1.2060E-006
1269.504000,1.2150E-006
1270.522000,1.2300E-006
1271.540000,1.2210E-006
1272.558000,1.2330E-006
1273.576000,1.2150E-006
1274.594000,1.2490E-006
1275.612000,1.2410E-006
1276.630000,1.2540E-006
1277.648000,1.2260E-006
1278.666000,1.2430E-006
1279.684000,1.2540E-006
1280.702000,1.2230E-006
1281.720000,1.2280E-006
1282.738000,1.2130E-006
1283.756000,1.2070E-006
1284.774000,1.2230E-006
1285.792000,1.2070E-006
1286.810000,1.2380E-006
1287.828000,1.2260E-006
1288.846000,1.2380E-006
1289.864000,1.2210E-006
1290.882000,1.2020E-006
1291.900000,1.2150E-006
1292.918000,1.2060E-006
1293.936000,1.2350E-006
1294.954000,1.2300E-006
1295.972000,1.2490E-006
1296.990000,1.2070E-006
1298.008000,1.2280E-006
1299.026000,1.2090E-006
1300.044000,1.2130E-006
1301.062000,1.2470E-006
1302.080000,1.2510E-006
1303.098000,1.2260E-006
1304.116000,1.2510E-006
1305.134000,1.2230E-006
1306.152000,1.2380E-006
1307.170000,1.2130E-006
1308.188000,1.2280E-006
1309.206000,1.2380E-006
1310.224000,1.2740E-006
1311.242000,1.2770E-006
1312.260000,1.2370E-006
1313.278000,1.2680E-006
1314.296000,1.2650E-006
1315.314000,1.2470E-006
1316.332000,1.2640E-006
1317.350000,1.2710E-006
1318.368000,1.2640E-006
1319.386000,1.2920E-006
1320.404000,1.2660E-006
1321.422000,1.3100E-006
1322.440000,1.3260E-006
1323.458000,1.2930E-006
1324.476000,1.3270E-006
1325.494000,1.2800E-006
1326.512000,1.3070E-006
1327.530000,1.3010E-006
1328.548000,1.3180E-006
1329.566000,1.3190E-006
1330.584000,1.3710E-006
1331.602000,1.3610E-006
1332.620000,1.4470E-006
1333.638000,1.4650E-006
1334.656000,1.5010E-006
1335.674000,1.4940E-006
1336.692000,1.4700E-006
1337.710000,1.5100E-006
1338.728000,1.4870E-006
1339.746000,1.5130E-006
1340.764000,1.5440E-006
1341.782000,1.5910E-006
1342.800000,1.6060E-006
1343.818000,1.7230E-006
1344.836000,1.7670E-006
1345.854000,1.8380E-006
1346.872000,1.9150E-006
1347.890000,2.1610E-006
1348.908000,2.6430E-006
1349.926000,3.2780E-006
1350.944000,4.3190E-006
1351.962000,5.7260E-006
1352.980000,7.6760E-006
1353.998000,1.0480E-005
1355.016000,1.2330E-005
1356.034000,1.6180E-005
1357.052000,2.1270E-005
1358.070000,2.8920E-005
1359.088000,3.5990E-005
1360.106000,4.4080E-005
1361.124000,4.7560E-005
1362.142000,5.3990E-005
1363.160000,8.5430E-005
1364.178000,9.9820E-005
1365.196000,1.1630E-004
1366.214000,1.6090E-004
1367.232000,1.8850E-004
1368.250000,2.1840E-004
1369.268000,2.8040E-004
1370.286000,3.1210E-004
1371.304000,3.3430E-004
1372.322000,3.7200E-004
1373.340000,4.4590E-004
1374.358000,4.9900E-004
1375.376000,5.5640E-004
1376.394000,6.0910E-004
1377.412000,6.5820E-004
1378.430000,7.0400E-004
1379.448000,8.3860E-004
1380.466000,7.1680E-004
1381.484000,9.9200E-004
1382.502000,7.9810E-004
1383.520000,1.1750E-003
1384.538000,1.3490E-003
1385.556000,1.3920E-003
1386.574000,1.5130E-003
1387.592000,1.6070E-003
1388.610000,1.6580E-003
1389.628000,1.8160E-003
1390.646000,1.9110E-003
1391.664000,1.9910E-003
1392.682000,1.6790E-003
1393.700000,2.1860E-003
1394.718000,2.0480E-003
1395.736000,2.0700E-003
1396.754000,2.0940E-003
