File,WaveData20220423_594.csv,
Date/Time,22-04-23/18:18,

Trace,A
Center Wavelength,1495.5,nm
Span Wavelength,509,nm
Start Wavelength,1241,nm
Stop Wavelength,1750,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.485,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1241,nm
Stop,1750,nm

Wavelength(A),Level(A)
1241.000000,2.9480E-008
1242.018000,2.6600E-008
1243.036000,3.4160E-008
1244.054000,3.2740E-008
1245.072000,2.9510E-008
1246.090000,1.3680E-008
1247.108000,4.3930E-008
1248.126000,2.6840E-008
1249.144000,1.3200E-008
1250.162000,3.7390E-008
1251.180000,3.0570E-008
1252.198000,2.0160E-008
1253.216000,1.9580E-008
1254.234000,3.3300E-008
1255.252000,2.5600E-008
1256.270000,4.2790E-008
1257.288000,3.1510E-008
1258.306000,2.6400E-008
1259.324000,4.3650E-008
1260.342000,3.2790E-008
1261.360000,7.9030E-009
1262.378000,2.1330E-008
1263.396000,2.4010E-008
1264.414000,2.6850E-008
1265.432000,2.4540E-008
1266.450000,2.2420E-008
1267.468000,2.2130E-008
1268.486000,2.0360E-008
1269.504000,2.7400E-008
1270.522000,3.1670E-008
1271.540000,2.3020E-008
1272.558000,7.9960E-009
1273.576000,1.4560E-008
1274.594000,2.3970E-008
1275.612000,3.4300E-008
1276.630000,2.1810E-008
1277.648000,2.3080E-008
1278.666000,3.6320E-008
1279.684000,1.1050E-008
1280.702000,2.4320E-008
1281.720000,4.0570E-008
1282.738000,1.5610E-008
1283.756000,2.9340E-008
1284.774000,2.3950E-008
1285.792000,2.5480E-008
1286.810000,3.1700E-008
1287.828000,1.5980E-008
1288.846000,1.6520E-008
1289.864000,2.8400E-008
1290.882000,2.6720E-008
1291.900000,3.1660E-008
1292.918000,2.2800E-008
1293.936000,1.8300E-008
1294.954000,2.6380E-008
1295.972000,3.1070E-008
1296.990000,1.3930E-008
1298.008000,2.6310E-008
1299.026000,2.9660E-008
1300.044000,3.5470E-008
1301.062000,2.7470E-008
1302.080000,1.8650E-008
1303.098000,1.5780E-008
1304.116000,1.9180E-008
1305.134000,2.1920E-008
1306.152000,2.5790E-008
1307.170000,1.7280E-008
1308.188000,2.4920E-008
1309.206000,7.4300E-009
1310.224000,3.7930E-008
1311.242000,3.1030E-008
1312.260000,2.6270E-008
1313.278000,1.6310E-008
1314.296000,2.6210E-008
1315.314000,1.8940E-008
1316.332000,2.1750E-008
1317.350000,2.5790E-008
1318.368000,3.3130E-008
1319.386000,3.2700E-008
1320.404000,2.0010E-008
1321.422000,3.1490E-008
1322.440000,1.9170E-008
1323.458000,3.0110E-008
1324.476000,1.1140E-008
1325.494000,3.3370E-008
1326.512000,2.6340E-008
1327.530000,3.3350E-008
1328.548000,2.6230E-008
1329.566000,2.9280E-008
1330.584000,2.2320E-008
1331.602000,2.4340E-008
1332.620000,2.8800E-008
1333.638000,1.8350E-008
1334.656000,1.7480E-008
1335.674000,2.4210E-008
1336.692000,2.1270E-008
1337.710000,4.2530E-008
1338.728000,9.8470E-009
1339.746000,3.0820E-008
1340.764000,3.4000E-009
1341.782000,3.8220E-008
1342.800000,1.3410E-008
1343.818000,2.6790E-008
1344.836000,3.4020E-008
1345.854000,4.4880E-008
1346.872000,2.1490E-008
1347.890000,2.6230E-008
1348.908000,2.9150E-008
1349.926000,2.0570E-008
1350.944000,3.1400E-008
1351.962000,-1.4710E-009
1352.980000,6.1390E-008
1353.998000,3.6990E-008
1355.016000,1.0400E-008
1356.034000,1.9360E-008
1357.052000,1.7680E-008
1358.070000,3.0940E-008
1359.088000,4.0540E-008
1360.106000,1.9270E-008
1361.124000,1.8350E-008
1362.142000,2.8710E-008
1363.160000,2.6990E-008
1364.178000,2.8970E-008
1365.196000,1.3760E-008
1366.214000,2.5540E-008
1367.232000,2.5890E-008
1368.250000,1.0250E-008
1369.268000,3.6160E-008
1370.286000,1.3690E-008
1371.304000,2.9450E-008
1372.322000,4.1970E-008
1373.340000,2.9530E-008
1374.358000,1.5350E-008
1375.376000,2.4280E-008
1376.394000,3.1280E-008
1377.412000,3.4110E-008
1378.430000,1.9080E-008
1379.448000,2.2510E-008
1380.466000,2.3450E-008
1381.484000,2.0160E-008
1382.502000,3.3040E-008
1383.520000,2.2980E-008
1384.538000,3.8590E-009
1385.556000,2.1130E-008
1386.574000,8.1380E-009
1387.592000,3.4020E-008
1388.610000,4.1340E-008
1389.628000,2.4520E-008
1390.646000,3.2750E-008
1391.664000,2.6870E-008
1392.682000,4.5380E-008
1393.700000,2.6130E-008
1394.718000,4.2170E-008
1395.736000,3.0780E-008
1396.754000,3.2190E-008
