,Theta1,Theta2,Theta3,Power,Ancho_espectral
0,0.0,0.0,0,0.02816,68.16380628717093
1,0.0,4.0,0,0.02814475,68.35887850467293
2,0.0,8.0,0,0.02811,69.78011894647398
3,0.0,12.0,0,0.028035,71.87017841971124
4,0.0,16.0,0,0.027984333,73.20781648258276
5,0.0,20.0,0,0.02801125,72.78980458793535
6,0.0,24.0,0,0.02810775,72.6504672897197
7,0.0,28.0,0,0.0282135,68.1638062871707
8,0.0,32.0,0,0.02825575,70.19813084112161
9,0.0,36.0,0,0.02825575,68.94409515717939
10,0.0,40.0,0,0.0282345,69.6686491079015
11,0.0,44.0,0,0.0281885,70.56040781648267
12,0.0,48.0,0,0.02813975,71.61937128292266
13,0.0,52.0,0,0.02807075,71.39643160577748
14,0.0,56.0,0,0.028026,72.09311809685641
15,0.0,60.0,0,0.0279834,73.23568394222593
16,0.0,64.0,0,0.027827,76.05029736618508
17,0.0,68.0,0,0.02800325,72.37179269328794
18,0.0,72.0,0,0.0280685,70.0587935429055
19,0.0,76.0,0,0.02822275,64.73610875106215
20,0.0,80.0,0,0.0283175,62.59031435853876
21,0.0,84.0,0,0.028382,59.97077315208139
22,0.0,88.0,0,0.02842175,59.41342395921856
23,0.0,92.0,0,0.0284385,59.329821580289035
24,0.0,96.0,0,0.02843525,59.16261682242998
25,0.0,100.0,0,0.0284348,59.30195412064586
26,0.0,104.0,0,0.0284295,59.608496176720564
27,0.0,108.0,0,0.02842175,59.97077315208162
28,0.0,112.0,0,0.028377667,61.33627867459654
29,0.0,116.0,0,0.02838225,63.23126593033135
30,0.0,120.0,0,0.02829,65.76720475785896
31,0.0,124.0,0,0.028237,65.79507221750214
32,0.0,128.0,0,0.02814325,68.99983007646551
33,0.0,132.0,0,0.028116,71.03415463041642
34,0.0,136.0,0,0.02823375,62.86898895497029
35,0.0,140.0,0,0.028221,65.59999999999991
36,0.0,144.0,0,0.0280355,72.09311809685641
37,0.0,148.0,0,0.02786375,75.5208156329652
38,0.0,152.0,0,0.0277465,78.61410365335587
39,0.0,156.0,0,0.027685,79.17145284621915
40,0.0,160.0,0,0.0277468,77.02565845369577
41,0.0,164.0,0,0.027871,74.29464740866615
42,0.0,168.0,0,0.0279595,70.64401019541197
43,0.0,172.0,0,0.0280555,69.52931180968562
44,0.0,176.0,0,0.02810025,68.13593882752775
45,0.0,180.0,0,0.02809325,69.27850467289727
46,0.0,184.0,0,0.028069,70.08666100254891
47,0.0,188.0,0,0.02804525,71.75870858113854
48,0.0,192.0,0,0.028041,72.09311809685641
49,4.0,0.0,0,0.028047,74.04384027187757
50,4.0,4.0,0,0.0280442,74.26677994902298
51,4.0,8.0,0,0.02800225,75.60441801189472
52,4.0,12.0,0,0.028028,75.38147833474932
53,4.0,16.0,0,0.028122,72.09311809685641
54,4.0,20.0,0,0.0282195,70.00305862361938
55,4.0,24.0,0,0.028274,69.50144435004245
56,4.0,28.0,0,0.0282855,69.72438402718763
57,4.0,32.0,0,0.028268,70.08666100254891
58,4.0,36.0,0,0.028237,70.75548003398467
59,4.0,40.0,0,0.02818225,72.98487680543758
60,4.0,44.0,0,0.02812675,71.89804587935441
61,4.0,48.0,0,0.0280725,72.4275276125743
62,4.0,52.0,0,0.0280425,72.67833474936288
63,4.0,56.0,0,0.0279815,75.99456244689895
64,4.0,60.0,0,0.0279692,74.26677994902298
65,4.0,64.0,0,0.0280715,71.98164825828371
66,4.0,68.0,0,0.028126667,69.80798640611715
67,4.0,72.0,0,0.02828775,63.426338147833576
68,4.0,76.0,0,0.02839075,60.55598980458808
69,4.0,80.0,0,0.0284615,59.21835174171633
70,4.0,84.0,0,0.0284815,58.77247238742575
71,4.0,88.0,0,0.0284825,58.13152081563294
72,4.0,92.0,0,0.02848425,58.10365335598976
73,4.0,96.0,0,0.02848425,58.18725573491929
74,4.0,100.0,0,0.02847975,59.27408666100246
75,4.0,104.0,0,0.0284745,59.692098555649864
76,4.0,108.0,0,0.0284545,60.3051826677995
77,4.0,112.0,0,0.02840425,63.53780798640605
78,4.0,116.0,0,0.028397,64.62463891248944
79,4.0,120.0,0,0.02829325,65.51639762107061
80,4.0,124.0,0,0.028187333,68.49821580288881
81,4.0,128.0,0,0.028157,69.89158878504668
82,4.0,132.0,0,0.02822125,68.60968564146128
83,4.0,136.0,0,0.0282855,62.72965165675441
84,4.0,140.0,0,0.02816775,69.38997451146975
85,4.0,144.0,0,0.02797325,74.93559898045896
86,4.0,148.0,0,0.02783525,77.44367034834318
87,4.0,152.0,0,0.02775575,79.2271877655055
88,4.0,156.0,0,0.02774875,78.30756159728116
89,4.0,160.0,0,0.02786575,75.66015293118107
90,4.0,164.0,0,0.027967,73.45862361937111
91,4.0,168.0,0,0.02806,70.22599830076456
92,4.0,172.0,0,0.0281044,69.4457094307561
93,4.0,176.0,0,0.02810675,69.52931180968562
94,4.0,180.0,0,0.028086,69.94732370433303
