File,WaveData20221121_037.csv,
Date/Time,22-11-21/20:17,

Trace,A
Center Wavelength,1527.6,nm
Span Wavelength,200,nm
Start Wavelength,1427.6,nm
Stop Wavelength,1627.6,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.07,nm
Actual Resolution,0.060,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1427.6,nm
Stop,1627.6,nm

Wavelength(A),Level(A)
1427.600000,2.0080E-007
1427.700000,1.6230E-007
1427.800000,1.5550E-007
1427.900000,1.5840E-007
1428.000000,1.6850E-007
1428.100000,1.7580E-007
1428.200000,1.4860E-007
1428.300000,1.7860E-007
1428.400000,1.9150E-007
1428.500000,1.5950E-007
1428.600000,1.4460E-007
1428.700000,1.6360E-007
1428.800000,1.7800E-007
1428.900000,1.7020E-007
1429.000000,1.7560E-007
1429.100000,1.6780E-007
1429.200000,1.6610E-007
1429.300000,1.5400E-007
1429.400000,1.8330E-007
1429.500000,1.7080E-007
1429.600000,1.6390E-007
1429.700000,2.2370E-007
1429.800000,1.8020E-007
1429.900000,1.8850E-007
1430.000000,1.3980E-007
1430.100000,1.4900E-007
1430.200000,1.5150E-007
1430.300000,1.9430E-007
1430.400000,1.8480E-007
1430.500000,1.9110E-007
1430.600000,1.6970E-007
1430.700000,1.8910E-007
1430.800000,1.4660E-007
1430.900000,1.5630E-007
1431.000000,2.0930E-007
1431.100000,1.8620E-007
1431.200000,1.9730E-007
1431.300000,2.1540E-007
1431.400000,1.5970E-007
1431.500000,1.9370E-007
1431.600000,1.7840E-007
1431.700000,1.8100E-007
1431.800000,1.9200E-007
1431.900000,1.7850E-007
1432.000000,1.4030E-007
1432.100000,2.0870E-007
1432.200000,1.7740E-007
1432.300000,2.2310E-007
1432.400000,1.6870E-007
1432.500000,1.7740E-007
1432.600000,1.7720E-007
1432.700000,1.7950E-007
1432.800000,1.3810E-007
1432.900000,1.7760E-007
1433.000000,1.5200E-007
1433.100000,1.6760E-007
1433.200000,1.5570E-007
1433.300000,1.8680E-007
1433.400000,2.0150E-007
1433.500000,1.7880E-007
1433.600000,1.6750E-007
1433.700000,1.7920E-007
1433.800000,2.0820E-007
1433.900000,1.8840E-007
1434.000000,1.9240E-007
1434.100000,2.0160E-007
1434.200000,1.8030E-007
1434.300000,1.9910E-007
1434.400000,2.0050E-007
1434.500000,1.7520E-007
1434.600000,1.5960E-007
1434.700000,2.2570E-007
1434.800000,1.5690E-007
1434.900000,1.6070E-007
1435.000000,1.8030E-007
1435.100000,1.9590E-007
1435.200000,1.7430E-007
1435.300000,1.9100E-007
1435.400000,1.6620E-007
1435.500000,1.7500E-007
1435.600000,1.9600E-007
1435.700000,1.6570E-007
1435.800000,1.7180E-007
1435.900000,1.8030E-007
1436.000000,1.7290E-007
1436.100000,2.0990E-007
1436.200000,1.9890E-007
1436.300000,1.7850E-007
1436.400000,1.7770E-007
1436.500000,2.0200E-007
1436.600000,1.7850E-007
1436.700000,1.8520E-007
1436.800000,1.6240E-007
1436.900000,2.1040E-007
1437.000000,1.6510E-007
1437.100000,2.0090E-007
1437.200000,1.8960E-007
1437.300000,1.8620E-007
1437.400000,2.1470E-007
1437.500000,1.8880E-007
1437.600000,1.9180E-007
1437.700000,1.7510E-007
1437.800000,1.7950E-007
1437.900000,1.8300E-007
1438.000000,1.9720E-007
1438.100000,1.9220E-007
1438.200000,1.8710E-007
1438.300000,1.7230E-007
1438.400000,1.8230E-007
1438.500000,2.0430E-007
1438.600000,1.8410E-007
1438.700000,1.7870E-007
1438.800000,2.1490E-007
1438.900000,2.2650E-007
1439.000000,1.9820E-007
1439.100000,2.1420E-007
1439.200000,2.3300E-007
1439.300000,1.9470E-007
1439.400000,2.0780E-007
1439.500000,1.9890E-007
1439.600000,1.9270E-007
1439.700000,2.1590E-007
1439.800000,2.0650E-007
1439.900000,2.0810E-007
1440.000000,2.1110E-007
1440.100000,2.1250E-007
1440.200000,1.9100E-007
1440.300000,2.2450E-007
1440.400000,1.9300E-007
1440.500000,2.0280E-007
1440.600000,1.9920E-007
1440.700000,1.9590E-007
1440.800000,2.1440E-007
1440.900000,1.8740E-007
1441.000000,2.0650E-007
1441.100000,2.4180E-007
1441.200000,2.2930E-007
1441.300000,2.0030E-007
1441.400000,2.2220E-007
1441.500000,1.9440E-007
1441.600000,1.9390E-007
1441.700000,1.8400E-007
1441.800000,2.0040E-007
1441.900000,2.0340E-007
1442.000000,1.7510E-007
1442.100000,2.4710E-007
1442.200000,2.2150E-007
1442.300000,2.2740E-007
1442.400000,2.1210E-007
1442.500000,1.8100E-007
1442.600000,2.0280E-007
1442.700000,2.0740E-007
1442.800000,2.0430E-007
1442.900000,2.1660E-007
1443.000000,2.1040E-007
1443.100000,1.6730E-007
1443.200000,2.0380E-007
1443.300000,1.9400E-007
1443.400000,2.3880E-007
1443.500000,2.0000E-007
1443.600000,2.1980E-007
1443.700000,1.8740E-007
1443.800000,2.1000E-007
1443.900000,1.9580E-007
1444.000000,2.3580E-007
1444.100000,1.9270E-007
1444.200000,2.3340E-007
1444.300000,2.2950E-007
1444.400000,2.3020E-007
1444.500000,1.9220E-007
1444.600000,2.1590E-007
1444.700000,2.0440E-007
1444.800000,2.2710E-007
1444.900000,2.4070E-007
1445.000000,2.1060E-007
1445.100000,2.3000E-007
1445.200000,1.9250E-007
1445.300000,1.9770E-007
1445.400000,2.3790E-007
1445.500000,2.1410E-007
1445.600000,2.3400E-007
1445.700000,2.1910E-007
1445.800000,2.0740E-007
1445.900000,1.8040E-007
1446.000000,2.2400E-007
1446.100000,2.4950E-007
1446.200000,2.1640E-007
1446.300000,2.3470E-007
1446.400000,2.2830E-007
1446.500000,2.2480E-007
1446.600000,2.1800E-007
1446.700000,2.3580E-007
1446.800000,2.1020E-007
1446.900000,2.2710E-007
1447.000000,2.2930E-007
1447.100000,2.4710E-007
1447.200000,2.1980E-007
1447.300000,2.6410E-007
1447.400000,2.3330E-007
1447.500000,2.3780E-007
1447.600000,2.3670E-007
1447.700000,2.0960E-007
1447.800000,2.0350E-007
1447.900000,2.5070E-007
1448.000000,2.1060E-007
1448.100000,2.3510E-007
1448.200000,2.0920E-007
1448.300000,2.2460E-007
1448.400000,2.2330E-007
1448.500000,2.1980E-007
1448.600000,2.3240E-007
1448.700000,2.3580E-007
1448.800000,2.1490E-007
1448.900000,2.4510E-007
1449.000000,2.6260E-007
1449.100000,2.5620E-007
1449.200000,2.2680E-007
1449.300000,2.4390E-007
1449.400000,2.4880E-007
1449.500000,2.1800E-007
1449.600000,2.2300E-007
1449.700000,2.3950E-007
1449.800000,2.1600E-007
1449.900000,2.3590E-007
1450.000000,2.4340E-007
1450.100000,2.5020E-007
1450.200000,2.2080E-007
1450.300000,2.2420E-007
1450.400000,2.2890E-007
1450.500000,2.4780E-007
1450.600000,2.3660E-007
1450.700000,2.5560E-007
1450.800000,2.1810E-007
1450.900000,2.3070E-007
1451.000000,2.7220E-007
1451.100000,2.1850E-007
1451.200000,2.5330E-007
