,Ancho_espectral,Potencia,Theta2,Theta1,Theta3,Clases
0,229.01478334749368,6.999625,0.0,0.0,0,1
1,225.4756159728122,7.00725,0.0,4.0,0,2
2,219.3169073916738,7.02285,0.0,8.0,0,2
3,221.6856414613424,7.0353,0.0,12.0,0,2
4,223.6920985556501,7.044675,0.0,16.0,0,1
5,226.8689889549703,7.0572,0.0,20.0,0,1
6,218.78742565845369,7.07885,0.0,24.0,0,1
7,213.21393372982172,7.1072,0.0,28.0,0,2
8,195.10008496176735,7.1514500000000005,0.0,32.0,0,2
9,186.99065420560737,7.187625,0.0,36.0,0,2
10,208.86661002548863,7.1358999999999995,0.0,40.0,0,2
11,224.75106202209008,7.004525,0.0,44.0,0,1
12,286.4496176720477,6.702075,0.0,48.0,0,1
13,231.35564995751903,6.7678,0.0,52.0,0,2
14,250.19405267629577,6.797224999999999,0.0,56.0,0,1
15,261.5639762107053,6.677525,0.0,60.0,0,1
16,258.888700084962,6.653375,0.0,64.0,0,2
17,262.4000000000001,6.6987499999999995,0.0,68.0,0,1
18,261.2295666949874,6.777075,0.0,72.0,0,1
19,256.0183517417163,6.7943999999999996,0.0,76.0,0,1
20,255.7118096856416,6.77905,0.0,80.0,0,1
21,262.45573491928644,6.764625,0.0,84.0,0,1
22,266.71945624469004,6.755875,0.0,88.0,0,1
23,288.90195412064577,6.754125,0.0,92.0,0,1
24,289.2642310960068,6.763325,0.0,96.0,0,1
25,285.0562446898896,6.77935,0.0,100.0,0,1
26,289.8215802888699,6.79405,0.0,104.0,0,1
27,286.7282922684792,6.791475,0.0,108.0,0,1
28,286.533220050977,6.775175,0.0,112.0,0,1
29,277.2533559898048,6.7962,0.0,116.0,0,1
30,241.91741716227693,6.8919749999999995,0.0,120.0,0,1
31,229.90654205607484,6.924725,0.0,124.0,0,1
32,234.50467289719631,6.926500000000001,0.0,128.0,0,1
33,225.72642310960052,6.93915,0.0,132.0,0,1
34,227.53780798640605,6.9350499999999995,0.0,136.0,0,1
35,245.0664401019544,6.907525000000001,0.0,140.0,0,1
36,222.4101954120647,6.9662,0.0,144.0,0,1
37,219.79065420560755,7.01555,0.0,148.0,0,1
38,226.36737468139336,7.0343,0.0,152.0,0,1
39,229.62786745964308,7.03225,0.0,156.0,0,1
40,231.3277824978761,7.0237,0.0,160.0,0,1
41,227.3984706881904,7.004775,0.0,164.0,0,1
42,224.52812234494468,6.97445,0.0,168.0,0,1
43,244.14681393372985,6.9352,0.0,172.0,0,1
44,236.8455395072217,6.9555,0.0,176.0,0,1
45,225.83789294817325,6.991874999999999,0.0,180.0,0,1
46,210.87306711979613,7.02375,0.0,184.0,0,2
47,238.7683942225999,6.985525,0.0,188.0,0,1
48,287.5085811384879,6.9017,0.0,192.0,0,1
49,234.9226847918437,7.01375,4.0,0.0,0,1
50,232.66542056074783,7.02025,4.0,4.0,0,1
51,224.55598980458808,7.027875,4.0,8.0,0,1
52,220.87748513169072,7.040875000000001,4.0,12.0,0,2
53,224.695327102804,7.047625,4.0,16.0,0,1
54,227.87221750212416,7.0489999999999995,4.0,20.0,0,1
55,231.7736618521667,7.04915,4.0,24.0,0,1
56,230.49175870858107,7.052175,4.0,28.0,0,1
57,223.10688190314363,7.067150000000001,4.0,32.0,0,1
58,204.0176720475788,7.1027499999999995,4.0,36.0,0,2
59,192.5362786745966,7.169,4.0,40.0,0,2
60,198.0819031435856,7.156175,4.0,44.0,0,2
61,234.2259983007648,7.016900000000001,4.0,48.0,0,1
62,281.3220050977061,6.759399999999999,4.0,52.0,0,1
63,233.69651656754468,6.77865,4.0,56.0,0,2
64,253.53814783347505,6.789075,4.0,60.0,0,1
65,255.62820730671208,6.71645,4.0,64.0,0,1
66,261.480373831776,6.701325,4.0,68.0,0,1
67,260.72795242141046,6.755225,4.0,72.0,0,1
68,256.49209855565005,6.810325,4.0,76.0,0,1
69,251.6710280373834,6.81025,4.0,80.0,0,1
70,252.22837723024625,6.7905999999999995,4.0,84.0,0,1
71,253.62175021240452,6.775925,4.0,88.0,0,1
72,256.9379779099406,6.76135,4.0,92.0,0,1
73,260.8951571792695,6.756575,4.0,96.0,0,1
74,285.41852166525086,6.757775,4.0,100.0,0,1
75,288.4839422259984,6.768725,4.0,104.0,0,1
76,289.1248937977912,6.780125,4.0,108.0,0,1
77,290.21172472387434,6.790225,4.0,112.0,0,1
78,282.4645709430756,6.792249999999999,4.0,116.0,0,1
79,288.40033984706906,6.7766,4.0,120.0,0,1
80,261.6475785896346,6.849775,4.0,124.0,0,1
81,235.39643160577748,6.913575,4.0,128.0,0,1
82,227.14766355140185,6.9406,4.0,132.0,0,1
83,225.5592183517417,6.948099999999999,4.0,136.0,0,1
84,220.9053525913339,6.957325,4.0,140.0,0,2
85,235.1456244689889,6.91965,4.0,144.0,0,1
86,253.84468988954973,6.893675,4.0,148.0,0,1
87,249.7481733220052,6.91385,4.0,152.0,0,1
88,229.934409515718,6.951325000000001,4.0,156.0,0,1
89,227.95581988105369,6.952475,4.0,160.0,0,1
90,239.66015293118107,6.9315999999999995,4.0,164.0,0,1
91,249.99898045879357,6.90965,4.0,168.0,0,1
92,250.30552251486824,6.9223,4.0,172.0,0,1
93,223.4691588785047,6.9587,4.0,176.0,0,2
94,216.3629566694988,6.997925,4.0,180.0,0,2
95,226.39524214103653,7.007675,4.0,184.0,0,1
96,283.52353440951583,6.8982,4.0,188.0,0,1
97,249.80390824129157,6.936825,4.0,192.0,0,1
98,229.7950722175021,7.0478,8.0,0.0,0,1
99,232.10807136788435,7.047725000000001,8.0,4.0,0,1
100,235.0341546304164,7.0402,8.0,8.0,0,1
101,235.480033984707,7.033875,8.0,12.0,0,1
102,235.2849617672048,7.03175,8.0,16.0,0,1
103,234.2817332200509,7.027425,8.0,20.0,0,1
104,233.8637213254035,7.018225,8.0,24.0,0,1
105,226.45097706032288,7.018924999999999,8.0,28.0,0,1
106,214.5237043330501,7.047325,8.0,32.0,0,2
107,200.2834324553951,7.0952,8.0,36.0,0,2
108,198.5556499575191,7.15845,8.0,40.0,0,2
109,214.10569243840268,7.06295,8.0,44.0,0,2
110,261.9819881053527,6.824450000000001,8.0,48.0,0,1
111,266.1899745114697,6.7694,8.0,52.0,0,1
112,228.4853016142736,6.850475,8.0,56.0,0,2
113,247.88105352591333,6.79105,8.0,60.0,0,1
114,254.26270178419716,6.76785,8.0,64.0,0,1
115,260.95089209855564,6.78255,8.0,68.0,0,1
116,256.2134239592183,6.8264249999999995,8.0,72.0,0,1
117,254.15123194562443,6.840075000000001,8.0,76.0,0,1
118,254.1790994052676,6.8233,8.0,80.0,0,1
119,253.175870858114,6.8043499999999995,8.0,84.0,0,1
120,258.7772302463891,6.7832,8.0,88.0,0,1
121,260.2542056074767,6.774875,8.0,92.0,0,1
122,259.55751911639777,6.769875,8.0,96.0,0,1
123,267.30467289719627,6.768800000000001,8.0,100.0,0,1
124,272.2372132540356,6.774900000000001,8.0,104.0,0,1
125,270.2586236193715,6.776275,8.0,108.0,0,1
126,271.4569243840274,6.785075,8.0,112.0,0,1
127,288.84621920135965,6.7928,8.0,116.0,0,1
128,287.22990654205614,6.778275000000001,8.0,120.0,0,1
129,269.56193712829213,6.833575,8.0,124.0,0,1
130,225.94936278674595,6.934933,8.0,128.0,0,1
131,218.7595581988105,6.954725,8.0,132.0,0,2
132,216.0006796941377,6.966725,8.0,136.0,0,2
133,219.45624468988944,6.9632000000000005,8.0,140.0,0,2
