File,WaveData20230210_036.csv,
Date/Time,23-02-10/21:45,

Trace,A
Center Wavelength,1500.6,nm
Span Wavelength,499.8,nm
Start Wavelength,1250.7,nm
Stop Wavelength,1750.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.483,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250.7,nm
Stop,1750.5,nm
Trace,B
Center Wavelength,1500.6,nm
Span Wavelength,499.8,nm
Start Wavelength,1250.7,nm
Stop Wavelength,1750.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.483,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250.7,nm
Stop,1750.5,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.700000,1.9890E-007,1250.700000,1.9890E-007
1250.949900,1.9110E-007,1250.949900,1.9110E-007
1251.199800,1.5890E-007,1251.199800,1.5890E-007
1251.449700,2.0910E-007,1251.449700,2.0910E-007
1251.699600,1.7520E-007,1251.699600,1.7520E-007
1251.949500,1.9480E-007,1251.949500,1.9480E-007
1252.199400,1.6680E-007,1252.199400,1.6680E-007
1252.449300,1.9890E-007,1252.449300,1.9890E-007
1252.699200,1.7710E-007,1252.699200,1.7710E-007
1252.949100,1.6370E-007,1252.949100,1.6370E-007
1253.199000,1.6870E-007,1253.199000,1.6870E-007
1253.448900,1.9330E-007,1253.448900,1.9330E-007
1253.698800,1.4420E-007,1253.698800,1.4420E-007
1253.948700,1.4070E-007,1253.948700,1.4070E-007
1254.198600,1.5520E-007,1254.198600,1.5520E-007
1254.448500,1.3100E-007,1254.448500,1.3100E-007
1254.698400,1.8690E-007,1254.698400,1.8690E-007
1254.948300,1.5800E-007,1254.948300,1.5800E-007
1255.198200,1.7070E-007,1255.198200,1.7070E-007
1255.448100,2.0520E-007,1255.448100,2.0520E-007
1255.698000,1.8280E-007,1255.698000,1.8280E-007
1255.947900,1.8370E-007,1255.947900,1.8370E-007
1256.197800,1.4510E-007,1256.197800,1.4510E-007
1256.447700,1.5470E-007,1256.447700,1.5470E-007
1256.697600,1.6860E-007,1256.697600,1.6860E-007
1256.947500,1.8000E-007,1256.947500,1.8000E-007
1257.197400,1.6530E-007,1257.197400,1.6530E-007
1257.447300,1.6740E-007,1257.447300,1.6740E-007
1257.697200,1.5560E-007,1257.697200,1.5560E-007
1257.947100,1.3040E-007,1257.947100,1.3040E-007
1258.197000,1.7730E-007,1258.197000,1.7730E-007
1258.446900,1.1580E-007,1258.446900,1.1580E-007
1258.696800,1.4320E-007,1258.696800,1.4320E-007
1258.946700,1.4260E-007,1258.946700,1.4260E-007
1259.196600,1.3290E-007,1259.196600,1.3290E-007
1259.446500,1.7320E-007,1259.446500,1.7320E-007
1259.696400,2.1670E-007,1259.696400,2.1670E-007
1259.946300,1.9200E-007,1259.946300,1.9200E-007
1260.196200,1.3050E-007,1260.196200,1.3050E-007
1260.446100,1.0970E-007,1260.446100,1.0970E-007
1260.696000,1.5770E-007,1260.696000,1.5770E-007
1260.945900,1.7830E-007,1260.945900,1.7830E-007
1261.195800,1.5790E-007,1261.195800,1.5790E-007
1261.445700,1.8500E-007,1261.445700,1.8500E-007
1261.695600,1.4490E-007,1261.695600,1.4490E-007
1261.945500,1.6570E-007,1261.945500,1.6570E-007
1262.195400,2.0290E-007,1262.195400,2.0290E-007
1262.445300,1.4240E-007,1262.445300,1.4240E-007
1262.695200,1.4040E-007,1262.695200,1.4040E-007
1262.945100,1.9890E-007,1262.945100,1.9890E-007
1263.195000,8.4550E-008,1263.195000,8.4550E-008
1263.444900,1.3600E-007,1263.444900,1.3600E-007
1263.694800,1.8980E-007,1263.694800,1.8980E-007
1263.944700,1.3550E-007,1263.944700,1.3550E-007
1264.194600,1.6690E-007,1264.194600,1.6690E-007
1264.444500,1.5740E-007,1264.444500,1.5740E-007
1264.694400,2.0380E-007,1264.694400,2.0380E-007
1264.944300,1.5520E-007,1264.944300,1.5520E-007
1265.194200,1.3040E-007,1265.194200,1.3040E-007
1265.444100,1.7270E-007,1265.444100,1.7270E-007
1265.694000,1.9280E-007,1265.694000,1.9280E-007
1265.943900,1.4440E-007,1265.943900,1.4440E-007
1266.193800,1.2710E-007,1266.193800,1.2710E-007
1266.443700,1.4260E-007,1266.443700,1.4260E-007
1266.693600,1.3980E-007,1266.693600,1.3980E-007
1266.943500,2.1630E-007,1266.943500,2.1630E-007
1267.193400,1.7940E-007,1267.193400,1.7940E-007
1267.443300,1.1940E-007,1267.443300,1.1940E-007
1267.693200,1.5180E-007,1267.693200,1.5180E-007
1267.943100,1.6830E-007,1267.943100,1.6830E-007
1268.193000,1.9080E-007,1268.193000,1.9080E-007
1268.442900,2.1960E-007,1268.442900,2.1960E-007
1268.692800,2.3270E-007,1268.692800,2.3270E-007
1268.942700,1.7820E-007,1268.942700,1.7820E-007
1269.192600,1.3780E-007,1269.192600,1.3780E-007
1269.442500,1.8930E-007,1269.442500,1.8930E-007
1269.692400,2.0330E-007,1269.692400,2.0330E-007
1269.942300,1.6070E-007,1269.942300,1.6070E-007
1270.192200,1.6760E-007,1270.192200,1.6760E-007
1270.442100,1.9340E-007,1270.442100,1.9340E-007
1270.692000,1.8710E-007,1270.692000,1.8710E-007
1270.941900,1.4570E-007,1270.941900,1.4570E-007
1271.191800,1.6430E-007,1271.191800,1.6430E-007
1271.441700,1.7180E-007,1271.441700,1.7180E-007
1271.691600,1.2070E-007,1271.691600,1.2070E-007
1271.941500,1.5540E-007,1271.941500,1.5540E-007
1272.191400,1.7950E-007,1272.191400,1.7950E-007
1272.441300,1.5700E-007,1272.441300,1.5700E-007
1272.691200,1.4700E-007,1272.691200,1.4700E-007
1272.941100,1.9170E-007,1272.941100,1.9170E-007
1273.191000,1.5120E-007,1273.191000,1.5120E-007
1273.440900,1.9280E-007,1273.440900,1.9280E-007
1273.690800,1.7130E-007,1273.690800,1.7130E-007
1273.940700,1.4440E-007,1273.940700,1.4440E-007
1274.190600,1.4520E-007,1274.190600,1.4520E-007
1274.440500,1.4610E-007,1274.440500,1.4610E-007
1274.690400,1.5570E-007,1274.690400,1.5570E-007
1274.940300,1.4320E-007,1274.940300,1.4320E-007
1275.190200,1.0790E-007,1275.190200,1.0790E-007
1275.440100,1.7280E-007,1275.440100,1.7280E-007
1275.690000,1.3960E-007,1275.690000,1.3960E-007
1275.939900,1.8030E-007,1275.939900,1.8030E-007
1276.189800,1.3250E-007,1276.189800,1.3250E-007
1276.439700,1.8780E-007,1276.439700,1.8780E-007
1276.689600,1.8840E-007,1276.689600,1.8840E-007
1276.939500,1.4260E-007,1276.939500,1.4260E-007
1277.189400,1.8120E-007,1277.189400,1.8120E-007
1277.439300,1.9180E-007,1277.439300,1.9180E-007
1277.689200,1.3340E-007,1277.689200,1.3340E-007
1277.939100,1.5540E-007,1277.939100,1.5540E-007
1278.189000,1.4880E-007,1278.189000,1.4880E-007
1278.438900,1.5620E-007,1278.438900,1.5620E-007
1278.688800,1.4240E-007,1278.688800,1.4240E-007
1278.938700,2.0400E-007,1278.938700,2.0400E-007
1279.188600,1.0290E-007,1279.188600,1.0290E-007
1279.438500,1.3920E-007,1279.438500,1.3920E-007
1279.688400,1.8710E-007,1279.688400,1.8710E-007
1279.938300,1.8020E-007,1279.938300,1.8020E-007
1280.188200,1.9340E-007,1280.188200,1.9340E-007
1280.438100,1.7600E-007,1280.438100,1.7600E-007
1280.688000,1.4420E-007,1280.688000,1.4420E-007
1280.937900,1.6480E-007,1280.937900,1.6480E-007
1281.187800,1.7050E-007,1281.187800,1.7050E-007
1281.437700,1.1870E-007,1281.437700,1.1870E-007
1281.687600,1.4890E-007,1281.687600,1.4890E-007
1281.937500,1.4280E-007,1281.937500,1.4280E-007
1282.187400,1.1540E-007,1282.187400,1.1540E-007
1282.437300,1.5700E-007,1282.437300,1.5700E-007
1282.687200,1.9030E-007,1282.687200,1.9030E-007
1282.937100,1.5140E-007,1282.937100,1.5140E-007
1283.187000,1.9080E-007,1283.187000,1.9080E-007
1283.436900,1.7160E-007,1283.436900,1.7160E-007
1283.686800,2.0000E-007,1283.686800,2.0000E-007
1283.936700,1.6610E-007,1283.936700,1.6610E-007
1284.186600,1.7540E-007,1284.186600,1.7540E-007
