Theta1,Theta2,Theta3,Ancho_espectral,Potencia,Clases
28,0,0,10.92996969,0.0121045,1
32,0,0,10.80102061,0.01211425,1
36,0,0,10.75189715,0.012115,1
40,0,0,10.65365023,0.012121,1
48,0,0,10.78873974,0.012137,1
52,0,0,10.57382461,0.0121565,1
60,0,0,10.48785855,0.01215,1
64,0,0,9.886096177,0.012143,1
68,0,0,9.81855142,0.012148,1
72,0,0,10.63522893,0.01217075,1
76,0,0,10.61680763,0.01216325,1
80,0,0,10.05188785,0.01220425,1
84,0,0,10.48171812,0.0121615,1
88,0,0,10.50627985,0.0121895,1
92,0,0,9.68960234,0.0121895,1
96,0,0,9.68960234,0.01216875,1
100,0,0,10.4203138,0.01216425,1
104,0,0,10.45715639,0.01218525,1
108,0,0,10.48171812,0.0121515,1
112,0,0,10.51856071,0.012155,1
116,0,0,10.51856071,0.012171,1
120,0,0,10.67821196,0.012171,1
124,0,0,10.1746965,0.012168,1
128,0,0,10.29136472,0.012124,1
132,0,0,10.26680299,0.012129,1
136,0,0,10.34662861,0.01211425,1
140,0,0,10.39575207,0.012113,1
144,0,0,10.39575207,0.01210475,1
148,0,0,10.61680763,0.01211425,1
152,0,0,10.5922459,0.01209675,1
156,0,0,10.50627985,0.0120875,1
160,0,0,10.93611012,0.012079,1
164,0,0,10.41417336,0.012086,1
168,0,0,11.27997433,0.01208275,1
172,0,0,10.65365023,0.012068,1
176,0,0,11.30453606,0.01208175,1
180,0,0,11.35979995,0.01207675,1
184,0,0,11.29839563,0.0120925,1
188,0,0,11.35365952,0.012066,1
192,0,0,11.36594039,0.01209475,1
196,0,0,11.32909779,0.01210875,1
200,0,0,10.6290885,0.0121165,1
204,0,0,10.6290885,0.01214875,1
212,0,0,10.25452212,0.012145,1
8,4,0,11.53173206,0.01210075,1
28,4,0,11.37208082,0.01215175,1
44,4,0,10.82558234,0.012182,1
48,4,0,10.88084623,0.0121775,1
52,4,0,10.73347585,0.01217525,1
56,4,0,10.27908385,0.01218075,1
64,4,0,10.1746965,0.012167,1
68,4,0,10.90540796,0.01218175,1
72,4,0,10.24838169,0.01217825,1
76,4,0,10.78873974,0.0121905,1
80,4,0,10.04574742,0.01217125,1
84,4,0,10.53698201,0.012158,1
88,4,0,10.60452677,0.012164,1
92,4,0,9.984343095,0.0121915,1
96,4,0,9.775568394,0.01218175,1
100,4,0,9.751006664,0.01217825,1
104,4,0,9.922938771,0.01218975,1
108,4,0,9.806270556,0.01219675,1
112,4,0,10.08259001,0.01218525,1
116,4,0,9.726444934,0.012188,1
120,4,0,10.70277369,0.01218075,1
124,4,0,10.68435239,0.0121595,1
128,4,0,10.41417336,0.01217525,1
132,4,0,10.27908385,0.01216875,1
136,4,0,10.00276439,0.01216925,1
140,4,0,10.38961163,0.0121575,1
144,4,0,11.10804223,0.01214,1
148,4,0,11.12032309,0.0121515,1
152,4,0,10.65365023,0.01212875,1
156,4,0,11.17558698,0.01214425,1
160,4,0,11.10190179,0.012147,1
164,4,0,10.77645888,0.0121375,1
168,4,0,10.50013942,0.01214325,1
172,4,0,11.42120428,0.01213325,1
176,4,0,10.88698666,0.0121425,1
180,4,0,10.93611012,0.012107,1
184,4,0,11.50717033,0.012107,1
188,4,0,11.56857466,0.0121535,1
192,4,0,11.47646817,0.01213575,1
196,4,0,10.88698666,0.01214775,1
200,4,0,11.12032309,0.0121305,1
204,4,0,11.39050212,0.0121405,1
208,4,0,11.28611477,0.0121905,1
212,4,0,11.07734006,0.01216575,1
24,8,0,10.84400363,0.01217425,1
28,8,0,11.08962093,0.0121845,1
32,8,0,10.99751444,0.01219325,1
36,8,0,10.56154374,0.01219925,1
40,8,0,10.86242493,0.01219975,1
44,8,0,10.86242493,0.0121975,1
48,8,0,10.78259931,0.01218325,1
52,8,0,10.51856071,0.01219725,1
56,8,0,10.58610547,0.012194,1
60,8,0,10.78873974,0.01219475,1
64,8,0,10.8378632,0.012197,1
68,8,0,10.70891412,0.01220175,1
72,8,0,10.43259466,0.01220125,1
76,8,0,10.70891412,0.01221225,1
80,8,0,10.63522893,0.01218425,1
84,8,0,9.591355421,0.01220875,1
88,8,0,10.58610547,0.0121905,1
92,8,0,10.62294807,0.0121755,1
96,8,0,10.02118569,0.01220075,1
100,8,0,10.57996504,0.01220525,1
104,8,0,10.5922459,0.01220325,1
108,8,0,10.55540331,0.0121895,1
120,8,0,9.929079204,0.012191,1
124,8,0,10.60452677,0.01218625,1
128,8,0,10.5922459,0.012192,1
132,8,0,10.55540331,0.01216525,1
136,8,0,10.79488017,0.01215525,1
140,8,0,10.93611012,0.01220575,1
144,8,0,10.69663325,0.012195,1
148,8,0,11.0282166,0.01217025,1
152,8,0,10.37119034,0.01219325,1
156,8,0,10.51242028,0.01219525,1
160,8,0,11.01593574,0.01217075,1
164,8,0,11.10804223,0.01218025,1
168,8,0,10.86856536,0.01216225,1
172,8,0,11.37208082,0.012184,1
180,8,0,11.23085087,0.0121895,1
184,8,0,11.21857001,0.0121585,1
188,8,0,11.52559163,0.01218875,1
192,8,0,11.24313174,0.0121975,1
196,8,0,11.12032309,0.012223,1
200,8,0,10.55540331,0.0122045,1
204,8,0,10.67821196,0.0121965,1
208,8,0,11.05277833,0.01219675,1
212,8,0,9.708023637,0.0122065,0
8,12,0,11.0282166,0.0121905,1
12,12,0,10.94225055,0.01220325,1
16,12,0,10.50627985,0.01220325,1
20,12,0,10.51856071,0.0122245,1
24,12,0,10.61680763,0.01224875,1
32,12,0,10.50013942,0.01224075,1
36,12,0,10.53084158,0.0122335,1
40,12,0,10.42645423,0.01222275,1
44,12,0,10.48171812,0.01220925,1
48,12,0,9.916798339,0.0122335,1
52,12,0,9.953640933,0.01222525,1
56,12,0,9.751006664,0.01219375,1
60,12,0,10.51242028,0.01217875,1
64,12,0,9.922938771,0.0122075,1
72,12,0,10.65365023,0.0121965,1
76,12,0,9.763287529,0.012201,1
80,12,0,9.947500501,0.01220275,1
84,12,0,10.10101131,0.01219875,1
88,12,0,9.855394015,0.0122055,1
92,12,0,9.781708826,0.01219775,1
96,12,0,10.16855607,0.0122075,1
100,12,0,10.1746965,0.0121925,1
104,12,0,10.04574742,0.01222025,1
108,12,0,9.787849258,0.01219025,1
112,12,0,9.726444934,0.012229,0
116,12,0,9.68960234,0.01221,0
120,12,0,9.701883205,0.01216575,1
124,12,0,10.05802828,0.0121675,1
128,12,0,10.02118569,0.01220575,1
132,12,0,9.775568394,0.0122175,0
136,12,0,10.71505455,0.0121925,1
140,12,0,10.46943726,0.0121865,1
144,12,0,9.929079204,0.01220325,0
148,12,0,10.91768882,0.012176,1
152,12,0,10.33434774,0.01220625,1
156,12,0,10.53698201,0.012185,1
168,12,0,11.05277833,0.012195,1
172,12,0,10.6106672,0.01219425,1
176,12,0,10.41417336,0.01220375,1
180,12,0,10.99751444,0.012205,1
184,12,0,10.46943726,0.01219125,1
188,12,0,10.26680299,0.01221275,0
192,12,0,10.72733542,0.01220575,1
196,12,0,10.60452677,0.01219925,1
200,12,0,10.29136472,0.01221125,0
204,12,0,10.05188785,0.012219,0
208,12,0,10.00890483,0.012213,0
212,12,0,10.16241564,0.012213,0
0,16,0,10.34662861,0.01222625,1
4,16,0,10.51856071,0.0122455,1
8,16,0,10.34662861,0.01222375,1
12,16,0,11.09576136,0.01224525,1
20,16,0,10.12557304,0.01225825,1
24,16,0,10.06416872,0.0122615,1
28,16,0,10.21153909,0.01227075,1
32,16,0,10.4203138,0.01226325,1
36,16,0,9.861534447,0.01227475,1
40,16,0,10.29136472,0.01225075,1
44,16,0,10.22996039,0.012243,1
