File,WaveData20230131_115.csv,
Date/Time,23-01-31/16:48,

Trace,A
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm
Trace,B
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.000000,2.0920E-006,1250.000000,2.0920E-006
1250.100160,1.5670E-006,1250.100160,1.5670E-006
1250.200320,1.5440E-006,1250.200320,1.5440E-006
1250.300480,1.2600E-006,1250.300480,1.2600E-006
1250.400640,1.4530E-006,1250.400640,1.4530E-006
1250.500800,1.4290E-006,1250.500800,1.4290E-006
1250.600960,2.1680E-006,1250.600960,2.1680E-006
1250.701120,9.1880E-007,1250.701120,9.1880E-007
1250.801280,9.6880E-007,1250.801280,9.6880E-007
1250.901440,3.7440E-007,1250.901440,3.7440E-007
1251.001600,9.5350E-007,1251.001600,9.5350E-007
1251.101760,1.6850E-006,1251.101760,1.6850E-006
1251.201920,2.3410E-006,1251.201920,2.3410E-006
1251.302080,1.5560E-006,1251.302080,1.5560E-006
1251.402240,1.7250E-006,1251.402240,1.7250E-006
1251.502400,1.3960E-006,1251.502400,1.3960E-006
1251.602560,1.8650E-006,1251.602560,1.8650E-006
1251.702720,1.5930E-006,1251.702720,1.5930E-006
1251.802880,1.0280E-006,1251.802880,1.0280E-006
1251.903040,1.5370E-006,1251.903040,1.5370E-006
1252.003200,4.2570E-007,1252.003200,4.2570E-007
1252.103360,2.4730E-006,1252.103360,2.4730E-006
1252.203520,2.1390E-006,1252.203520,2.1390E-006
1252.303680,1.8840E-006,1252.303680,1.8840E-006
1252.403840,1.4120E-006,1252.403840,1.4120E-006
1252.504000,1.6210E-006,1252.504000,1.6210E-006
1252.604160,1.3460E-006,1252.604160,1.3460E-006
1252.704320,1.2810E-006,1252.704320,1.2810E-006
1252.804480,1.4490E-006,1252.804480,1.4490E-006
1252.904640,7.7530E-007,1252.904640,7.7530E-007
1253.004800,1.8910E-006,1253.004800,1.8910E-006
1253.104960,1.7010E-006,1253.104960,1.7010E-006
1253.205120,1.6180E-006,1253.205120,1.6180E-006
1253.305280,1.9950E-006,1253.305280,1.9950E-006
1253.405440,7.1260E-007,1253.405440,7.1260E-007
1253.505600,2.0630E-006,1253.505600,2.0630E-006
1253.605760,1.7300E-006,1253.605760,1.7300E-006
1253.705920,1.1880E-006,1253.705920,1.1880E-006
1253.806080,2.2950E-006,1253.806080,2.2950E-006
1253.906240,1.4980E-006,1253.906240,1.4980E-006
1254.006400,1.8030E-006,1254.006400,1.8030E-006
1254.106560,1.4730E-006,1254.106560,1.4730E-006
1254.206720,1.5280E-006,1254.206720,1.5280E-006
1254.306880,2.3620E-006,1254.306880,2.3620E-006
1254.407040,1.6290E-006,1254.407040,1.6290E-006
1254.507200,2.0880E-006,1254.507200,2.0880E-006
1254.607360,1.3170E-006,1254.607360,1.3170E-006
1254.707520,5.3650E-007,1254.707520,5.3650E-007
1254.807680,1.2080E-006,1254.807680,1.2080E-006
1254.907840,2.4010E-006,1254.907840,2.4010E-006
1255.008000,2.0800E-006,1255.008000,2.0800E-006
1255.108160,1.1620E-006,1255.108160,1.1620E-006
1255.208320,4.2100E-007,1255.208320,4.2100E-007
1255.308480,7.7180E-007,1255.308480,7.7180E-007
1255.408640,1.4410E-006,1255.408640,1.4410E-006
1255.508800,1.6950E-006,1255.508800,1.6950E-006
1255.608960,1.2580E-006,1255.608960,1.2580E-006
1255.709120,2.5070E-006,1255.709120,2.5070E-006
1255.809280,1.4520E-006,1255.809280,1.4520E-006
1255.909440,1.2740E-006,1255.909440,1.2740E-006
1256.009600,2.1390E-006,1256.009600,2.1390E-006
1256.109760,1.8890E-006,1256.109760,1.8890E-006
1256.209920,5.6900E-007,1256.209920,5.6900E-007
1256.310080,1.4880E-006,1256.310080,1.4880E-006
1256.410240,1.8430E-006,1256.410240,1.8430E-006
1256.510400,9.4500E-007,1256.510400,9.4500E-007
1256.610560,1.3620E-006,1256.610560,1.3620E-006
1256.710720,1.9760E-006,1256.710720,1.9760E-006
1256.810880,1.0280E-006,1256.810880,1.0280E-006
1256.911040,1.7850E-006,1256.911040,1.7850E-006
1257.011200,2.0130E-006,1257.011200,2.0130E-006
1257.111360,1.8990E-007,1257.111360,1.8990E-007
1257.211520,2.9030E-006,1257.211520,2.9030E-006
1257.311680,1.5500E-006,1257.311680,1.5500E-006
1257.411840,8.2450E-007,1257.411840,8.2450E-007
1257.512000,2.2870E-006,1257.512000,2.2870E-006
1257.612160,1.5600E-006,1257.612160,1.5600E-006
1257.712320,2.4600E-006,1257.712320,2.4600E-006
1257.812480,9.7320E-007,1257.812480,9.7320E-007
1257.912640,1.4040E-006,1257.912640,1.4040E-006
1258.012800,1.7530E-006,1258.012800,1.7530E-006
1258.112960,8.8440E-007,1258.112960,8.8440E-007
1258.213120,1.1430E-006,1258.213120,1.1430E-006
1258.313280,1.2390E-006,1258.313280,1.2390E-006
1258.413440,2.1230E-006,1258.413440,2.1230E-006
1258.513600,1.2170E-006,1258.513600,1.2170E-006
1258.613760,1.1460E-006,1258.613760,1.1460E-006
1258.713920,1.9010E-006,1258.713920,1.9010E-006
1258.814080,1.0460E-006,1258.814080,1.0460E-006
1258.914240,8.4150E-007,1258.914240,8.4150E-007
1259.014400,1.8510E-006,1259.014400,1.8510E-006
1259.114560,1.8330E-006,1259.114560,1.8330E-006
1259.214720,1.7620E-006,1259.214720,1.7620E-006
1259.314880,1.4210E-006,1259.314880,1.4210E-006
1259.415040,1.2890E-006,1259.415040,1.2890E-006
1259.515200,1.9490E-006,1259.515200,1.9490E-006
1259.615360,1.0170E-006,1259.615360,1.0170E-006
1259.715520,8.5200E-007,1259.715520,8.5200E-007
1259.815680,1.8720E-006,1259.815680,1.8720E-006
1259.915840,1.9810E-006,1259.915840,1.9810E-006
1260.016000,1.5070E-006,1260.016000,1.5070E-006
1260.116160,1.5390E-006,1260.116160,1.5390E-006
1260.216320,1.2850E-006,1260.216320,1.2850E-006
1260.316480,1.9480E-006,1260.316480,1.9480E-006
1260.416640,1.0800E-006,1260.416640,1.0800E-006
1260.516800,9.6880E-007,1260.516800,9.6880E-007
1260.616960,5.5410E-007,1260.616960,5.5410E-007
1260.717120,2.1590E-006,1260.717120,2.1590E-006
1260.817280,9.0420E-007,1260.817280,9.0420E-007
1260.917440,1.8510E-006,1260.917440,1.8510E-006
1261.017600,1.7790E-006,1261.017600,1.7790E-006
1261.117760,2.2830E-006,1261.117760,2.2830E-006
1261.217920,5.8200E-008,1261.217920,5.8200E-008
1261.318080,1.2480E-006,1261.318080,1.2480E-006
1261.418240,2.0020E-006,1261.418240,2.0020E-006
1261.518400,1.0640E-006,1261.518400,1.0640E-006
1261.618560,5.0260E-007,1261.618560,5.0260E-007
1261.718720,9.4670E-007,1261.718720,9.4670E-007
1261.818880,1.1480E-006,1261.818880,1.1480E-006
1261.919040,1.2590E-006,1261.919040,1.2590E-006
1262.019200,1.6680E-006,1262.019200,1.6680E-006
1262.119360,7.3840E-008,1262.119360,7.3840E-008
1262.219520,1.2250E-006,1262.219520,1.2250E-006
1262.319680,2.1380E-006,1262.319680,2.1380E-006
1262.419840,1.7760E-006,1262.419840,1.7760E-006
1262.520000,2.5700E-006,1262.520000,2.5700E-006
1262.620160,1.0660E-006,1262.620160,1.0660E-006
1262.720320,2.2220E-006,1262.720320,2.2220E-006
1262.820480,1.5240E-006,1262.820480,1.5240E-006
1262.920640,1.6320E-006,1262.920640,1.6320E-006
1263.020800,1.3290E-006,1263.020800,1.3290E-006
1263.120960,1.3900E-006,1263.120960,1.3900E-006
1263.221120,6.0310E-007,1263.221120,6.0310E-007
1263.321280,3.4020E-006,1263.321280,3.4020E-006
1263.421440,1.1490E-006,1263.421440,1.1490E-006
1263.521600,1.4350E-006,1263.521600,1.4350E-006
1263.621760,1.7340E-006,1263.621760,1.7340E-006
1263.721920,1.1140E-006,1263.721920,1.1140E-006
1263.822080,1.8630E-006,1263.822080,1.8630E-006
1263.922240,1.4430E-006,1263.922240,1.4430E-006
1264.022400,1.7320E-006,1264.022400,1.7320E-006
1264.122560,1.4330E-006,1264.122560,1.4330E-006
1264.222720,1.6360E-006,1264.222720,1.6360E-006
1264.322880,8.3630E-007,1264.322880,8.3630E-007
1264.423040,1.4050E-006,1264.423040,1.4050E-006
1264.523200,1.5920E-006,1264.523200,1.5920E-006
1264.623360,1.0160E-006,1264.623360,1.0160E-006
1264.723520,1.7450E-006,1264.723520,1.7450E-006
1264.823680,1.2960E-006,1264.823680,1.2960E-006
1264.923840,8.8370E-007,1264.923840,8.8370E-007
1265.024000,1.3520E-006,1265.024000,1.3520E-006
1265.124160,1.1470E-006,1265.124160,1.1470E-006
1265.224320,1.1020E-006,1265.224320,1.1020E-006
1265.324480,1.3390E-006,1265.324480,1.3390E-006
1265.424640,1.2550E-006,1265.424640,1.2550E-006
1265.524800,1.3880E-006,1265.524800,1.3880E-006
1265.624960,1.2530E-006,1265.624960,1.2530E-006
1265.725120,2.1300E-006,1265.725120,2.1300E-006
1265.825280,2.5750E-006,1265.825280,2.5750E-006
1265.925440,3.5370E-007,1265.925440,3.5370E-007
1266.025600,1.6040E-006,1266.025600,1.6040E-006
1266.125760,2.1660E-006,1266.125760,2.1660E-006
1266.225920,8.3060E-007,1266.225920,8.3060E-007
1266.326080,1.2980E-006,1266.326080,1.2980E-006
1266.426240,1.8660E-006,1266.426240,1.8660E-006
1266.526400,1.7660E-006,1266.526400,1.7660E-006
1266.626560,1.1840E-006,1266.626560,1.1840E-006
1266.726720,2.4980E-006,1266.726720,2.4980E-006
1266.826880,1.7960E-006,1266.826880,1.7960E-006
1266.927040,6.8720E-007,1266.927040,6.8720E-007
1267.027200,1.8640E-006,1267.027200,1.8640E-006
1267.127360,7.7630E-007,1267.127360,7.7630E-007
1267.227520,1.5140E-006,1267.227520,1.5140E-006
1267.327680,2.2320E-006,1267.327680,2.2320E-006
1267.427840,1.0890E-006,1267.427840,1.0890E-006
1267.528000,1.3980E-006,1267.528000,1.3980E-006
1267.628160,1.8550E-006,1267.628160,1.8550E-006
1267.728320,1.8630E-006,1267.728320,1.8630E-006
1267.828480,1.5700E-006,1267.828480,1.5700E-006
1267.928640,1.4530E-006,1267.928640,1.4530E-006
1268.028800,2.1220E-006,1268.028800,2.1220E-006
1268.128960,2.1530E-006,1268.128960,2.1530E-006
1268.229120,6.9060E-007,1268.229120,6.9060E-007
1268.329280,1.6420E-006,1268.329280,1.6420E-006
1268.429440,1.0850E-006,1268.429440,1.0850E-006
1268.529600,4.3960E-007,1268.529600,4.3960E-007
1268.629760,2.0030E-006,1268.629760,2.0030E-006
1268.729920,1.7370E-006,1268.729920,1.7370E-006
1268.830080,1.3630E-006,1268.830080,1.3630E-006
1268.930240,2.2220E-006,1268.930240,2.2220E-006
1269.030400,8.7430E-007,1269.030400,8.7430E-007
1269.130560,1.3940E-006,1269.130560,1.3940E-006
1269.230720,1.6160E-006,1269.230720,1.6160E-006
1269.330880,2.4420E-006,1269.330880,2.4420E-006
1269.431040,1.5650E-006,1269.431040,1.5650E-006
1269.531200,6.1690E-007,1269.531200,6.1690E-007
1269.631360,2.0780E-006,1269.631360,2.0780E-006
1269.731520,2.0840E-006,1269.731520,2.0840E-006
1269.831680,2.0450E-006,1269.831680,2.0450E-006
1269.931840,1.2890E-006,1269.931840,1.2890E-006
1270.032000,2.3290E-006,1270.032000,2.3290E-006
1270.132160,1.1960E-006,1270.132160,1.1960E-006
1270.232320,1.3250E-006,1270.232320,1.3250E-006
1270.332480,2.4360E-006,1270.332480,2.4360E-006
1270.432640,1.1490E-006,1270.432640,1.1490E-006
1270.532800,1.3640E-006,1270.532800,1.3640E-006
1270.632960,1.0790E-006,1270.632960,1.0790E-006
1270.733120,1.0930E-006,1270.733120,1.0930E-006
1270.833280,8.4210E-007,1270.833280,8.4210E-007
1270.933440,1.7960E-006,1270.933440,1.7960E-006
1271.033600,1.1100E-006,1271.033600,1.1100E-006
1271.133760,2.1420E-006,1271.133760,2.1420E-006
1271.233920,4.9330E-007,1271.233920,4.9330E-007
1271.334080,2.4090E-006,1271.334080,2.4090E-006
1271.434240,1.3050E-006,1271.434240,1.3050E-006
1271.534400,1.6380E-006,1271.534400,1.6380E-006
1271.634560,7.4730E-007,1271.634560,7.4730E-007
1271.734720,2.1730E-006,1271.734720,2.1730E-006
1271.834880,1.8810E-006,1271.834880,1.8810E-006
1271.935040,1.4460E-006,1271.935040,1.4460E-006
1272.035200,4.4820E-007,1272.035200,4.4820E-007
1272.135360,1.1980E-006,1272.135360,1.1980E-006
1272.235520,7.7170E-007,1272.235520,7.7170E-007
1272.335680,1.9020E-006,1272.335680,1.9020E-006
1272.435840,6.4740E-007,1272.435840,6.4740E-007
1272.536000,1.5260E-006,1272.536000,1.5260E-006
1272.636160,1.7760E-006,1272.636160,1.7760E-006
1272.736320,1.5370E-006,1272.736320,1.5370E-006
1272.836480,8.1140E-007,1272.836480,8.1140E-007
1272.936640,1.0030E-006,1272.936640,1.0030E-006
1273.036800,1.2810E-006,1273.036800,1.2810E-006
1273.136960,1.6480E-006,1273.136960,1.6480E-006
1273.237120,7.3930E-007,1273.237120,7.3930E-007
1273.337280,2.1490E-006,1273.337280,2.1490E-006
1273.437440,1.6690E-006,1273.437440,1.6690E-006
1273.537600,1.8550E-006,1273.537600,1.8550E-006
1273.637760,1.5550E-006,1273.637760,1.5550E-006
1273.737920,8.9310E-007,1273.737920,8.9310E-007
1273.838080,1.0630E-006,1273.838080,1.0630E-006
1273.938240,2.9350E-006,1273.938240,2.9350E-006
1274.038400,1.8450E-006,1274.038400,1.8450E-006
1274.138560,5.6530E-007,1274.138560,5.6530E-007
1274.238720,1.9610E-006,1274.238720,1.9610E-006
1274.338880,1.7160E-006,1274.338880,1.7160E-006
1274.439040,1.0690E-006,1274.439040,1.0690E-006
1274.539200,1.8600E-006,1274.539200,1.8600E-006
1274.639360,1.0890E-006,1274.639360,1.0890E-006
1274.739520,1.7460E-006,1274.739520,1.7460E-006
1274.839680,1.3210E-006,1274.839680,1.3210E-006
1274.939840,2.2470E-006,1274.939840,2.2470E-006
1275.040000,1.6080E-006,1275.040000,1.6080E-006
1275.140160,1.5670E-006,1275.140160,1.5670E-006
1275.240320,2.0270E-006,1275.240320,2.0270E-006
1275.340480,1.9540E-006,1275.340480,1.9540E-006
1275.440640,1.1250E-006,1275.440640,1.1250E-006
1275.540800,2.2520E-006,1275.540800,2.2520E-006
1275.640960,1.7360E-006,1275.640960,1.7360E-006
1275.741120,1.5030E-006,1275.741120,1.5030E-006
1275.841280,7.6770E-007,1275.841280,7.6770E-007
1275.941440,1.6700E-006,1275.941440,1.6700E-006
1276.041600,1.0710E-006,1276.041600,1.0710E-006
1276.141760,2.6490E-006,1276.141760,2.6490E-006
1276.241920,2.2130E-006,1276.241920,2.2130E-006
1276.342080,6.8780E-007,1276.342080,6.8780E-007
1276.442240,7.3890E-007,1276.442240,7.3890E-007
1276.542400,7.9450E-007,1276.542400,7.9450E-007
1276.642560,1.1310E-006,1276.642560,1.1310E-006
1276.742720,2.0550E-006,1276.742720,2.0550E-006
1276.842880,1.8400E-006,1276.842880,1.8400E-006
1276.943040,1.0850E-006,1276.943040,1.0850E-006
1277.043200,1.5480E-006,1277.043200,1.5480E-006
1277.143360,1.7940E-006,1277.143360,1.7940E-006
1277.243520,1.7920E-006,1277.243520,1.7920E-006
1277.343680,1.2320E-006,1277.343680,1.2320E-006
1277.443840,2.7250E-006,1277.443840,2.7250E-006
1277.544000,1.3490E-006,1277.544000,1.3490E-006
1277.644160,1.3630E-006,1277.644160,1.3630E-006
1277.744320,1.7180E-006,1277.744320,1.7180E-006
1277.844480,1.4850E-006,1277.844480,1.4850E-006
1277.944640,7.5650E-007,1277.944640,7.5650E-007
1278.044800,1.4910E-006,1278.044800,1.4910E-006
1278.144960,2.2850E-006,1278.144960,2.2850E-006
1278.245120,1.4430E-006,1278.245120,1.4430E-006
1278.345280,7.8040E-007,1278.345280,7.8040E-007
1278.445440,1.2070E-006,1278.445440,1.2070E-006
1278.545600,2.1510E-006,1278.545600,2.1510E-006
1278.645760,1.8820E-006,1278.645760,1.8820E-006
1278.745920,1.4910E-006,1278.745920,1.4910E-006
1278.846080,1.5540E-006,1278.846080,1.5540E-006
1278.946240,1.6550E-006,1278.946240,1.6550E-006
1279.046400,1.7510E-006,1279.046400,1.7510E-006
1279.146560,1.8660E-006,1279.146560,1.8660E-006
1279.246720,1.3370E-006,1279.246720,1.3370E-006
1279.346880,1.0920E-006,1279.346880,1.0920E-006
1279.447040,1.1350E-006,1279.447040,1.1350E-006
1279.547200,1.6100E-006,1279.547200,1.6100E-006
1279.647360,1.7470E-006,1279.647360,1.7470E-006
1279.747520,2.3250E-006,1279.747520,2.3250E-006
1279.847680,1.1080E-006,1279.847680,1.1080E-006
1279.947840,2.3180E-006,1279.947840,2.3180E-006
1280.048000,1.7710E-006,1280.048000,1.7710E-006
1280.148160,1.3850E-006,1280.148160,1.3850E-006
1280.248320,1.4310E-006,1280.248320,1.4310E-006
1280.348480,6.9940E-007,1280.348480,6.9940E-007
1280.448640,2.1580E-006,1280.448640,2.1580E-006
1280.548800,1.6690E-006,1280.548800,1.6690E-006
1280.648960,1.5370E-006,1280.648960,1.5370E-006
1280.749120,2.2450E-006,1280.749120,2.2450E-006
1280.849280,2.0120E-006,1280.849280,2.0120E-006
1280.949440,2.1230E-006,1280.949440,2.1230E-006
1281.049600,1.4040E-006,1281.049600,1.4040E-006
1281.149760,2.6670E-006,1281.149760,2.6670E-006
1281.249920,6.0900E-007,1281.249920,6.0900E-007
1281.350080,1.9030E-006,1281.350080,1.9030E-006
1281.450240,8.7050E-007,1281.450240,8.7050E-007
1281.550400,1.0110E-006,1281.550400,1.0110E-006
1281.650560,1.5000E-006,1281.650560,1.5000E-006
1281.750720,1.2890E-006,1281.750720,1.2890E-006
1281.850880,8.2010E-007,1281.850880,8.2010E-007
1281.951040,2.1300E-006,1281.951040,2.1300E-006
1282.051200,2.7180E-006,1282.051200,2.7180E-006
1282.151360,1.1510E-007,1282.151360,1.1510E-007
1282.251520,1.0160E-006,1282.251520,1.0160E-006
1282.351680,1.4070E-006,1282.351680,1.4070E-006
1282.451840,1.2810E-006,1282.451840,1.2810E-006
1282.552000,1.4180E-006,1282.552000,1.4180E-006
1282.652160,1.9770E-006,1282.652160,1.9770E-006
1282.752320,1.0250E-006,1282.752320,1.0250E-006
1282.852480,2.4150E-006,1282.852480,2.4150E-006
1282.952640,1.2250E-006,1282.952640,1.2250E-006
1283.052800,2.1680E-006,1283.052800,2.1680E-006
1283.152960,2.1530E-006,1283.152960,2.1530E-006
1283.253120,1.1580E-006,1283.253120,1.1580E-006
1283.353280,1.3590E-006,1283.353280,1.3590E-006
1283.453440,1.0770E-006,1283.453440,1.0770E-006
1283.553600,2.5100E-006,1283.553600,2.5100E-006
1283.653760,2.0410E-006,1283.653760,2.0410E-006
1283.753920,1.4500E-006,1283.753920,1.4500E-006
1283.854080,6.0560E-007,1283.854080,6.0560E-007
1283.954240,4.3480E-007,1283.954240,4.3480E-007
1284.054400,2.6610E-006,1284.054400,2.6610E-006
1284.154560,1.7540E-006,1284.154560,1.7540E-006
1284.254720,2.0230E-006,1284.254720,2.0230E-006
1284.354880,1.2140E-006,1284.354880,1.2140E-006
1284.455040,4.8630E-007,1284.455040,4.8630E-007
1284.555200,1.7840E-006,1284.555200,1.7840E-006
1284.655360,2.0830E-006,1284.655360,2.0830E-006
1284.755520,1.0160E-006,1284.755520,1.0160E-006
1284.855680,9.6090E-007,1284.855680,9.6090E-007
1284.955840,1.5530E-006,1284.955840,1.5530E-006
1285.056000,-5.9310E-008,1285.056000,-5.9310E-008
1285.156160,2.1020E-006,1285.156160,2.1020E-006
1285.256320,1.5430E-006,1285.256320,1.5430E-006
1285.356480,9.8510E-007,1285.356480,9.8510E-007
1285.456640,1.7760E-006,1285.456640,1.7760E-006
1285.556800,1.6900E-006,1285.556800,1.6900E-006
1285.656960,1.6880E-006,1285.656960,1.6880E-006
1285.757120,1.4910E-006,1285.757120,1.4910E-006
1285.857280,1.7310E-006,1285.857280,1.7310E-006
1285.957440,1.4450E-006,1285.957440,1.4450E-006
1286.057600,1.5250E-006,1286.057600,1.5250E-006
1286.157760,6.5290E-007,1286.157760,6.5290E-007
1286.257920,2.1470E-006,1286.257920,2.1470E-006
1286.358080,2.8880E-006,1286.358080,2.8880E-006
1286.458240,7.7300E-007,1286.458240,7.7300E-007
1286.558400,1.1440E-006,1286.558400,1.1440E-006
1286.658560,1.1750E-006,1286.658560,1.1750E-006
1286.758720,2.2270E-006,1286.758720,2.2270E-006
1286.858880,6.2140E-007,1286.858880,6.2140E-007
1286.959040,2.4020E-006,1286.959040,2.4020E-006
1287.059200,7.4900E-007,1287.059200,7.4900E-007
