File,WaveData20230131_120.csv,
Date/Time,23-01-31/16:51,

Trace,A
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm
Trace,B
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.000000,1.7800E-006,1250.000000,1.7800E-006
1250.100160,2.0150E-006,1250.100160,2.0150E-006
1250.200320,7.2960E-007,1250.200320,7.2960E-007
1250.300480,1.7700E-006,1250.300480,1.7700E-006
1250.400640,1.1840E-006,1250.400640,1.1840E-006
1250.500800,1.2620E-006,1250.500800,1.2620E-006
1250.600960,1.8140E-006,1250.600960,1.8140E-006
1250.701120,2.3250E-006,1250.701120,2.3250E-006
1250.801280,1.0020E-006,1250.801280,1.0020E-006
1250.901440,2.7720E-006,1250.901440,2.7720E-006
1251.001600,1.0550E-006,1251.001600,1.0550E-006
1251.101760,1.9350E-006,1251.101760,1.9350E-006
1251.201920,1.8320E-006,1251.201920,1.8320E-006
1251.302080,9.3170E-007,1251.302080,9.3170E-007
1251.402240,1.4130E-006,1251.402240,1.4130E-006
1251.502400,1.5610E-006,1251.502400,1.5610E-006
1251.602560,2.0400E-006,1251.602560,2.0400E-006
1251.702720,2.0260E-006,1251.702720,2.0260E-006
1251.802880,1.7210E-006,1251.802880,1.7210E-006
1251.903040,1.8240E-006,1251.903040,1.8240E-006
1252.003200,2.9030E-007,1252.003200,2.9030E-007
1252.103360,2.0310E-006,1252.103360,2.0310E-006
1252.203520,1.4800E-006,1252.203520,1.4800E-006
1252.303680,2.0400E-006,1252.303680,2.0400E-006
1252.403840,1.1750E-006,1252.403840,1.1750E-006
1252.504000,2.0020E-006,1252.504000,2.0020E-006
1252.604160,1.4730E-006,1252.604160,1.4730E-006
1252.704320,2.2230E-006,1252.704320,2.2230E-006
1252.804480,9.2730E-007,1252.804480,9.2730E-007
1252.904640,1.1020E-006,1252.904640,1.1020E-006
1253.004800,2.2530E-006,1253.004800,2.2530E-006
1253.104960,6.8740E-007,1253.104960,6.8740E-007
1253.205120,7.3310E-007,1253.205120,7.3310E-007
1253.305280,1.3020E-006,1253.305280,1.3020E-006
1253.405440,1.7490E-006,1253.405440,1.7490E-006
1253.505600,1.5020E-006,1253.505600,1.5020E-006
1253.605760,1.4490E-006,1253.605760,1.4490E-006
1253.705920,2.8940E-006,1253.705920,2.8940E-006
1253.806080,2.1810E-006,1253.806080,2.1810E-006
1253.906240,1.4130E-006,1253.906240,1.4130E-006
1254.006400,1.7190E-006,1254.006400,1.7190E-006
1254.106560,1.4390E-006,1254.106560,1.4390E-006
1254.206720,1.3850E-006,1254.206720,1.3850E-006
1254.306880,2.8180E-006,1254.306880,2.8180E-006
1254.407040,1.6280E-006,1254.407040,1.6280E-006
1254.507200,1.7870E-006,1254.507200,1.7870E-006
1254.607360,8.8010E-007,1254.607360,8.8010E-007
1254.707520,1.6020E-006,1254.707520,1.6020E-006
1254.807680,1.6320E-006,1254.807680,1.6320E-006
1254.907840,3.1910E-007,1254.907840,3.1910E-007
1255.008000,2.3470E-006,1255.008000,2.3470E-006
1255.108160,2.2420E-006,1255.108160,2.2420E-006
1255.208320,5.0340E-007,1255.208320,5.0340E-007
1255.308480,1.4550E-006,1255.308480,1.4550E-006
1255.408640,1.2360E-006,1255.408640,1.2360E-006
1255.508800,4.5130E-007,1255.508800,4.5130E-007
1255.608960,1.0240E-006,1255.608960,1.0240E-006
1255.709120,1.9560E-006,1255.709120,1.9560E-006
1255.809280,9.5250E-007,1255.809280,9.5250E-007
1255.909440,2.1160E-006,1255.909440,2.1160E-006
1256.009600,1.7760E-006,1256.009600,1.7760E-006
1256.109760,1.2660E-006,1256.109760,1.2660E-006
1256.209920,1.5510E-006,1256.209920,1.5510E-006
1256.310080,1.4150E-006,1256.310080,1.4150E-006
1256.410240,1.0620E-006,1256.410240,1.0620E-006
1256.510400,8.5930E-007,1256.510400,8.5930E-007
1256.610560,4.7390E-007,1256.610560,4.7390E-007
1256.710720,1.5840E-006,1256.710720,1.5840E-006
1256.810880,1.8260E-006,1256.810880,1.8260E-006
1256.911040,1.2860E-006,1256.911040,1.2860E-006
1257.011200,1.0320E-006,1257.011200,1.0320E-006
1257.111360,1.7110E-006,1257.111360,1.7110E-006
