File,WaveData20230131_123.csv,
Date/Time,23-01-31/16:52,

Trace,A
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm
Trace,B
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.000000,6.8550E-007,1250.000000,6.8550E-007
1250.100160,2.6080E-006,1250.100160,2.6080E-006
1250.200320,1.6430E-006,1250.200320,1.6430E-006
1250.300480,2.0040E-006,1250.300480,2.0040E-006
1250.400640,7.7800E-007,1250.400640,7.7800E-007
1250.500800,1.2250E-006,1250.500800,1.2250E-006
1250.600960,1.0550E-006,1250.600960,1.0550E-006
1250.701120,1.6830E-006,1250.701120,1.6830E-006
1250.801280,1.0430E-006,1250.801280,1.0430E-006
1250.901440,2.2470E-006,1250.901440,2.2470E-006
1251.001600,1.2760E-006,1251.001600,1.2760E-006
1251.101760,2.5930E-006,1251.101760,2.5930E-006
1251.201920,1.2360E-006,1251.201920,1.2360E-006
1251.302080,1.9110E-006,1251.302080,1.9110E-006
1251.402240,9.5300E-008,1251.402240,9.5300E-008
1251.502400,2.2260E-006,1251.502400,2.2260E-006
1251.602560,1.3260E-006,1251.602560,1.3260E-006
1251.702720,1.4880E-006,1251.702720,1.4880E-006
1251.802880,3.4680E-006,1251.802880,3.4680E-006
1251.903040,1.0760E-006,1251.903040,1.0760E-006
1252.003200,1.8690E-006,1252.003200,1.8690E-006
1252.103360,2.0900E-006,1252.103360,2.0900E-006
1252.203520,2.8320E-006,1252.203520,2.8320E-006
1252.303680,1.7620E-006,1252.303680,1.7620E-006
1252.403840,1.3210E-006,1252.403840,1.3210E-006
1252.504000,6.8390E-007,1252.504000,6.8390E-007
1252.604160,1.4890E-006,1252.604160,1.4890E-006
1252.704320,1.6770E-006,1252.704320,1.6770E-006
1252.804480,1.5520E-006,1252.804480,1.5520E-006
1252.904640,1.3580E-006,1252.904640,1.3580E-006
1253.004800,2.1430E-006,1253.004800,2.1430E-006
1253.104960,1.0020E-006,1253.104960,1.0020E-006
1253.205120,1.1590E-006,1253.205120,1.1590E-006
1253.305280,4.8900E-007,1253.305280,4.8900E-007
1253.405440,1.9770E-006,1253.405440,1.9770E-006
1253.505600,1.1580E-006,1253.505600,1.1580E-006
1253.605760,1.8490E-006,1253.605760,1.8490E-006
1253.705920,2.3210E-006,1253.705920,2.3210E-006
1253.806080,1.7490E-007,1253.806080,1.7490E-007
1253.906240,2.6660E-006,1253.906240,2.6660E-006
1254.006400,1.5600E-006,1254.006400,1.5600E-006
1254.106560,4.1510E-007,1254.106560,4.1510E-007
1254.206720,1.8140E-006,1254.206720,1.8140E-006
1254.306880,1.4980E-006,1254.306880,1.4980E-006
1254.407040,1.6460E-006,1254.407040,1.6460E-006
1254.507200,2.3750E-006,1254.507200,2.3750E-006
1254.607360,2.0440E-006,1254.607360,2.0440E-006
1254.707520,2.3550E-007,1254.707520,2.3550E-007
1254.807680,1.1740E-006,1254.807680,1.1740E-006
1254.907840,2.0970E-006,1254.907840,2.0970E-006
1255.008000,1.6620E-006,1255.008000,1.6620E-006
1255.108160,1.3700E-006,1255.108160,1.3700E-006
1255.208320,1.8190E-006,1255.208320,1.8190E-006
1255.308480,1.8550E-006,1255.308480,1.8550E-006
1255.408640,2.1140E-006,1255.408640,2.1140E-006
1255.508800,1.1640E-006,1255.508800,1.1640E-006
1255.608960,4.9330E-007,1255.608960,4.9330E-007
1255.709120,1.5440E-006,1255.709120,1.5440E-006
1255.809280,3.0280E-006,1255.809280,3.0280E-006
1255.909440,2.1070E-006,1255.909440,2.1070E-006
1256.009600,2.3000E-006,1256.009600,2.3000E-006
1256.109760,1.4220E-006,1256.109760,1.4220E-006
1256.209920,1.0330E-006,1256.209920,1.0330E-006
1256.310080,1.1660E-006,1256.310080,1.1660E-006
1256.410240,1.5170E-006,1256.410240,1.5170E-006
1256.510400,2.4540E-006,1256.510400,2.4540E-006
1256.610560,2.2240E-006,1256.610560,2.2240E-006
1256.710720,2.0900E-006,1256.710720,2.0900E-006
1256.810880,1.3920E-006,1256.810880,1.3920E-006
1256.911040,1.5180E-006,1256.911040,1.5180E-006
1257.011200,1.8070E-006,1257.011200,1.8070E-006
1257.111360,2.1490E-006,1257.111360,2.1490E-006
1257.211520,1.0460E-006,1257.211520,1.0460E-006
1257.311680,2.0950E-006,1257.311680,2.0950E-006
1257.411840,2.7160E-006,1257.411840,2.7160E-006
1257.512000,8.3010E-007,1257.512000,8.3010E-007
1257.612160,1.6700E-006,1257.612160,1.6700E-006
1257.712320,9.8780E-007,1257.712320,9.8780E-007
1257.812480,3.3130E-007,1257.812480,3.3130E-007
1257.912640,1.7710E-006,1257.912640,1.7710E-006
1258.012800,1.4460E-006,1258.012800,1.4460E-006
1258.112960,1.3790E-006,1258.112960,1.3790E-006
1258.213120,7.8280E-007,1258.213120,7.8280E-007
1258.313280,1.9150E-006,1258.313280,1.9150E-006
1258.413440,1.6540E-006,1258.413440,1.6540E-006
1258.513600,2.0090E-006,1258.513600,2.0090E-006
1258.613760,1.9890E-006,1258.613760,1.9890E-006
1258.713920,2.0510E-006,1258.713920,2.0510E-006
1258.814080,8.7960E-007,1258.814080,8.7960E-007
1258.914240,1.5720E-006,1258.914240,1.5720E-006
1259.014400,1.1970E-006,1259.014400,1.1970E-006
1259.114560,1.7480E-006,1259.114560,1.7480E-006
1259.214720,1.6870E-006,1259.214720,1.6870E-006
1259.314880,1.5490E-006,1259.314880,1.5490E-006
1259.415040,9.3460E-007,1259.415040,9.3460E-007
1259.515200,1.3480E-006,1259.515200,1.3480E-006
1259.615360,1.4810E-006,1259.615360,1.4810E-006
1259.715520,2.5290E-006,1259.715520,2.5290E-006
1259.815680,1.7840E-006,1259.815680,1.7840E-006
1259.915840,1.6120E-006,1259.915840,1.6120E-006
1260.016000,1.4620E-006,1260.016000,1.4620E-006
1260.116160,1.9170E-006,1260.116160,1.9170E-006
1260.216320,9.7230E-007,1260.216320,9.7230E-007
1260.316480,1.6240E-006,1260.316480,1.6240E-006
1260.416640,1.9720E-006,1260.416640,1.9720E-006
1260.516800,3.2150E-006,1260.516800,3.2150E-006
1260.616960,6.3160E-007,1260.616960,6.3160E-007
1260.717120,2.5630E-006,1260.717120,2.5630E-006
1260.817280,1.4540E-006,1260.817280,1.4540E-006
1260.917440,2.9170E-006,1260.917440,2.9170E-006
1261.017600,1.9910E-006,1261.017600,1.9910E-006
1261.117760,1.1680E-006,1261.117760,1.1680E-006
1261.217920,1.7870E-006,1261.217920,1.7870E-006
1261.318080,1.5520E-006,1261.318080,1.5520E-006
1261.418240,1.7730E-006,1261.418240,1.7730E-006
1261.518400,1.4070E-006,1261.518400,1.4070E-006
1261.618560,2.3380E-006,1261.618560,2.3380E-006
1261.718720,1.4240E-006,1261.718720,1.4240E-006
1261.818880,1.8010E-006,1261.818880,1.8010E-006
1261.919040,2.0420E-006,1261.919040,2.0420E-006
