File,WaveData20230131_106.csv,
Date/Time,23-01-31/16:27,

Trace,A
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm
Trace,B
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.000000,5.7970E-007,1250.000000,5.7970E-007
1250.100160,-7.5090E-007,1250.100160,-7.5090E-007
1250.200320,6.4950E-007,1250.200320,6.4950E-007
1250.300480,8.6780E-007,1250.300480,8.6780E-007
1250.400640,-1.0530E-008,1250.400640,-1.0530E-008
1250.500800,8.0070E-007,1250.500800,8.0070E-007
1250.600960,-1.1780E-007,1250.600960,-1.1780E-007
1250.701120,-3.9500E-008,1250.701120,-3.9500E-008
1250.801280,1.0260E-007,1250.801280,1.0260E-007
1250.901440,5.9490E-007,1250.901440,5.9490E-007
1251.001600,-6.8060E-007,1251.001600,-6.8060E-007
1251.101760,9.4620E-007,1251.101760,9.4620E-007
1251.201920,9.7960E-007,1251.201920,9.7960E-007
1251.302080,7.1440E-007,1251.302080,7.1440E-007
1251.402240,-6.4030E-007,1251.402240,-6.4030E-007
1251.502400,3.1820E-007,1251.502400,3.1820E-007
1251.602560,1.9120E-007,1251.602560,1.9120E-007
1251.702720,1.2920E-006,1251.702720,1.2920E-006
1251.802880,8.9160E-007,1251.802880,8.9160E-007
1251.903040,1.9180E-007,1251.903040,1.9180E-007
1252.003200,-6.9580E-007,1252.003200,-6.9580E-007
1252.103360,7.2670E-007,1252.103360,7.2670E-007
1252.203520,1.5300E-007,1252.203520,1.5300E-007
1252.303680,1.0000E-006,1252.303680,1.0000E-006
1252.403840,-5.0950E-007,1252.403840,-5.0950E-007
1252.504000,-1.5550E-007,1252.504000,-1.5550E-007
1252.604160,1.4580E-006,1252.604160,1.4580E-006
1252.704320,-9.7730E-008,1252.704320,-9.7730E-008
1252.804480,1.1630E-006,1252.804480,1.1630E-006
1252.904640,9.1520E-007,1252.904640,9.1520E-007
1253.004800,7.7030E-007,1253.004800,7.7030E-007
1253.104960,2.6160E-007,1253.104960,2.6160E-007
1253.205120,-3.9930E-007,1253.205120,-3.9930E-007
1253.305280,4.4510E-007,1253.305280,4.4510E-007
1253.405440,6.6980E-007,1253.405440,6.6980E-007
1253.505600,1.1790E-006,1253.505600,1.1790E-006
1253.605760,1.1080E-006,1253.605760,1.1080E-006
1253.705920,5.0650E-007,1253.705920,5.0650E-007
1253.806080,9.4770E-007,1253.806080,9.4770E-007
1253.906240,-2.2590E-007,1253.906240,-2.2590E-007
1254.006400,4.2240E-007,1254.006400,4.2240E-007
1254.106560,1.1010E-006,1254.106560,1.1010E-006
1254.206720,1.6820E-007,1254.206720,1.6820E-007
1254.306880,6.5710E-007,1254.306880,6.5710E-007
1254.407040,6.4280E-007,1254.407040,6.4280E-007
1254.507200,-1.2350E-006,1254.507200,-1.2350E-006
1254.607360,6.6510E-007,1254.607360,6.6510E-007
1254.707520,2.0930E-008,1254.707520,2.0930E-008
1254.807680,1.5600E-006,1254.807680,1.5600E-006
1254.907840,-6.3390E-008,1254.907840,-6.3390E-008
1255.008000,4.2960E-007,1255.008000,4.2960E-007
1255.108160,3.9430E-007,1255.108160,3.9430E-007
1255.208320,5.6950E-007,1255.208320,5.6950E-007
1255.308480,1.4230E-006,1255.308480,1.4230E-006
1255.408640,6.2670E-007,1255.408640,6.2670E-007
1255.508800,3.0150E-007,1255.508800,3.0150E-007
1255.608960,3.8470E-007,1255.608960,3.8470E-007
1255.709120,1.8430E-006,1255.709120,1.8430E-006
1255.809280,4.5240E-007,1255.809280,4.5240E-007
1255.909440,1.2120E-006,1255.909440,1.2120E-006
1256.009600,1.5190E-007,1256.009600,1.5190E-007
1256.109760,8.0220E-007,1256.109760,8.0220E-007
1256.209920,3.9530E-007,1256.209920,3.9530E-007
1256.310080,-8.3240E-008,1256.310080,-8.3240E-008
1256.410240,-2.1770E-007,1256.410240,-2.1770E-007
1256.510400,-2.5190E-007,1256.510400,-2.5190E-007
1256.610560,1.2200E-007,1256.610560,1.2200E-007
1256.710720,7.0360E-007,1256.710720,7.0360E-007
1256.810880,8.0750E-007,1256.810880,8.0750E-007
1256.911040,3.0740E-007,1256.911040,3.0740E-007
1257.011200,3.9430E-008,1257.011200,3.9430E-008
1257.111360,-9.1320E-008,1257.111360,-9.1320E-008
1257.211520,-2.0640E-007,1257.211520,-2.0640E-007
1257.311680,-3.4790E-007,1257.311680,-3.4790E-007
1257.411840,-5.4150E-007,1257.411840,-5.4150E-007
1257.512000,5.3700E-007,1257.512000,5.3700E-007
1257.612160,9.3850E-007,1257.612160,9.3850E-007
1257.712320,1.4740E-007,1257.712320,1.4740E-007
1257.812480,-8.1060E-007,1257.812480,-8.1060E-007
1257.912640,6.2670E-007,1257.912640,6.2670E-007
