File,WaveData20210923_057.csv,
Date/Time,21-09-23/17:24,

Trace,A
Center Wavelength,1558.8,nm
Span Wavelength,200,nm
Start Wavelength,1458.8,nm
Stop Wavelength,1658.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.1,nm
Actual Resolution,0.092,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,1001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1458.8,nm
Stop,1658.8,nm

Wavelength(A),Level(A)
1458.800000,4.5340E-006
1459.000000,4.4910E-006
1459.200000,4.5280E-006
1459.400000,4.5620E-006
1459.600000,4.5410E-006
1459.800000,4.5720E-006
1460.000000,4.5640E-006
1460.200000,4.6250E-006
1460.400000,4.6080E-006
1460.600000,4.6090E-006
1460.800000,4.6000E-006
1461.000000,4.5700E-006
1461.200000,4.6210E-006
1461.400000,4.6900E-006
1461.600000,4.6680E-006
1461.800000,4.6480E-006
1462.000000,4.7020E-006
1462.200000,4.6990E-006
1462.400000,4.7440E-006
1462.600000,4.6920E-006
1462.800000,4.7180E-006
1463.000000,4.7510E-006
1463.200000,4.7340E-006
1463.400000,4.7440E-006
1463.600000,4.7970E-006
1463.800000,4.7960E-006
1464.000000,4.8870E-006
1464.200000,4.8230E-006
1464.400000,4.8320E-006
1464.600000,4.8670E-006
1464.800000,4.8450E-006
1465.000000,4.8800E-006
1465.200000,4.8900E-006
1465.400000,4.8880E-006
1465.600000,4.9900E-006
1465.800000,4.9600E-006
1466.000000,4.9710E-006
1466.200000,4.9780E-006
1466.400000,5.0080E-006
1466.600000,5.0250E-006
1466.800000,5.0280E-006
1467.000000,5.0340E-006
1467.200000,5.0740E-006
1467.400000,5.0640E-006
1467.600000,5.0550E-006
1467.800000,5.0800E-006
1468.000000,5.0930E-006
1468.200000,5.1830E-006
1468.400000,5.1770E-006
1468.600000,5.1960E-006
1468.800000,5.2100E-006
1469.000000,5.2040E-006
1469.200000,5.1950E-006
1469.400000,5.2790E-006
1469.600000,5.2270E-006
1469.800000,5.2580E-006
1470.000000,5.3220E-006
1470.200000,5.3960E-006
1470.400000,5.4090E-006
1470.600000,5.4340E-006
1470.800000,5.4820E-006
1471.000000,5.4190E-006
1471.200000,5.4640E-006
1471.400000,5.5100E-006
1471.600000,5.5200E-006
1471.800000,5.5700E-006
1472.000000,5.5520E-006
1472.200000,5.5570E-006
1472.400000,5.4650E-006
1472.600000,5.5320E-006
1472.800000,5.5860E-006
1473.000000,5.6450E-006
1473.200000,5.6510E-006
1473.400000,5.6540E-006
1473.600000,5.6720E-006
1473.800000,5.6400E-006
1474.000000,5.6530E-006
1474.200000,5.7050E-006
1474.400000,5.7860E-006
1474.600000,5.8570E-006
1474.800000,5.7880E-006
1475.000000,5.7690E-006
1475.200000,5.8240E-006
