File,WaveData20210924_016.csv,
Date/Time,21-09-24/13:36,

Trace,A
Center Wavelength,1557.8,nm
Span Wavelength,400,nm
Start Wavelength,1357.8,nm
Stop Wavelength,1757.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.07,nm
Actual Resolution,0.058,nm
VBW,1000,Hz
Point Average,20,
Sweep Average,4,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1357.8,nm
Stop,1757.8,nm

Wavelength(A),Level(A)
1357.800000,2.9330E-008
1358.000000,2.4350E-008
1358.200000,2.4440E-008
1358.400000,2.2750E-008
1358.600000,2.5800E-008
1358.800000,2.7940E-008
1359.000000,2.4810E-008
1359.200000,2.1150E-008
1359.400000,3.6160E-008
1359.600000,5.0180E-008
1359.800000,2.1800E-008
1360.000000,2.5210E-008
1360.200000,1.9480E-008
1360.400000,1.7290E-008
1360.600000,2.6400E-008
1360.800000,2.6110E-008
1361.000000,3.6650E-008
1361.200000,2.4840E-008
1361.400000,3.4060E-008
1361.600000,1.9310E-008
1361.800000,2.3330E-008
1362.000000,2.9340E-008
1362.200000,3.3730E-008
1362.400000,4.1400E-008
1362.600000,1.1340E-008
1362.800000,3.3880E-008
1363.000000,1.7090E-008
1363.200000,2.3730E-008
1363.400000,1.5640E-008
1363.600000,2.4960E-008
1363.800000,2.7360E-008
1364.000000,2.9250E-008
1364.200000,1.9200E-008
1364.400000,2.2390E-008
1364.600000,2.6370E-008
1364.800000,3.4010E-008
1365.000000,2.4390E-008
1365.200000,2.5040E-008
1365.400000,2.2430E-008
1365.600000,2.8860E-008
1365.800000,2.7410E-008
1366.000000,2.1010E-008
1366.200000,2.6090E-008
1366.400000,2.4170E-008
1366.600000,1.0720E-008
1366.800000,2.5840E-008
1367.000000,2.0180E-008
1367.200000,2.6360E-008
1367.400000,4.1180E-008
1367.600000,2.6790E-008
1367.800000,3.2800E-008
1368.000000,3.7000E-008
1368.200000,2.0990E-008
1368.400000,2.2250E-008
1368.600000,1.7440E-008
1368.800000,4.1900E-008
1369.000000,2.9940E-008
1369.200000,2.6900E-008
1369.400000,3.5260E-008
1369.600000,3.6270E-008
1369.800000,2.2570E-008
1370.000000,2.6350E-008
1370.200000,2.3360E-008
1370.400000,2.9920E-008
1370.600000,2.5430E-008
1370.800000,2.8320E-008
1371.000000,3.5810E-008
1371.200000,4.2150E-008
1371.400000,1.5000E-008
1371.600000,2.1400E-008
1371.800000,2.0040E-008
1372.000000,2.6260E-008
1372.200000,2.5350E-008
1372.400000,3.3640E-008
1372.600000,2.9980E-008
1372.800000,2.8610E-008
1373.000000,1.0160E-008
1373.200000,1.5920E-008
1373.400000,3.4360E-008
1373.600000,2.6620E-008
1373.800000,1.8460E-008
1374.000000,3.2040E-008
1374.200000,3.3970E-008
1374.400000,2.8120E-008
1374.600000,2.5190E-008
1374.800000,2.0100E-008
1375.000000,2.9970E-008
1375.200000,1.1220E-008
1375.400000,2.0260E-008
1375.600000,5.0460E-008
1375.800000,3.4250E-008
1376.000000,2.0860E-008
1376.200000,2.9670E-008
1376.400000,1.9350E-008
1376.600000,2.5370E-008
1376.800000,1.9180E-008
1377.000000,2.4040E-008
1377.200000,2.1260E-008
1377.400000,2.1100E-008
1377.600000,2.5770E-008
1377.800000,2.5460E-008
1378.000000,2.9910E-008
1378.200000,3.1790E-008
1378.400000,3.6240E-008
1378.600000,1.8060E-008
1378.800000,2.6950E-008
1379.000000,2.6700E-008
1379.200000,4.3090E-008
1379.400000,2.2850E-008
1379.600000,2.3860E-008
1379.800000,2.0270E-008
1380.000000,4.5310E-008
1380.200000,2.6400E-008
1380.400000,2.9930E-008
1380.600000,2.5200E-008
1380.800000,2.5080E-008
1381.000000,3.0380E-008
1381.200000,2.4430E-008
1381.400000,3.2170E-008
1381.600000,2.1250E-008
1381.800000,2.0860E-008
1382.000000,2.4910E-008
1382.200000,3.4250E-008
1382.400000,2.8070E-008
1382.600000,1.6430E-008
1382.800000,3.8210E-008
1383.000000,2.8180E-008
1383.200000,2.6690E-008
1383.400000,2.3720E-008
1383.600000,2.0100E-008
1383.800000,2.2860E-008
1384.000000,2.1540E-008
1384.200000,2.4410E-008
1384.400000,2.7940E-008
1384.600000,1.4220E-008
1384.800000,2.0710E-008
1385.000000,3.7530E-008
1385.200000,1.9240E-008
1385.400000,4.0430E-008
1385.600000,2.6590E-008
1385.800000,1.6380E-008
1386.000000,4.0560E-008
1386.200000,3.4120E-008
1386.400000,4.3320E-008
1386.600000,3.4520E-008
1386.800000,3.7660E-008
1387.000000,3.2000E-008
1387.200000,2.6200E-008
1387.400000,2.9400E-008
1387.600000,1.9830E-008
1387.800000,1.8760E-008
1388.000000,1.8580E-008
1388.200000,1.6590E-008
1388.400000,4.3480E-008
1388.600000,2.5410E-008
1388.800000,1.9590E-008
1389.000000,2.5680E-008
1389.200000,3.4390E-008
1389.400000,4.0460E-008
1389.600000,2.7110E-008
1389.800000,2.4490E-008
1390.000000,2.3690E-008
1390.200000,1.2310E-008
1390.400000,3.1510E-008
1390.600000,2.4310E-008
1390.800000,2.0900E-008
1391.000000,2.2640E-008
1391.200000,3.0890E-008
1391.400000,1.5680E-008
1391.600000,2.5990E-008
1391.800000,2.8770E-008
1392.000000,1.4990E-008
1392.200000,1.5020E-008
1392.400000,8.0880E-009
1392.600000,2.5190E-008
1392.800000,1.9360E-008
1393.000000,3.4240E-008
1393.200000,1.9030E-008
1393.400000,4.0200E-008
1393.600000,2.8650E-008
1393.800000,2.8040E-008
1394.000000,3.2100E-008
1394.200000,2.3580E-008
1394.400000,3.1720E-008
1394.600000,3.0520E-008
1394.800000,3.6710E-008
1395.000000,2.8780E-008
1395.200000,3.1840E-008
1395.400000,1.2350E-008
1395.600000,1.4480E-008
1395.800000,2.4050E-008
1396.000000,3.2620E-008
1396.200000,1.8370E-008
1396.400000,2.9590E-008
1396.600000,2.0310E-008
1396.800000,2.6920E-008
1397.000000,1.8790E-008
1397.200000,1.9400E-008
1397.400000,3.7690E-008
1397.600000,4.8930E-008
1397.800000,2.8590E-008
1398.000000,1.0740E-008
1398.200000,3.5220E-008
1398.400000,3.1100E-008
1398.600000,2.0930E-008
1398.800000,3.8350E-008
1399.000000,1.6310E-008
1399.200000,3.0910E-008
1399.400000,2.6720E-008
1399.600000,1.8170E-008
1399.800000,3.2330E-008
1400.000000,2.0910E-008
1400.200000,3.1810E-008
1400.400000,2.3340E-008
1400.600000,2.7690E-008
1400.800000,2.5350E-008
1401.000000,2.8290E-008
1401.200000,2.3760E-008
1401.400000,3.5110E-008
1401.600000,2.4530E-008
1401.800000,3.7350E-008
1402.000000,2.2390E-008
1402.200000,1.6260E-008
1402.400000,1.9470E-008
1402.600000,3.1070E-008
1402.800000,2.2700E-008
1403.000000,3.2840E-008
1403.200000,2.3910E-008
1403.400000,2.0080E-008
1403.600000,3.2770E-008
1403.800000,2.0510E-008
1404.000000,2.9000E-008
1404.200000,7.1390E-009
1404.400000,2.0420E-008
1404.600000,4.0650E-008
1404.800000,3.8780E-008
1405.000000,4.1050E-008
1405.200000,2.3010E-008
1405.400000,3.0120E-008
1405.600000,2.8280E-008
1405.800000,4.1490E-008
1406.000000,2.6470E-008
1406.200000,2.3160E-008
1406.400000,4.1480E-008
1406.600000,2.8150E-008
1406.800000,3.0450E-008
1407.000000,2.7450E-008
1407.200000,2.5600E-008
1407.400000,3.4700E-008
1407.600000,2.9180E-008
1407.800000,3.5110E-008
1408.000000,1.5940E-008
1408.200000,3.8460E-008
1408.400000,3.0030E-008
1408.600000,1.9810E-008
1408.800000,2.6840E-008
1409.000000,2.3720E-008
1409.200000,2.3360E-008
1409.400000,2.8240E-008
1409.600000,2.1310E-008
1409.800000,2.1070E-008
1410.000000,2.0480E-008
1410.200000,1.9180E-008
1410.400000,3.2400E-008
1410.600000,1.9430E-008
1410.800000,3.8570E-008
1411.000000,3.8930E-008
1411.200000,2.8490E-008
1411.400000,3.7870E-008
1411.600000,1.5880E-008
1411.800000,2.7010E-008
1412.000000,1.6680E-008
1412.200000,2.2870E-008
1412.400000,2.2910E-008
1412.600000,4.1870E-008
1412.800000,3.2900E-008
1413.000000,1.9740E-008
1413.200000,2.8120E-008
1413.400000,2.6210E-008
1413.600000,2.2650E-008
1413.800000,3.7640E-008
1414.000000,2.4500E-008
1414.200000,2.2950E-008
1414.400000,2.2300E-008
1414.600000,3.2700E-008
1414.800000,3.3880E-008
1415.000000,3.4040E-008
1415.200000,3.3790E-008
1415.400000,3.5060E-008
1415.600000,3.5730E-008
1415.800000,3.2810E-008
1416.000000,3.8070E-008
1416.200000,2.5550E-008
1416.400000,3.9050E-008
1416.600000,3.5250E-008
1416.800000,3.7880E-008
1417.000000,1.7170E-008
1417.200000,2.9930E-008
1417.400000,2.6470E-008
1417.600000,2.7000E-008
1417.800000,4.3210E-008
1418.000000,2.1460E-008
1418.200000,3.5920E-008
1418.400000,1.3870E-008
1418.600000,3.9520E-008
1418.800000,3.0850E-008
1419.000000,1.9640E-008
1419.200000,2.9250E-008
1419.400000,2.3430E-008
1419.600000,3.2900E-008
1419.800000,2.2690E-008
1420.000000,2.0760E-008
1420.200000,3.1360E-008
1420.400000,2.0020E-008
1420.600000,3.7820E-008
1420.800000,3.6870E-008
1421.000000,3.8220E-008
1421.200000,3.0460E-008
1421.400000,2.1580E-008
1421.600000,3.4520E-008
1421.800000,3.2270E-008
1422.000000,1.7750E-008
1422.200000,2.0730E-008
1422.400000,3.0940E-008
1422.600000,2.8480E-008
1422.800000,3.0900E-008
1423.000000,3.1300E-008
1423.200000,3.0370E-008
1423.400000,3.9380E-008
1423.600000,3.5220E-008
1423.800000,3.6420E-008
1424.000000,2.7330E-008
1424.200000,4.9930E-008
1424.400000,1.2280E-008
1424.600000,2.6400E-008
1424.800000,3.2430E-008
1425.000000,3.3860E-008
1425.200000,3.0100E-008
1425.400000,2.4720E-008
1425.600000,2.5790E-008
1425.800000,3.7690E-008
1426.000000,4.5800E-008
1426.200000,3.0960E-008
1426.400000,2.8310E-008
1426.600000,3.9120E-008
1426.800000,3.2370E-008
1427.000000,3.7240E-008
1427.200000,4.3900E-008
1427.400000,3.5860E-008
1427.600000,4.4260E-008
1427.800000,4.2020E-008
1428.000000,3.7080E-008
1428.200000,4.3770E-008
1428.400000,4.1010E-008
1428.600000,3.5460E-008
1428.800000,4.0280E-008
1429.000000,4.4230E-008
1429.200000,2.9850E-008
1429.400000,3.7200E-008
1429.600000,3.7390E-008
1429.800000,5.4220E-008
1430.000000,3.7920E-008
1430.200000,1.3230E-008
1430.400000,2.5870E-008
1430.600000,3.1890E-008
1430.800000,4.9770E-008
1431.000000,2.6090E-008
1431.200000,3.8320E-008
1431.400000,4.3560E-008
1431.600000,4.0990E-008
1431.800000,3.5460E-008
1432.000000,4.1930E-008
1432.200000,4.4120E-008
1432.400000,4.2030E-008
1432.600000,3.7690E-008
1432.800000,3.8220E-008
1433.000000,4.4920E-008
1433.200000,3.3570E-008
1433.400000,3.8770E-008
1433.600000,3.0700E-008
1433.800000,2.9760E-008
1434.000000,4.2960E-008
1434.200000,4.7380E-008
1434.400000,3.6660E-008
1434.600000,4.5030E-008
1434.800000,4.7430E-008
1435.000000,4.1850E-008
1435.200000,2.6640E-008
1435.400000,4.7670E-008
1435.600000,4.4280E-008
1435.800000,4.0540E-008
1436.000000,3.4820E-008
1436.200000,4.7800E-008
1436.400000,4.9070E-008
1436.600000,5.5370E-008
1436.800000,5.1420E-008
1437.000000,5.0950E-008
1437.200000,4.6670E-008
1437.400000,4.4520E-008
1437.600000,4.3710E-008
1437.800000,3.1920E-008
1438.000000,3.9620E-008
1438.200000,5.0860E-008
1438.400000,4.3000E-008
1438.600000,4.0010E-008
1438.800000,3.6840E-008
1439.000000,4.4000E-008
1439.200000,5.2120E-008
1439.400000,4.4430E-008
1439.600000,4.7440E-008
1439.800000,6.3450E-008
1440.000000,4.2890E-008
1440.200000,6.6120E-008
1440.400000,3.7410E-008
1440.600000,5.4970E-008
1440.800000,4.5950E-008
1441.000000,4.5170E-008
1441.200000,4.5870E-008
1441.400000,6.0510E-008
1441.600000,6.3090E-008
1441.800000,5.3540E-008
1442.000000,6.5500E-008
1442.200000,6.9830E-008
1442.400000,4.8060E-008
1442.600000,5.3820E-008
1442.800000,4.6040E-008
1443.000000,5.5650E-008
1443.200000,6.4650E-008
1443.400000,4.7650E-008
1443.600000,5.6520E-008
1443.800000,5.3020E-008
1444.000000,4.2100E-008
1444.200000,6.2520E-008
1444.400000,6.2510E-008
1444.600000,6.0480E-008
1444.800000,4.5550E-008
1445.000000,4.6430E-008
1445.200000,5.9880E-008
1445.400000,7.0860E-008
1445.600000,5.5610E-008
1445.800000,8.1540E-008
1446.000000,7.1630E-008
1446.200000,7.0900E-008
1446.400000,6.8630E-008
1446.600000,6.2720E-008
1446.800000,6.3200E-008
1447.000000,4.7780E-008
1447.200000,7.5960E-008
1447.400000,6.1010E-008
1447.600000,6.9000E-008
1447.800000,7.3770E-008
1448.000000,6.7540E-008
1448.200000,7.8610E-008
1448.400000,7.6820E-008
1448.600000,7.2970E-008
1448.800000,7.8060E-008
1449.000000,8.6700E-008
1449.200000,7.8760E-008
1449.400000,7.1420E-008
1449.600000,8.7210E-008
1449.800000,7.7690E-008
1450.000000,7.6790E-008
1450.200000,8.7130E-008
1450.400000,8.9580E-008
1450.600000,8.9300E-008
1450.800000,8.4050E-008
1451.000000,8.0910E-008
1451.200000,9.2390E-008
1451.400000,8.3700E-008
1451.600000,9.4640E-008
1451.800000,8.1610E-008
1452.000000,9.1970E-008
1452.200000,9.2330E-008
1452.400000,9.0100E-008
1452.600000,9.3780E-008
1452.800000,9.8860E-008
1453.000000,9.0850E-008
1453.200000,8.9830E-008
1453.400000,1.0330E-007
1453.600000,9.1760E-008
1453.800000,1.0390E-007
1454.000000,1.1470E-007
1454.200000,9.8290E-008
1454.400000,1.0920E-007
1454.600000,1.1820E-007
1454.800000,1.1960E-007
1455.000000,1.0530E-007
1455.200000,1.1100E-007
1455.400000,1.0080E-007
1455.600000,1.0680E-007
1455.800000,1.1110E-007
1456.000000,1.2070E-007
1456.200000,1.1220E-007
1456.400000,1.2970E-007
1456.600000,1.1930E-007
1456.800000,1.2910E-007
1457.000000,1.1110E-007
1457.200000,1.3510E-007
1457.400000,1.3970E-007
1457.600000,1.4460E-007
1457.800000,1.4310E-007
1458.000000,1.5160E-007
1458.200000,1.5110E-007
1458.400000,1.4500E-007
1458.600000,1.4540E-007
1458.800000,1.3740E-007
1459.000000,1.5200E-007
1459.200000,1.7020E-007
1459.400000,1.6270E-007
1459.600000,1.5620E-007
1459.800000,1.4810E-007
1460.000000,1.6240E-007
1460.200000,1.6230E-007
1460.400000,1.7070E-007
1460.600000,1.7210E-007
1460.800000,1.6730E-007
1461.000000,1.8310E-007
1461.200000,1.9850E-007
1461.400000,1.6620E-007
1461.600000,1.9320E-007
1461.800000,1.7730E-007
1462.000000,1.9090E-007
1462.200000,1.6420E-007
1462.400000,1.9840E-007
1462.600000,2.0030E-007
1462.800000,1.9480E-007
1463.000000,1.8440E-007
1463.200000,1.8150E-007
1463.400000,2.0530E-007
1463.600000,1.9500E-007
1463.800000,2.1820E-007
1464.000000,2.2960E-007
1464.200000,2.3410E-007
1464.400000,2.3920E-007
1464.600000,2.2950E-007
1464.800000,2.1860E-007
1465.000000,2.4610E-007
1465.200000,2.1010E-007
1465.400000,2.7080E-007
1465.600000,2.2640E-007
1465.800000,2.5390E-007
1466.000000,2.4280E-007
1466.200000,2.5610E-007
