File,MUESTRA_0_28_33.csv,
Date/Time,23-02-17/13:28,

Center Wavelength,1471.1,nm
Span Wavelength,557.6,nm
Start Wavelength,1192.3,nm
Stop Wavelength,1749.9,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.494,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1192.3,nm
Stop,1749.9,nm
1192.300000,2.1410E-007
1192.578800,2.0300E-007
1192.857600,1.7880E-007
1193.136400,2.4880E-007
1193.415200,2.0280E-007
1193.694000,1.9430E-007
1193.972800,1.9440E-007
1194.251600,2.1580E-007
1194.530400,1.9370E-007
1194.809200,2.3590E-007
1195.088000,2.3580E-007
1195.366800,1.9200E-007
1195.645600,2.1450E-007
1195.924400,1.9130E-007
1196.203200,2.2450E-007
1196.482000,2.1870E-007
1196.760800,1.3870E-007
1197.039600,2.2040E-007
1197.318400,2.1840E-007
1197.597200,2.3180E-007
1197.876000,1.9450E-007
1198.154800,2.1690E-007
1198.433600,1.9170E-007
1198.712400,1.9700E-007
1198.991200,1.7280E-007
1199.270000,1.7440E-007
1199.548800,2.0600E-007
1199.827600,1.8130E-007
1200.106400,1.6330E-007
1200.385200,1.7080E-007
1200.664000,2.1720E-007
1200.942800,1.4170E-007
1201.221600,1.2460E-007
1201.500400,2.1610E-007
1201.779200,1.7600E-007
1202.058000,2.2400E-007
1202.336800,1.8430E-007
1202.615600,1.7480E-007
1202.894400,2.2530E-007
1203.173200,1.3850E-007
1203.452000,1.8750E-007
1203.730800,2.1110E-007
1204.009600,1.8530E-007
1204.288400,1.5690E-007
1204.567200,1.9680E-007
1204.846000,1.5240E-007
1205.124800,2.1730E-007
1205.403600,2.1920E-007
1205.682400,1.5540E-007
1205.961200,2.1830E-007
1206.240000,2.1160E-007
1206.518800,1.7470E-007
1206.797600,1.9320E-007
1207.076400,2.2970E-007
1207.355200,1.6910E-007
1207.634000,1.6640E-007
1207.912800,1.7690E-007
1208.191600,1.6570E-007
1208.470400,2.1030E-007
1208.749200,1.9110E-007
1209.028000,1.9170E-007
1209.306800,1.9280E-007
1209.585600,1.7700E-007
1209.864400,1.5990E-007
1210.143200,1.5920E-007
1210.422000,1.8850E-007
1210.700800,1.8480E-007
1210.979600,1.6690E-007
1211.258400,1.9430E-007
1211.537200,1.8590E-007
1211.816000,1.5460E-007
1212.094800,1.9820E-007
1212.373600,1.9260E-007
1212.652400,1.9550E-007
1212.931200,1.4700E-007
1213.210000,1.7630E-007
1213.488800,1.9660E-007
1213.767600,1.7560E-007
1214.046400,1.0780E-007
1214.325200,1.5980E-007
1214.604000,1.9590E-007
1214.882800,1.7480E-007
1215.161600,1.8030E-007
1215.440400,1.8690E-007
1215.719200,1.7410E-007
1215.998000,1.8980E-007
1216.276800,2.0440E-007
1216.555600,1.7600E-007
1216.834400,1.5040E-007
1217.113200,1.8390E-007
1217.392000,1.7240E-007
1217.670800,2.1460E-007
1217.949600,1.4820E-007
1218.228400,2.2480E-007
1218.507200,1.6480E-007
1218.786000,1.1290E-007
1219.064800,1.2490E-007
1219.343600,1.7170E-007
1219.622400,2.0010E-007
1219.901200,1.7220E-007
1220.180000,2.1430E-007
1220.458800,1.8540E-007
1220.737600,1.0910E-007
1221.016400,1.3860E-007
1221.295200,1.7900E-007
1221.574000,1.8180E-007
1221.852800,1.3160E-007
1222.131600,1.5020E-007
1222.410400,1.5850E-007
1222.689200,1.7200E-007
1222.968000,1.3960E-007
1223.246800,1.7110E-007
1223.525600,1.7080E-007
1223.804400,1.9110E-007
1224.083200,1.8490E-007
1224.362000,1.8190E-007
1224.640800,1.5790E-007
1224.919600,1.7760E-007
1225.198400,1.9830E-007
1225.477200,1.5080E-007
1225.756000,1.5830E-007
1226.034800,1.8160E-007
1226.313600,1.7810E-007
1226.592400,1.6020E-007
1226.871200,2.0250E-007
1227.150000,2.1730E-007
1227.428800,1.6190E-007
1227.707600,1.8730E-007
1227.986400,2.3880E-007
1228.265200,1.5670E-007
1228.544000,1.7810E-007
1228.822800,2.1690E-007
1229.101600,1.4710E-007
1229.380400,2.2600E-007
1229.659200,1.4760E-007
1229.938000,2.0610E-007
1230.216800,1.4130E-007
1230.495600,1.5350E-007
1230.774400,2.0150E-007
1231.053200,1.4910E-007
1231.332000,1.7310E-007
1231.610800,2.0090E-007
1231.889600,2.0870E-007
1232.168400,1.6500E-007
1232.447200,2.0920E-007
1232.726000,1.8020E-007
1233.004800,1.8450E-007
1233.283600,2.0580E-007
1233.562400,1.4660E-007
1233.841200,1.7680E-007
1234.120000,1.7400E-007
1234.398800,1.6500E-007
1234.677600,1.9560E-007
1234.956400,1.9060E-007
1235.235200,1.5830E-007
