File,WaveData20230131_119.csv,
Date/Time,23-01-31/16:51,

Trace,A
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm
Trace,B
Center Wavelength,1500.4,nm
Span Wavelength,500.8,nm
Start Wavelength,1250,nm
Stop Wavelength,1750.8,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,0.07,nm
Actual Resolution,0.061,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,7,pt
Sampling Points,5001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250,nm
Stop,1750.8,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.000000,8.5570E-007,1250.000000,8.5570E-007
1250.100160,1.4270E-006,1250.100160,1.4270E-006
1250.200320,2.2840E-006,1250.200320,2.2840E-006
1250.300480,1.7100E-006,1250.300480,1.7100E-006
1250.400640,1.7590E-006,1250.400640,1.7590E-006
1250.500800,8.8380E-007,1250.500800,8.8380E-007
1250.600960,1.7780E-006,1250.600960,1.7780E-006
1250.701120,1.6910E-006,1250.701120,1.6910E-006
1250.801280,2.0320E-006,1250.801280,2.0320E-006
1250.901440,1.5000E-006,1250.901440,1.5000E-006
1251.001600,8.8840E-007,1251.001600,8.8840E-007
1251.101760,1.4900E-006,1251.101760,1.4900E-006
1251.201920,1.4270E-006,1251.201920,1.4270E-006
1251.302080,1.3960E-006,1251.302080,1.3960E-006
1251.402240,1.3260E-006,1251.402240,1.3260E-006
1251.502400,2.4720E-006,1251.502400,2.4720E-006
1251.602560,2.3140E-006,1251.602560,2.3140E-006
1251.702720,5.1790E-007,1251.702720,5.1790E-007
1251.802880,2.7670E-006,1251.802880,2.7670E-006
1251.903040,6.9880E-007,1251.903040,6.9880E-007
1252.003200,1.4650E-006,1252.003200,1.4650E-006
1252.103360,1.6470E-006,1252.103360,1.6470E-006
1252.203520,1.8830E-006,1252.203520,1.8830E-006
1252.303680,1.7160E-006,1252.303680,1.7160E-006
1252.403840,2.2220E-006,1252.403840,2.2220E-006
1252.504000,2.0640E-006,1252.504000,2.0640E-006
1252.604160,7.9280E-007,1252.604160,7.9280E-007
1252.704320,2.8310E-006,1252.704320,2.8310E-006
1252.804480,1.0430E-006,1252.804480,1.0430E-006
1252.904640,1.5930E-006,1252.904640,1.5930E-006
1253.004800,1.0350E-006,1253.004800,1.0350E-006
1253.104960,5.9930E-007,1253.104960,5.9930E-007
1253.205120,2.2460E-006,1253.205120,2.2460E-006
1253.305280,1.7240E-006,1253.305280,1.7240E-006
1253.405440,1.6820E-006,1253.405440,1.6820E-006
1253.505600,7.2750E-007,1253.505600,7.2750E-007
1253.605760,2.0740E-006,1253.605760,2.0740E-006
1253.705920,1.9920E-006,1253.705920,1.9920E-006
1253.806080,2.2020E-006,1253.806080,2.2020E-006
1253.906240,9.1550E-007,1253.906240,9.1550E-007
1254.006400,1.6080E-006,1254.006400,1.6080E-006
1254.106560,2.0290E-006,1254.106560,2.0290E-006
1254.206720,2.4100E-006,1254.206720,2.4100E-006
1254.306880,2.2220E-006,1254.306880,2.2220E-006
1254.407040,1.7090E-006,1254.407040,1.7090E-006
1254.507200,1.1140E-006,1254.507200,1.1140E-006
1254.607360,1.7520E-006,1254.607360,1.7520E-006
1254.707520,1.5130E-006,1254.707520,1.5130E-006
1254.807680,7.2250E-007,1254.807680,7.2250E-007
1254.907840,1.4820E-006,1254.907840,1.4820E-006
1255.008000,2.6290E-006,1255.008000,2.6290E-006
1255.108160,1.3760E-006,1255.108160,1.3760E-006
1255.208320,1.1770E-006,1255.208320,1.1770E-006
1255.308480,1.7250E-006,1255.308480,1.7250E-006
1255.408640,9.3950E-007,1255.408640,9.3950E-007
1255.508800,1.0760E-006,1255.508800,1.0760E-006
1255.608960,2.0610E-006,1255.608960,2.0610E-006
1255.709120,1.2170E-006,1255.709120,1.2170E-006
1255.809280,2.0930E-006,1255.809280,2.0930E-006
1255.909440,2.2050E-006,1255.909440,2.2050E-006
1256.009600,1.8940E-006,1256.009600,1.8940E-006
1256.109760,1.4020E-006,1256.109760,1.4020E-006
1256.209920,2.0090E-006,1256.209920,2.0090E-006
1256.310080,1.7680E-006,1256.310080,1.7680E-006
1256.410240,8.1540E-007,1256.410240,8.1540E-007
1256.510400,1.1270E-006,1256.510400,1.1270E-006
1256.610560,1.9470E-006,1256.610560,1.9470E-006
1256.710720,1.6570E-006,1256.710720,1.6570E-006
1256.810880,2.7740E-006,1256.810880,2.7740E-006
1256.911040,3.0540E-007,1256.911040,3.0540E-007
1257.011200,1.9800E-006,1257.011200,1.9800E-006
1257.111360,8.8160E-007,1257.111360,8.8160E-007
1257.211520,1.5790E-006,1257.211520,1.5790E-006
1257.311680,9.7470E-007,1257.311680,9.7470E-007
1257.411840,1.3100E-006,1257.411840,1.3100E-006
1257.512000,1.9760E-006,1257.512000,1.9760E-006
1257.612160,1.9340E-006,1257.612160,1.9340E-006
1257.712320,1.3980E-006,1257.712320,1.3980E-006
1257.812480,1.0120E-006,1257.812480,1.0120E-006
1257.912640,7.8570E-007,1257.912640,7.8570E-007
1258.012800,1.1280E-006,1258.012800,1.1280E-006
1258.112960,2.6260E-006,1258.112960,2.6260E-006
1258.213120,2.0180E-006,1258.213120,2.0180E-006
1258.313280,2.7180E-006,1258.313280,2.7180E-006
1258.413440,1.5730E-006,1258.413440,1.5730E-006
1258.513600,4.4950E-007,1258.513600,4.4950E-007
