File,WaveData20230210_048.csv,
Date/Time,23-02-10/21:56,

Trace,A
Center Wavelength,1500.6,nm
Span Wavelength,499.8,nm
Start Wavelength,1250.7,nm
Stop Wavelength,1750.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.483,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250.7,nm
Stop,1750.5,nm
Trace,B
Center Wavelength,1500.6,nm
Span Wavelength,499.8,nm
Start Wavelength,1250.7,nm
Stop Wavelength,1750.5,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.483,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1250.7,nm
Stop,1750.5,nm

Wavelength(A),Level(A),Wavelength(B),Level(B)
1250.700000,7.9220E-007,1250.700000,7.9220E-007
1250.949900,7.9410E-007,1250.949900,7.9410E-007
1251.199800,8.0560E-007,1251.199800,8.0560E-007
1251.449700,8.0970E-007,1251.449700,8.0970E-007
1251.699600,8.4140E-007,1251.699600,8.4140E-007
1251.949500,7.8190E-007,1251.949500,7.8190E-007
1252.199400,8.0630E-007,1252.199400,8.0630E-007
1252.449300,8.0800E-007,1252.449300,8.0800E-007
1252.699200,8.1620E-007,1252.699200,8.1620E-007
1252.949100,8.0520E-007,1252.949100,8.0520E-007
1253.199000,8.0980E-007,1253.199000,8.0980E-007
1253.448900,7.7870E-007,1253.448900,7.7870E-007
1253.698800,8.1910E-007,1253.698800,8.1910E-007
1253.948700,7.9330E-007,1253.948700,7.9330E-007
1254.198600,8.2040E-007,1254.198600,8.2040E-007
1254.448500,8.3310E-007,1254.448500,8.3310E-007
1254.698400,8.0150E-007,1254.698400,8.0150E-007
1254.948300,7.6460E-007,1254.948300,7.6460E-007
1255.198200,8.5680E-007,1255.198200,8.5680E-007
1255.448100,7.5710E-007,1255.448100,7.5710E-007
1255.698000,7.8120E-007,1255.698000,7.8120E-007
1255.947900,8.0800E-007,1255.947900,8.0800E-007
1256.197800,8.6560E-007,1256.197800,8.6560E-007
1256.447700,7.6080E-007,1256.447700,7.6080E-007
1256.697600,7.9590E-007,1256.697600,7.9590E-007
1256.947500,7.7860E-007,1256.947500,7.7860E-007
1257.197400,7.5360E-007,1257.197400,7.5360E-007
1257.447300,8.7000E-007,1257.447300,8.7000E-007
1257.697200,7.9950E-007,1257.697200,7.9950E-007
1257.947100,7.4220E-007,1257.947100,7.4220E-007
1258.197000,8.1610E-007,1258.197000,8.1610E-007
1258.446900,8.2830E-007,1258.446900,8.2830E-007
1258.696800,8.1410E-007,1258.696800,8.1410E-007
1258.946700,7.8980E-007,1258.946700,7.8980E-007
1259.196600,8.1270E-007,1259.196600,8.1270E-007
1259.446500,7.9810E-007,1259.446500,7.9810E-007
1259.696400,8.3080E-007,1259.696400,8.3080E-007
1259.946300,7.7680E-007,1259.946300,7.7680E-007
1260.196200,8.0680E-007,1260.196200,8.0680E-007
1260.446100,8.4700E-007,1260.446100,8.4700E-007
1260.696000,7.6290E-007,1260.696000,7.6290E-007
1260.945900,8.0680E-007,1260.945900,8.0680E-007
1261.195800,7.6280E-007,1261.195800,7.6280E-007
1261.445700,7.8110E-007,1261.445700,7.8110E-007
1261.695600,8.0340E-007,1261.695600,8.0340E-007
1261.945500,7.9100E-007,1261.945500,7.9100E-007
1262.195400,7.7880E-007,1262.195400,7.7880E-007
1262.445300,8.6610E-007,1262.445300,8.6610E-007
1262.695200,7.8040E-007,1262.695200,7.8040E-007
1262.945100,7.9950E-007,1262.945100,7.9950E-007
1263.195000,7.7780E-007,1263.195000,7.7780E-007
1263.444900,8.2510E-007,1263.444900,8.2510E-007
1263.694800,7.5520E-007,1263.694800,7.5520E-007
1263.944700,7.3400E-007,1263.944700,7.3400E-007
1264.194600,8.1750E-007,1264.194600,8.1750E-007
1264.444500,7.6940E-007,1264.444500,7.6940E-007
1264.694400,8.3940E-007,1264.694400,8.3940E-007
1264.944300,7.7910E-007,1264.944300,7.7910E-007
1265.194200,7.9600E-007,1265.194200,7.9600E-007
1265.444100,7.9440E-007,1265.444100,7.9440E-007
1265.694000,7.7590E-007,1265.694000,7.7590E-007
1265.943900,7.9260E-007,1265.943900,7.9260E-007
1266.193800,7.9550E-007,1266.193800,7.9550E-007
1266.443700,7.9380E-007,1266.443700,7.9380E-007
1266.693600,7.8750E-007,1266.693600,7.8750E-007
1266.943500,8.3060E-007,1266.943500,8.3060E-007
1267.193400,7.8860E-007,1267.193400,7.8860E-007
1267.443300,7.7770E-007,1267.443300,7.7770E-007
1267.693200,8.2330E-007,1267.693200,8.2330E-007
1267.943100,8.2280E-007,1267.943100,8.2280E-007
1268.193000,8.1990E-007,1268.193000,8.1990E-007
1268.442900,8.3010E-007,1268.442900,8.3010E-007
1268.692800,7.9080E-007,1268.692800,7.9080E-007
1268.942700,8.2860E-007,1268.942700,8.2860E-007
1269.192600,8.1150E-007,1269.192600,8.1150E-007
1269.442500,7.7560E-007,1269.442500,7.7560E-007
1269.692400,7.7360E-007,1269.692400,7.7360E-007
1269.942300,7.5450E-007,1269.942300,7.5450E-007
1270.192200,7.8770E-007,1270.192200,7.8770E-007
1270.442100,7.7980E-007,1270.442100,7.7980E-007
1270.692000,7.8520E-007,1270.692000,7.8520E-007
1270.941900,7.9440E-007,1270.941900,7.9440E-007
1271.191800,8.3420E-007,1271.191800,8.3420E-007
1271.441700,7.6380E-007,1271.441700,7.6380E-007
1271.691600,7.6680E-007,1271.691600,7.6680E-007
1271.941500,8.0110E-007,1271.941500,8.0110E-007
1272.191400,7.9220E-007,1272.191400,7.9220E-007
1272.441300,7.7360E-007,1272.441300,7.7360E-007
1272.691200,8.1450E-007,1272.691200,8.1450E-007
1272.941100,7.7670E-007,1272.941100,7.7670E-007
1273.191000,7.9620E-007,1273.191000,7.9620E-007
1273.440900,7.6690E-007,1273.440900,7.6690E-007
1273.690800,8.1670E-007,1273.690800,8.1670E-007
1273.940700,7.6440E-007,1273.940700,7.6440E-007
1274.190600,7.7300E-007,1274.190600,7.7300E-007
1274.440500,8.0490E-007,1274.440500,8.0490E-007
1274.690400,7.2910E-007,1274.690400,7.2910E-007
1274.940300,8.2710E-007,1274.940300,8.2710E-007
1275.190200,7.8580E-007,1275.190200,7.8580E-007
1275.440100,7.9930E-007,1275.440100,7.9930E-007
1275.690000,8.1460E-007,1275.690000,8.1460E-007
1275.939900,7.6430E-007,1275.939900,7.6430E-007
1276.189800,8.0580E-007,1276.189800,8.0580E-007
1276.439700,7.6860E-007,1276.439700,7.6860E-007
1276.689600,7.5580E-007,1276.689600,7.5580E-007
1276.939500,7.4310E-007,1276.939500,7.4310E-007
1277.189400,7.8490E-007,1277.189400,7.8490E-007
1277.439300,7.6350E-007,1277.439300,7.6350E-007
1277.689200,8.1460E-007,1277.689200,8.1460E-007
1277.939100,7.9020E-007,1277.939100,7.9020E-007
1278.189000,7.3160E-007,1278.189000,7.3160E-007
1278.438900,7.2080E-007,1278.438900,7.2080E-007
1278.688800,7.9110E-007,1278.688800,7.9110E-007
1278.938700,7.7640E-007,1278.938700,7.7640E-007
1279.188600,8.0890E-007,1279.188600,8.0890E-007
1279.438500,7.9190E-007,1279.438500,7.9190E-007
1279.688400,8.1110E-007,1279.688400,8.1110E-007
1279.938300,8.1270E-007,1279.938300,8.1270E-007
1280.188200,7.9230E-007,1280.188200,7.9230E-007
1280.438100,8.1720E-007,1280.438100,8.1720E-007
1280.688000,7.7530E-007,1280.688000,7.7530E-007
1280.937900,7.9540E-007,1280.937900,7.9540E-007
1281.187800,7.9050E-007,1281.187800,7.9050E-007
1281.437700,7.9450E-007,1281.437700,7.9450E-007
1281.687600,8.0350E-007,1281.687600,8.0350E-007
1281.937500,7.7300E-007,1281.937500,7.7300E-007
1282.187400,7.6650E-007,1282.187400,7.6650E-007
1282.437300,7.7020E-007,1282.437300,7.7020E-007
1282.687200,7.7720E-007,1282.687200,7.7720E-007
1282.937100,7.9600E-007,1282.937100,7.9600E-007
1283.187000,7.9730E-007,1283.187000,7.9730E-007
1283.436900,7.8170E-007,1283.436900,7.8170E-007
1283.686800,7.8810E-007,1283.686800,7.8810E-007
1283.936700,8.2620E-007,1283.936700,8.2620E-007
1284.186600,7.8330E-007,1284.186600,7.8330E-007
1284.436500,8.1180E-007,1284.436500,8.1180E-007
1284.686400,7.5290E-007,1284.686400,7.5290E-007
1284.936300,7.8150E-007,1284.936300,7.8150E-007
1285.186200,7.6630E-007,1285.186200,7.6630E-007
1285.436100,7.8760E-007,1285.436100,7.8760E-007
1285.686000,7.7080E-007,1285.686000,7.7080E-007
1285.935900,7.6010E-007,1285.935900,7.6010E-007
1286.185800,8.2570E-007,1286.185800,8.2570E-007
1286.435700,7.8740E-007,1286.435700,7.8740E-007
1286.685600,7.7650E-007,1286.685600,7.7650E-007
1286.935500,8.3130E-007,1286.935500,8.3130E-007
1287.185400,8.0520E-007,1287.185400,8.0520E-007
