,Theta1,Theta2,Theta3,Power,Ancho_espectral
0,0.0,0.0,0,0.007032475,232.8047578589635
1,0.0,4.0,0,0.00702155,228.48530161427357
2,0.0,8.0,0,0.007020225,226.47884451996606
3,0.0,12.0,0,0.007014375,227.70501274426488
4,0.0,16.0,0,0.0070122,229.99014443500414
5,0.0,20.0,0,0.0070259,228.95904842820732
6,0.0,24.0,0,0.007041575,216.9760407816484
7,0.0,28.0,0,0.00708165,203.9062022090061
8,0.0,32.0,0,0.007135225,192.20186915887848
9,0.0,36.0,0,0.00717515,196.5491928632116
10,0.0,40.0,0,0.007115525,208.4764655904844
11,0.0,44.0,0,0.006962725,242.64197111299927
12,0.0,48.0,0,0.00671885,297.95887850467307
13,0.0,52.0,0,0.00674945,240.35683942226
14,0.0,56.0,0,0.006774875,268.2521665250638
15,0.0,60.0,0,0.00665115,273.49124893797807
16,0.0,64.0,0,0.006587525,284.7775700934578
17,0.0,68.0,0,0.0065959,289.1248937977912
18,0.0,72.0,0,0.00662345,290.60186915887857
19,0.0,76.0,0,0.006652675,283.3284621920136
20,0.0,80.0,0,0.006676375,271.26185216652516
21,0.0,84.0,0,0.006708175,260.81155480034
22,0.0,88.0,0,0.00674605,255.5724723874257
23,0.0,92.0,0,0.006789525,258.414953271028
24,0.0,96.0,0,0.0067881,284.5267629566695
25,0.0,100.0,0,0.006815375,280.1794392523366
26,0.0,104.0,0,0.0069023,236.00951571792712
27,0.0,108.0,0,0.006937675,221.26762956669495
28,0.0,112.0,0,0.00694735,218.06287170773157
29,0.0,116.0,0,0.00694645,218.67595581988098
30,0.0,120.0,0,0.006926725,224.38878504672903
31,0.0,124.0,0,0.00689195,241.02565845369577
32,0.0,128.0,0,0.006869375,246.32047578589663
33,0.0,132.0,0,0.006862125,250.50059473237047
34,0.0,136.0,0,0.006870875,247.32370433305027
35,0.0,140.0,0,0.006896425,246.26474086661005
36,0.0,144.0,0,0.006926175,239.4093457943925
37,0.0,148.0,0,0.00695835,230.3802888700086
38,0.0,152.0,0,0.006986375,227.14766355140205
39,0.0,156.0,0,0.0070271,215.33186066270196
40,0.0,160.0,0,0.006948475,266.9702633814784
