File,MUESTRA_0_31_11.csv,
Date/Time,23-02-16/20:54,

Center Wavelength,1471.1,nm
Span Wavelength,557.6,nm
Start Wavelength,1192.3,nm
Stop Wavelength,1749.9,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.494,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1192.3,nm
Stop,1749.9,nm
1192.300000,8.0360E-007
1192.578800,8.6090E-007
1192.857600,8.7500E-007
1193.136400,8.9100E-007
1193.415200,9.0470E-007
1193.694000,8.5950E-007
1193.972800,8.3870E-007
1194.251600,8.6330E-007
1194.530400,8.5250E-007
1194.809200,9.1450E-007
1195.088000,8.6570E-007
1195.366800,8.0970E-007
1195.645600,8.2590E-007
1195.924400,8.2550E-007
1196.203200,8.4870E-007
1196.482000,8.4190E-007
1196.760800,8.1350E-007
1197.039600,7.9690E-007
1197.318400,8.1120E-007
1197.597200,8.3670E-007
1197.876000,8.3910E-007
1198.154800,8.3350E-007
1198.433600,8.4000E-007
1198.712400,8.6910E-007
1198.991200,8.3800E-007
1199.270000,8.5610E-007
1199.548800,8.4440E-007
1199.827600,8.6260E-007
1200.106400,8.4970E-007
1200.385200,8.6590E-007
1200.664000,8.4600E-007
1200.942800,8.1200E-007
1201.221600,8.4670E-007
1201.500400,8.9040E-007
1201.779200,9.0760E-007
1202.058000,8.2570E-007
1202.336800,8.3420E-007
1202.615600,8.4650E-007
1202.894400,8.0480E-007
1203.173200,8.7000E-007
1203.452000,8.4280E-007
1203.730800,7.9450E-007
1204.009600,8.5910E-007
1204.288400,8.2960E-007
1204.567200,8.6980E-007
1204.846000,7.9200E-007
1205.124800,8.5080E-007
1205.403600,8.2950E-007
1205.682400,8.5130E-007
1205.961200,8.3670E-007
1206.240000,7.7720E-007
1206.518800,8.4660E-007
1206.797600,8.0800E-007
1207.076400,8.1390E-007
1207.355200,8.7790E-007
1207.634000,8.0760E-007
1207.912800,8.6660E-007
1208.191600,7.6740E-007
1208.470400,8.0000E-007
1208.749200,8.1820E-007
1209.028000,8.1270E-007
1209.306800,8.4360E-007
1209.585600,8.1690E-007
1209.864400,8.3040E-007
1210.143200,8.3740E-007
1210.422000,8.5100E-007
1210.700800,8.0200E-007
1210.979600,8.4940E-007
1211.258400,7.9740E-007
1211.537200,8.0370E-007
1211.816000,8.5040E-007
1212.094800,8.1260E-007
1212.373600,8.4240E-007
1212.652400,8.5420E-007
1212.931200,7.9130E-007
1213.210000,8.4820E-007
1213.488800,8.0010E-007
1213.767600,7.8910E-007
1214.046400,7.8990E-007
1214.325200,8.0130E-007
1214.604000,7.9190E-007
1214.882800,8.0230E-007
1215.161600,7.8780E-007
1215.440400,7.9540E-007
1215.719200,8.8400E-007
1215.998000,7.8750E-007
1216.276800,7.8840E-007
1216.555600,8.2690E-007
1216.834400,7.5720E-007
1217.113200,7.7370E-007
1217.392000,7.5310E-007
1217.670800,7.7440E-007
1217.949600,8.3760E-007
1218.228400,8.5010E-007
1218.507200,7.7730E-007
1218.786000,8.2040E-007
1219.064800,7.5840E-007
1219.343600,7.9300E-007
1219.622400,8.0140E-007
1219.901200,8.1020E-007
1220.180000,7.9790E-007
1220.458800,7.7810E-007
1220.737600,7.9470E-007
1221.016400,8.0120E-007
1221.295200,7.7280E-007
1221.574000,8.2070E-007
1221.852800,8.3070E-007
1222.131600,8.3900E-007
1222.410400,7.8740E-007
1222.689200,8.4580E-007
1222.968000,8.2070E-007
1223.246800,7.8410E-007
1223.525600,8.2040E-007
1223.804400,8.0080E-007
1224.083200,7.7220E-007
1224.362000,7.7380E-007
1224.640800,7.8410E-007
1224.919600,7.2380E-007
1225.198400,7.9330E-007
1225.477200,7.9320E-007
1225.756000,7.2680E-007
1226.034800,7.7790E-007
1226.313600,8.4210E-007
1226.592400,8.6700E-007
1226.871200,7.8280E-007
1227.150000,7.7570E-007
1227.428800,7.4740E-007
1227.707600,7.9730E-007
1227.986400,8.2040E-007
1228.265200,7.6360E-007
1228.544000,7.6920E-007
1228.822800,7.9220E-007
1229.101600,7.6570E-007
1229.380400,8.3120E-007
1229.659200,8.2830E-007
1229.938000,7.9300E-007
1230.216800,7.8160E-007
1230.495600,7.7520E-007
1230.774400,7.9600E-007
1231.053200,8.0090E-007
1231.332000,7.9470E-007
1231.610800,7.2970E-007
1231.889600,7.4940E-007
1232.168400,7.6710E-007
1232.447200,8.0400E-007
1232.726000,7.9630E-007
1233.004800,7.3490E-007
1233.283600,7.6180E-007
1233.562400,7.4390E-007
1233.841200,7.8900E-007
1234.120000,7.4630E-007
1234.398800,7.7770E-007
1234.677600,7.5620E-007
1234.956400,7.6610E-007
1235.235200,8.1520E-007
